anchor_components,boundary_f1,boundary_iou,bridge_risk,component_delta,component_error,dice,false_bridge,fn_pixels,fp_pixels,gt_components,image,iou,missing_anchor,precision,recall,risk_pixels,sep_fp_pixels,sep_fp_rate,sep_pixels,split
34,0.39854780153287617,0.24886649874055417,0,10,10,0.9312522196606252,0,4970,6451,24,12446.png,0.8713489157983667,0,0.9230236859375932,0.9396287838297459,9531,5203,0.24463983449313523,21268,train
20,0.39005450076586046,0.2422780777059917,1,-3,3,0.9301752811057786,1,4592,7542,23,12449.png,0.8694651232841344,0,0.9146484993888914,0.9462383215866251,10274,6363,0.28785342682650983,22105,train
25,0.47148181346416945,0.3084567901234568,1,-1,1,0.932579701522138,1,4759,2040,26,12481.png,0.8736761918917915,0,0.958420805902615,0.9080954771928469,6215,1959,0.11525563334706125,16997,train
32,0.543677572485689,0.3733222548894286,0,5,5,0.9433616325879868,0,2972,2712,27,12482.png,0.8927951716333459,0,0.9458120204603581,0.9409239087222708,5255,2599,0.1530443999528913,16982,train
27,0.5161764705882353,0.3478691774033697,0,1,1,0.9286466675324301,0,2732,2213,26,12486.png,0.8667977588621916,0,0.935653640381484,0.9217438629658274,4642,2123,0.14777947932618682,14366,train
24,0.48989420495815567,0.3244105191613949,1,-2,2,0.9446687315319164,1,3279,4492,26,12522.png,0.8951395260970475,0,0.9365796495785624,0.9528987589059986,7371,4291,0.21195356878241542,20245,train
26,0.3855877439082054,0.23884094192994104,0,2,2,0.9422648324623425,0,6206,5814,24,12566.png,0.8908324705283999,0,0.9440423484119346,0.9404939976220611,11046,5378,0.21863566143588908,24598,train
28,0.394976213130352,0.24608745138954757,0,3,3,0.9301568571602954,0,5237,5062,25,12584.png,0.8694329289164416,0,0.9312620515466717,0.9290542828887655,9375,4717,0.23072784190960674,20444,train
26,0.4015986099044309,0.25125016306474757,0,2,2,0.9364189744995887,0,4153,7441,24,12585.png,0.8804397145567793,0,0.9198332238011614,0.9536138320805084,10413,6510,0.28725234964479546,22663,train
23,0.5678471248246845,0.39649895948096464,0,0,0,0.9267012687427912,0,1193,1349,23,12603.png,0.8634141099349847,0,0.9225513836261339,0.9308886571660294,2540,1348,0.1400665004156276,9624,train
25,0.537092764621222,0.367140685090779,0,1,1,0.9372457197894353,0,1679,2100,24,12611.png,0.881902559454983,0,0.9307387862796834,0.9438442757282852,3639,1981,0.1591931854709097,12444,train
25,0.37470625934629354,0.23054679284963198,0,1,1,0.9314282261962301,0,4104,7246,24,12619.png,0.8716571493187086,0,0.9140766740581755,0.9494512803458597,10300,6560,0.29940666362391605,21910,train
30,0.4639204816974099,0.30201592832254853,0,2,2,0.9305945991992504,0,2485,4033,28,12621.png,0.8701981479637558,0,0.9155038759689923,0.9461911567277295,6233,3820,0.232232962490121,16449,train
25,0.3684114034283619,0.22579920220237093,0,5,5,0.8385697613512098,0,4435,13132,20,12635.png,0.722014748235592,0,0.7765108323831242,0.9114098517837881,6889,3175,0.20390469462462268,15571,train
26,0.5596365497824418,0.3885384273656153,1,-1,1,0.9380638827293194,1,1413,2246,27,12648.png,0.8833524611068605,0,0.9250208646302788,0.9514799807705515,3599,2223,0.17266019417475728,12875,train
27,0.5109498509783594,0.34313810808458794,0,2,2,0.9248115027178678,0,2143,2145,25,12651.png,0.8601389477804233,0,0.9247790713985131,0.9248439363119871,4057,2072,0.16190029692139396,12798,train
23,0.47810684426810257,0.3141527001862197,1,-4,4,0.9171548636843522,1,2503,5501,27,12662.png,0.8469861782867193,0,0.8895514596634944,0.9465262348316527,6734,4698,0.2758985200845666,17028,train
27,0.4841602495369919,0.31940068162819113,0,0,0,0.9289330626910245,0,3545,2547,27,12687.png,0.8672969263946675,0,0.9398753599924461,0.9182426199261993,5782,2475,0.15071245889660212,16422,train
22,0.5191055759977357,0.35053516819571867,1,-2,2,0.9113749136360781,1,882,1940,24,12755.png,0.8371797830602354,0,0.8820668693009118,0.9426975051975052,2729,1874,0.21004259134723155,8922,train
26,0.5723867447280169,0.4009396400700749,1,-1,1,0.9416617905207724,1,1693,2295,27,12799.png,0.8897550727041521,0,0.9334416055218816,0.950028040969332,3949,2264,0.15757238307349666,14368,train
25,0.5550324242693435,0.3841141030370097,0,1,1,0.9177414378278309,0,1411,1255,24,12837.png,0.8479872277340632,0,0.9221801947045327,0.9133452066572499,2623,1232,0.12833333333333333,9600,train
25,0.4224349247111007,0.2677765445800962,0,0,0,0.9487703767850986,0,6578,6200,25,12840.png,0.902533904898476,0,0.9502104012077993,0.9473347104129638,11393,5648,0.20971335214614584,26932,train
25,0.5432888320409305,0.3729557677532653,0,0,0,0.9175435341514485,0,1891,1220,25,12852.png,0.8476493633692458,0,0.9341572669868854,0.9015104166666666,3035,1208,0.11432897974635624,10566,train
23,0.38983882535009245,0.24211167893478364,0,0,0,0.9327977431620262,0,4509,6449,23,12854.png,0.874059005390247,0,0.921830303030303,0.9440292949354518,9708,5672,0.2740228996569883,20699,train
28,0.4262118640559672,0.27081908569624913,0,3,3,0.9358682404259414,0,4763,3235,25,12870.png,0.8794665059151533,0,0.9474769450577997,0.9245405576679341,7556,3101,0.16174629668266222,19172,train
21,0.1772827828209627,0.097262911191094,0,12,12,0.7891119105348642,0,6671,38644,9,12905.png,0.6516802976263683,0,0.6869029775167106,0.9270546297511263,9974,6116,0.4100844843770953,14914,train
23,0.5128580580214148,0.34486153846153844,1,-2,2,0.9027613478892756,1,1637,1240,25,12915.png,0.8227575160177427,0,0.9150393970537856,0.8908084311632871,2827,1216,0.12974818608621425,9372,train
28,0.4629486291603862,0.30119268486615425,0,1,1,0.9370366218834569,0,3582,4282,27,12973.png,0.8815323661891203,0,0.9318142008630711,0.9423179117216058,7345,3931,0.20393235111018884,19276,train
25,0.45244690674053556,0.29236276849642007,0,2,2,0.882921589688507,0,2639,958,23,12974.png,0.7903846153846154,0,0.9340265821913092,0.8371188742130601,3257,937,0.09997865983781477,9372,train
26,0.42043085476025016,0.26616805983282005,0,0,0,0.9193543084459348,0,5374,1985,26,12985.png,0.8507453605111044,0,0.9548155061346202,0.8864327979712595,6653,1916,0.11554697865154988,16582,train
25,0.4603258013662638,0.29897610921501705,0,3,3,0.9017003955079534,0,1865,1540,22,13038.png,0.8209967406161287,0,0.9102407180742554,0.8933188422377303,3309,1482,0.154375,9600,train
24,0.3510395663240009,0.21288537866335244,1,-3,3,0.9271433057678217,1,5307,8613,27,13039.png,0.864181871402088,0,0.9113733883498143,0.943468581228629,11521,6935,0.29019164783663903,23898,train
25,0.5000750187546886,0.3334000200060018,0,0,0,0.9078240950631129,0,2234,1629,25,13087.png,0.8312068513501704,0,0.9211214410226612,0.8949052076962882,3618,1478,0.13144788331554608,11244,train
27,0.5268511593118923,0.3576360682372055,0,1,1,0.9200194791642511,0,2389,1060,26,13097.png,0.8518852529416817,0,0.9492750155524716,0.8925132727436336,3362,1060,0.09349091550538013,11338,train
28,0.35922472294097546,0.21893596762675555,0,1,1,0.88452100103138,0,7166,2575,27,13102.png,0.7929517291219419,0,0.9354329129159249,0.838864903759669,7485,2291,0.13662929389312978,16768,train
28,0.4615503040566546,0.30001000700490343,0,4,4,0.9018185431779787,0,1731,2221,24,13125.png,0.8211926522486653,0,0.8909724608512101,0.9129319450731854,3795,2143,0.19646131279794646,10908,train
23,0.5228034387294186,0.3539159597553758,0,0,0,0.9243468537155637,0,1651,2070,23,13174.png,0.8593354250935622,0,0.9165389887912265,0.9322888898002707,3543,2015,0.1794620591378696,11228,train
25,0.4284578363674409,0.27263527907967616,0,1,1,0.918996011575552,0,4782,4987,24,13253.png,0.8501319342169857,0,0.9174365087248767,0.9205608252902968,7865,3894,0.2089840605377556,18633,train
25,0.36487617135207495,0.22314895358952055,0,1,1,0.9169180276627334,0,3782,6850,24,13298.png,0.8465823003997056,0,0.895450174758467,0.9394405213687531,9346,5958,0.3141742248470787,18964,train
27,0.3336401570937653,0.20022095378383356,0,0,0,0.9244236298530631,0,7578,9560,27,13324.png,0.8594681470426647,0,0.9164138389305169,0.9325746723492094,13561,7646,0.2976023664954071,25692,train
27,0.422619782027555,0.2679251186316942,0,1,1,0.9295912221010305,0,6111,2539,26,13334.png,0.86844506630977,0,0.9574286145436864,0.9033268473257083,7830,2458,0.12585765488991296,19530,train
26,0.4644621816799696,0.30247524752475247,0,1,1,0.9140796170829542,0,3785,1313,25,13388.png,0.8417556493667743,0,0.9538180155464107,0.877519981878782,4573,1297,0.09851879984808204,13165,train
28,0.4644532156953796,0.30246764243377283,0,2,2,0.930000105215534,0,4061,2592,26,13496.png,0.8691590623033354,0,0.9445999957253083,0.9158446618037135,6323,2470,0.14314691393798898,17255,train
29,0.29781802710751837,0.17496250803399271,1,-4,4,0.844014729624322,1,1616,6983,33,13500.png,0.7301258513008819,0,0.7691341290045294,0.935048231511254,7031,5620,0.42268351383874847,13296,train
27,0.4363768379016155,0.2790805665196192,1,-3,3,0.9025088273555101,1,2693,2553,30,10375.png,0.822338119750745,0,0.9048630519843488,0.9001668211306766,5080,2501,0.18403237674760853,13590,val
27,0.4067627425291659,0.2553058187798575,0,1,1,0.8978390408500251,0,2119,3573,26,10520.png,0.8146169880145909,0,0.8750043729228616,0.9218974604695735,5355,3341,0.2517140058765916,13273,val
34,0.3221402721150763,0.191994757822312,0,5,5,0.8875239843163427,0,5888,4898,29,10618.png,0.7977915674621773,0,0.8967820791098561,0.8784550915508949,8819,4238,0.23934037386344384,17707,val
28,0.2542683228584154,0.14565143440299352,1,-2,2,0.8543689320388349,1,3392,9133,30,10624.png,0.7457627118644068,0,0.8009068515248621,0.915478919565434,9515,6732,0.4191780821917808,16060,val
25,0.4076344385622736,0.25599300087489063,0,0,0,0.8741845467526529,0,5644,7837,25,11852.png,0.7764900936748735,0,0.8566516068848201,0.8924501695948779,7247,4129,0.2409547152194211,17136,val
26,0.474025974025974,0.31063829787234043,1,-1,1,0.9386339329588484,1,2880,3489,27,11945.png,0.8843639928828207,0,0.9331583585577992,0.9441741456512047,6197,3429,0.19640300131737212,17459,val
24,0.4627277747101049,0.3010057471264368,1,-2,2,0.9495969934624726,1,4960,3382,26,12498.png,0.9040311076342552,0,0.9587379825289152,0.9406286658207847,7847,3297,0.15489053838203515,21286,val
26,0.49643203744933495,0.3301693370795049,0,1,1,0.9165367550065955,0,3065,2503,25,12627.png,0.8459324847814056,0,0.92432350718065,0.9088801022683355,4837,2405,0.16833484986351227,14287,val
26,0.3760599262329366,0.23157253910274422,0,3,3,0.925741399762752,0,4999,6269,23,12827.png,0.8617491166077739,0,0.9180576432912881,0.9335548614341729,9535,5569,0.2707867353885053,20566,val
28,0.530457359696425,0.36096765425387334,0,6,6,0.9050989056512583,0,2026,723,22,13220.png,0.8266490099634254,0,0.9477299016772701,0.8661380905186653,2544,723,0.08339100346020761,8670,val
