anchor_components,boundary_f1,boundary_iou,bridge_risk,component_delta,component_error,dice,false_bridge,fn_pixels,fp_pixels,gt_components,image,iou,missing_anchor,precision,recall,risk_pixels,sep_fp_pixels,sep_fp_rate,sep_pixels,split
23,0.5674964936886395,0.3961571411087994,0,0,0,0.926647828844934,0,1193,1351,23,12603.png,0.8633213345511201,0,0.9224454649827785,0.9308886571660294,2543,1351,0.10234848484848486,13200,train
25,0.537092764621222,0.367140685090779,0,1,1,0.9372301560943208,0,1679,2101,24,12611.png,0.881875,0,0.9307080901025692,0.9438442757282852,3652,1994,0.11756382288780143,16961,train
25,0.37560420813193063,0.2312270260808682,0,1,1,0.9315813321250567,0,4089,7236,24,12619.png,0.8719253604749788,0,0.9142003414911781,0.9496360344381628,10700,6960,0.23888793547279905,29135,train
30,0.4634053124402828,0.3015794055465738,0,2,2,0.9305098640433528,0,2482,4045,28,12621.png,0.870049973122026,0,0.9152790868153733,0.9462561171019012,6401,3991,0.18397639791637854,21693,train
25,0.36730205278592376,0.22496632240682532,0,5,5,0.8382710945753525,0,4437,13168,20,12635.png,0.7215720385892772,0,0.776027758406613,0.9113699013223603,7059,3343,0.16254983954098998,20566,train
26,0.5598467922119374,0.3887411347517731,1,-1,1,0.9380929029203375,1,1384,2277,27,12648.png,0.8834039300614669,0,0.9241379310344827,0.9524757914978367,3625,2277,0.1300028546959749,17515,train
27,0.5107843772265043,0.34298886569241477,0,2,2,0.9247304286841413,0,2143,2150,25,12651.png,0.8599986955387425,0,0.9246169489148347,0.9248439363119871,4128,2143,0.1227166008131478,17463,train
23,0.47787694196533975,0.31395420984054107,1,-4,4,0.9173617003663155,1,2482,5504,27,12662.png,0.8473390426670745,0,0.889544451133855,0.9469748760895573,7144,5109,0.22576226248342907,22630,train
27,0.4846536100555393,0.31983024691358025,0,0,0,0.9290712319820871,0,3527,2555,27,12687.png,0.8675378416639442,0,0.9397235066528262,0.9186577490774908,5826,2535,0.11489303843364757,22064,train
22,0.5183858193475391,0.34987908871070383,1,-2,2,0.9112318271736741,1,882,1945,24,12755.png,0.8369383399665455,0,0.8817988453357642,0.9426975051975052,2789,1934,0.1579033311561071,12248,train
26,0.57290483761072,0.4014482374472826,1,-1,1,0.9415774384178808,1,1694,2300,27,12799.png,0.8896044666795655,0,0.9333043352182108,0.9499985241595088,3985,2299,0.1178068152703049,19515,train
25,0.5556443733901767,0.38470052884024103,0,1,1,0.9178416067627186,0,1408,1255,24,12837.png,0.8481582848671456,0,0.9221946683199008,0.9135294478904379,2643,1255,0.09519114077669903,13184,train
25,0.42298716452742124,0.268220495745468,0,0,0,0.9488409753203703,0,6545,6218,25,12840.png,0.9026616839536302,0,0.9500862933975517,0.9475989175513603,11653,5939,0.16604691475382335,35767,train
25,0.5432888320409305,0.3729557677532653,0,0,0,0.9175435341514485,0,1891,1220,25,12852.png,0.8476493633692458,0,0.9341572669868854,0.9015104166666666,3047,1220,0.0842076200993926,14488,train
23,0.39044456185372484,0.2425791324736225,0,0,0,0.9327978909291561,0,4488,6473,23,12854.png,0.8740592648765411,0,0.9215821673026834,0.9442899702085402,10179,6162,0.2261367389628977,27249,train
28,0.4257696127110228,0.27046207222835517,0,3,3,0.9358048248602971,0,4759,3248,25,12870.png,0.8793545081967213,0,0.9472804298073333,0.9246039290240811,7635,3184,0.12450144678188786,25574,train
21,0.17763208050621332,0.09747322623828648,0,12,12,0.789047162701551,0,6646,38700,9,12905.png,0.651591984756285,0,0.6866548993571162,0.9273279972007173,10950,7108,0.3667130991074653,19383,train
23,0.507227813357731,0.33978916401078696,1,-2,2,0.9016946863817433,1,1637,1275,25,12915.png,0.8209872748509252,0,0.9128503075871497,0.8908084311632871,2886,1275,0.09925268566090611,12846,train
28,0.4623844242597043,0.30071523178807946,0,1,1,0.9369776155250265,0,3581,4291,27,12973.png,0.8814279258924537,0,0.9316817653520992,0.9423340150404999,7548,4135,0.16071359166699056,25729,train
25,0.4526665436427385,0.29254621347644605,0,2,2,0.8828582584927762,0,2636,964,23,12974.png,0.7902831177909821,0,0.9336545079146593,0.8373040365386989,3263,946,0.07371045659965716,12834,train
26,0.4208279559217711,0.2664864525051864,0,0,0,0.9193916016481108,0,5370,1986,26,12985.png,0.8508092321421328,0,0.9547978878368536,0.8865173288250211,6702,1969,0.08845462713387242,22260,train
25,0.45768793209066244,0.29675442578302313,0,3,3,0.9011654742672514,0,1863,1563,22,13038.png,0.8201102651614597,0,0.9090327086485858,0.8934332456240704,3376,1551,0.11792883211678833,13152,train
24,0.34999008526670633,0.21211392861434925,1,-3,3,0.9269943206183519,1,5248,8712,27,13039.png,0.863923032683816,0,0.9105002003266865,0.9440970631784144,12166,7638,0.23895632586659993,31964,train
25,0.5000750187546886,0.3334000200060018,0,0,0,0.9078240950631129,0,2234,1629,25,13087.png,0.8312068513501704,0,0.9211214410226612,0.8949052076962882,3705,1565,0.10244157884401388,15277,train
27,0.5268511593118923,0.3576360682372055,0,1,1,0.9200194791642511,0,2389,1060,26,13097.png,0.8518852529416817,0,0.9492750155524716,0.8925132727436336,3362,1060,0.068595094803598,15453,train
28,0.35922472294097546,0.21893596762675555,0,1,1,0.8845606714400872,0,7163,2575,27,13102.png,0.7930154951431547,0,0.9354377695316418,0.8389323619356,7646,2453,0.10816650498280271,22678,train
28,0.4627221666538432,0.301001001001001,0,4,4,0.9026109401369999,0,1697,2227,24,13125.png,0.8225076895241542,0,0.8908921659889275,0.9146421206176751,3841,2211,0.14812085482682388,14927,train
23,0.5222141296431173,0.3533760473139478,0,0,0,0.9241589592438256,0,1651,2080,23,13174.png,0.8590106941767751,0,0.9161695953570853,0.9322888898002707,3608,2080,0.1356197431049097,15337,train
25,0.4283682008368201,0.2725626963420478,0,1,1,0.9189758386813259,0,4780,4992,24,13253.png,0.8500974090720828,0,0.9173633067920343,0.9205940495373524,8141,4172,0.1683072454413426,24788,train
25,0.36451842248337585,0.22288139927376874,0,1,1,0.9168203269056474,0,3780,6866,24,13298.png,0.8464157421700305,0,0.8952347528876817,0.9394725464764375,9887,6501,0.26022736370186533,24982,train
27,0.33100190195717527,0.19832371429621734,0,0,0,0.923968981318294,0,7539,9717,27,13324.png,0.858682477806532,0,0.9151864815089596,0.9329216752231051,14640,8764,0.2571219011295291,34085,train
27,0.42186664472872365,0.26732002293697543,0,1,1,0.9295504118240714,0,6107,2549,26,13334.png,0.8683738329126243,0,0.9572709747716034,0.9033901254488792,7900,2532,0.09713803422082407,26066,train
26,0.4644621816799696,0.30247524752475247,0,1,1,0.9140796170829542,0,3785,1313,25,13388.png,0.8417556493667743,0,0.9538180155464107,0.877519981878782,4589,1313,0.0736192879170171,17835,train
28,0.4669730306828204,0.30460849028038517,0,2,2,0.930289295742063,0,4024,2605,26,13496.png,0.8696643793869566,0,0.9443815786664389,0.9166114058355438,6361,2545,0.10989722773987391,23158,train
29,0.29781802710751837,0.17496250803399271,1,-4,4,0.8439841099965535,1,1616,6985,33,13500.png,0.7300800251059156,0,0.7690832754801812,0.935048231511254,7728,6317,0.34781411738795287,18162,train
27,0.25308840906649477,0.14487762882794245,1,-6,6,0.8452461540503591,1,3174,8485,33,13534.png,0.7319708499045955,0,0.7895846249225047,0.9093505454960873,9730,7175,0.356238518444963,20141,train
24,0.17757334467164007,0.0974378552642742,1,-7,7,0.8400938092331417,1,9079,15808,31,13630.png,0.7242773733949325,0,0.805277031854352,0.8780572978926302,15742,10158,0.3748616134032032,27098,train
25,0.16923606331727462,0.09244013382955528,1,-3,3,0.836850056040154,1,10088,16696,28,13682.png,0.7194687670199841,0,0.8044690120391624,0.8719471947194719,18192,12221,0.3953097202005499,30915,train
23,0.25460487225193107,0.1458723404255319,1,-1,1,0.8339447769839737,1,3481,5119,24,13698.png,0.7151846332174201,0,0.8083776297072696,0.8611820066996331,6705,4147,0.2749270750464068,15084,train
22,0.2195318805488297,0.12330009066183137,1,-10,10,0.8669602374661578,1,3900,16493,32,13747.png,0.7651631179539147,0,0.8011430087172501,0.9445597475336195,15994,12829,0.4429138615570516,28965,train
27,0.25546161266526696,0.14643507676294562,1,-2,2,0.8326134070697258,1,5586,5613,29,13763.png,0.7132285158250538,0,0.8322775354090719,0.8329495499267323,8735,4829,0.2470076726342711,19550,train
23,0.3023725628376791,0.17811479492998283,1,-4,4,0.8786922856323487,1,2208,9636,27,13767.png,0.7836317135549872,0,0.8165689484504682,0.9510464703795672,10442,8524,0.39295592845288585,21692,train
34,0.28027245855288524,0.16297492003706693,0,14,14,0.9247064911543064,0,11792,16144,20,1377.png,0.8599572893794929,0,0.9139858276946028,0.9356816371946896,17276,9435,0.2506109222269443,37648,train
24,0.24009197889895847,0.136423026669741,1,-7,7,0.8172079386558412,1,4425,5301,31,13780.png,0.6909142911621698,0,0.8039715997337475,0.8308874111442329,7712,4657,0.2716243802857976,17145,train
25,0.32349192863211557,0.1929557836057266,1,-2,2,0.9066757493188011,1,5815,8707,27,1379.png,0.8292834890965732,0,0.8901324921135647,0.9238455695539433,12342,7431,0.2510218558929838,29603,train
23,0.23848649559684826,0.13538726498588718,1,-8,8,0.860187785891983,1,5785,11637,31,13796.png,0.7546750028162668,0,0.8216032254602873,0.902574984422102,13415,9300,0.3694581280788177,25172,train
29,0.2796797349530646,0.16257422564596374,1,-2,2,0.8181561393216435,1,3739,4630,31,13798.png,0.6922709221944403,0,0.8026175555271348,0.8343082513515909,6647,3990,0.24412628487518356,16344,train
24,0.2846567578509051,0.16594740391099122,0,1,1,0.92524462140962,0,8197,11216,23,1380.png,0.8608885704048728,0,0.9146117713337343,0.9361276045319246,16176,9831,0.2812553641929393,34954,train
25,0.32094754653130286,0.19114801676878426,0,3,3,0.9265598603009935,0,6994,7221,22,1382.png,0.8631686351516552,0,0.925474492481397,0.9276477768812199,12477,6918,0.2323269637639789,29777,train
27,0.29500242600679283,0.17302219692657939,0,0,0,0.8561238884750115,0,4171,4906,27,13821.png,0.7484410941440568,0,0.8462647280020055,0.8662154793597845,7281,4211,0.23364589690950452,18023,train
27,0.3128428752285835,0.18542604635651158,0,3,3,0.9411928855216389,0,8503,8356,24,1383.png,0.8889181727734548,0,0.9416757405701204,0.9407105253983196,14584,8083,0.22105234370726906,36566,train
29,0.21623918417799753,0.12122655810126035,0,5,5,0.8625807703641943,0,7599,11520,24,13837.png,0.7583666144279865,0,0.8389374344634744,0.8875954085557067,14298,9121,0.34257276995305164,26625,train
26,0.2842957531316835,0.16570207461490516,0,2,2,0.9350884740026958,0,10503,12131,24,1384.png,0.8780902931132919,0,0.9307429249995718,0.9394747912476733,17959,10466,0.2616369181540923,40002,train
19,0.32673267326732675,0.1952662721893491,0,2,2,0.8614260793720018,0,4376,708,17,1385.png,0.7565833572728143,0,0.9571168988491823,0.7831301417385271,4001,633,0.05229676140118969,12104,train
36,0.2710711683264513,0.156785613936499,0,13,13,0.9249533233127304,0,13082,9186,23,1387.png,0.8603843380670241,0,0.9372596695648611,0.9129659567956676,16717,7486,0.19697926534049048,38004,train
32,0.2973540529189416,0.17464232856438086,0,12,12,0.9331215668766033,0,12684,5591,20,1388.png,0.874627828162946,0,0.9579883079605056,0.9095131086142322,14364,5358,0.16443148688046647,32585,train
24,0.22558577048058834,0.12713253012048192,1,-2,2,0.8708699996776585,1,8317,7707,26,13887.png,0.771275229095892,0,0.8751720898592508,0.8666099982357941,12216,6444,0.2608590049791523,24703,train
25,0.29215354447041125,0.1710654628959703,0,0,0,0.9397621690185508,0,11045,7951,25,1389.png,0.8863692103389902,0,0.9490738368518139,0.9306314454032735,16081,7654,0.2062683590697173,37107,train
26,0.19940003529204164,0.11074088592708742,0,4,4,0.8540824435921357,0,9790,7102,22,13890.png,0.7453262573875287,0,0.8743853691322651,0.8347009759227366,12215,5665,0.23706896551724138,23896,train
27,0.2227115126667173,0.12530971435081023,0,12,12,0.9309891821679537,0,16261,11738,15,1390.png,0.8708884574769782,0,0.9414849599696906,0.9207248404600211,19550,10672,0.2818508345658145,37864,train
26,0.2803940089056807,0.1630571249215317,1,-5,5,0.8503121121085107,1,4179,4142,31,13908.png,0.7396025661085902,0,0.8508784562211982,0.849746521410851,6879,3805,0.2259098735379683,16843,train
35,0.22480292442742397,0.12663547474294679,0,15,15,0.9265757054196339,0,17340,10261,20,1391.png,0.8631961379091576,0,0.9443594915842444,0.909449332880754,20243,9509,0.2308962435956584,41183,train
27,0.26083768673815416,0.14997892074198987,1,-6,6,0.8720844730727374,1,5680,7367,33,13923.png,0.7731824345467821,0,0.8578951429343004,0.8867510716777989,10812,6158,0.2568080403686559,23979,train
25,0.2675098814229249,0.15440773863843768,0,2,2,0.9202346600116117,0,10870,7540,23,1393.png,0.8522543055711603,0,0.9337061264683126,0.9071463960500914,14798,6924,0.21320359650203227,32476,train
26,0.26186654437055723,0.15065963060686016,0,3,3,0.889453578295598,0,11180,1871,23,1394.png,0.8009152619937457,0,0.9655908045977012,0.8244457006469443,9640,1861,0.07725838591829957,24088,train
30,0.22597417771805808,0.1273793058025423,0,5,5,0.9058407732132266,0,18128,5370,25,1395.png,0.8278875240794861,0,0.9546448872034392,0.8617839688312481,16552,4559,0.12608900074674337,36157,train
23,0.30920237800346795,0.18287367688532397,0,3,3,0.9175683620746716,0,12725,8446,20,1396.png,0.8476917432248688,0,0.9331147644841459,0.9025315001340432,13968,7637,0.22929802437999158,33306,train
28,0.19146857701074568,0.10586964350018005,1,-8,8,0.7914019648201511,1,9572,9177,36,13971.png,0.6548099051827304,0,0.7948952908834902,0.7879392086490319,12492,6547,0.27750932519498134,23592,train
23,0.2515204702232744,0.1438509664767952,1,-3,3,0.8717798455751337,1,4425,11766,26,13982.png,0.7727036626282762,0,0.8238833672614059,0.9255889821245397,12923,9389,0.3733052363723112,25151,train
31,0.28914557132833163,0.16900653058649084,0,9,9,0.9349892345617374,0,13068,7766,22,1400.png,0.8779152895951996,0,0.9507183470403087,0.9197721105558488,16938,7236,0.18609196584713505,38884,train
18,0.3699513919575784,0.22695727607894167,1,-1,1,0.8514315734173891,1,4545,1111,19,1402.png,0.7412980835201024,0,0.9358470955075644,0.780984965304549,4261,1069,0.07981185605494998,13394,train
22,0.6371403319257586,0.46750252197723013,1,-2,2,0.9236781948233906,1,989,1081,24,14022.png,0.8581803233762675,0,0.920555596384214,0.9268220495745468,1996,1081,0.08957573748757043,12068,train
23,0.25416372262036946,0.1455827937095282,0,2,2,0.933155422233704,0,12310,14341,21,1404.png,0.8746873177979649,0,0.928425980455766,0.937933294678196,19434,11573,0.29850399793654886,38770,train
18,0.21551805411520694,0.12077345731191885,1,-4,4,0.8883360676538815,1,11314,19927,22,1405.png,0.7991048749590056,0,0.8618051943548667,0.9165523447065245,19556,12902,0.37024708009297785,34847,train
27,0.556219596942321,0.38525221409318444,0,3,3,0.9357334534699234,0,633,2648,24,14050.png,0.8792284757242242,0,0.900203512474561,0.9741832864309311,3281,2648,0.1659459798207683,15957,train
32,0.20268721344880286,0.11277236492471214,0,9,9,0.8836761424053377,0,18710,6779,23,1406.png,0.7915947835329709,0,0.934562478884116,0.8380451153852813,16071,5212,0.16081952544046407,32409,train
22,0.5793035801863659,0.40776028721347696,1,-1,1,0.9159178194563555,1,451,1804,23,14064.png,0.8448785856779253,0,0.8719295754650007,0.9645802246132098,2255,1804,0.15332313445520993,11766,train
