image,priority_score,failure_type,r110_dice,araa_dice,nnunet_dice,r110_recall,araa_recall,r110_boundary_iou,araa_boundary_iou,r110_gap_fp,araa_gap_fp,nnunet_gap_fp,r110_component_merge,araa_component_merge,nnunet_component_merge,r110_component_mae,araa_component_mae,nnunet_component_mae,component_deficit,merge_deficit,gap_excess,recall_buffer_vs_araa,dice_buffer_vs_araa,boundary_buffer_vs_araa
3900.png,0.10595407211539173,gap_fp_candidate,0.8997330791229743,0.9029477825499354,0.9121006284574568,0.9178003597996791,0.9128215101862206,0.1373663448562234,0.13393888480520844,0.36963726131163066,0.29934395923980434,0.4003877629235521,0.0,1.0,1.0,1.0,5.0,4.0,0.0,0.0,0.07029330207182632,0.004978849613458514,-0.003214703426961063,0.0034274600510149633
3503.png,0.07791191328890258,gap_fp_candidate,0.9097810234866459,0.9236766929927743,0.9360538883352665,0.9271110026673469,0.9144619001935351,0.15481076151390788,0.1643115156769253,0.28060147522709483,0.22866019970115978,0.2975831890520124,1.0,1.0,1.0,1.0,3.0,2.0,0.0,0.0,0.051941275525935054,0.01264910247381179,-0.013895669506128416,-0.009500754163017433
1789.png,0.0771627593132635,gap_fp_candidate,0.9051968224382018,0.8920966194272217,0.9031442932852538,0.882340472472282,0.8365294354297975,0.1225357452339688,0.10183491034554865,0.23253835120219774,0.18534996231736076,0.21607954683587388,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.04718838888483698,0.04581103704248446,0.013100203010980027,0.020700834888420158
1703.png,0.07321385187822292,gap_fp_candidate,0.9418539444726596,0.9354712490454127,0.9446946972920797,0.9531848139760248,0.9280211160903109,0.18679135008766803,0.15172866271109084,0.28385999027710257,0.23962080700048616,0.3511424404472533,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.04423918327661641,0.02516369788571393,0.006382695427246898,0.035062687376577195
12622.png,0.0719175110311367,gap_fp_candidate,0.9267271864130908,0.9246314788397527,0.932339427308505,0.9497964452388045,0.9267798629728925,0.2701982835158331,0.2699994173512789,0.21549563564082622,0.16791979949874686,0.1999395039322444,1.0,1.0,1.0,5.0,5.0,5.0,0.0,0.0,0.04757583614207936,0.023016582265911967,0.0020957075733381014,0.00019886616455416783
1821.png,0.05626008256719976,mixed_or_low_priority,0.9383698460956924,0.9154711954711955,0.9464924937138283,0.9357201346556273,0.8933153099289028,0.16837466335560142,0.12739560217873713,0.2477630270776069,0.2181706532545763,0.2546932569156091,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.029592373823030593,0.042404824726724466,0.02289865062449692,0.040979061176864284
1716.png,0.0530405466315369,gap_fp_candidate,0.9184830628161156,0.9178456715935367,0.9238334016265357,0.8960775396895426,0.8863850784967183,0.12486529204684245,0.13444283646888566,0.21353313764869458,0.1782790050980998,0.2111849219836243,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.035254132550594786,0.009692461192824298,0.0006373912225788869,-0.009577544422043213
1891.png,0.04508893856920687,gap_fp_candidate,0.9102914905903751,0.9131161486176148,0.9144675496087143,0.947716494729508,0.9439181444272132,0.10810345322501938,0.12068669527896995,0.44410964230171074,0.4140503499222395,0.4719090202177294,1.0,1.0,1.0,1.0,6.0,4.0,0.0,0.0,0.030059292379471247,0.003798350302294806,-0.002824658027239746,-0.012583242053950575
4319.png,0.03324152214305151,mixed_or_low_priority,0.8988380789084873,0.8972475031844782,0.9040745411491458,0.969981496791465,0.9567143025865124,0.17516429934280262,0.18579611753474065,0.3857914057438998,0.363895486935867,0.38803714100626213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02189591880803282,0.013267194204952593,0.0015905757240091134,-0.010631818191938036
15567.png,0.024630295763389265,mixed_or_low_priority,0.933788438394821,0.9357100254271872,0.9445191035395303,0.9514778637574527,0.9453148124656434,0.23346252667334408,0.2353450140601341,0.23960831334932053,0.2231881161737277,0.22998268052224888,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.016420197175592843,0.006163051291809274,-0.0019215870323662232,-0.0018824873867900327
