accepted,action_frac,bg_a_area,bg_b_area,bg_channel_proxy,bg_component_count_delta,bg_components_after,bg_components_before,bg_pair_distance,bridge_score_mean,bridge_score_p90,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_family,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,component_area,corridor_radius,cut_adjacent_bg_components_before,cut_anchor_area_frac,cut_area,cut_bbox_h,cut_bbox_w,cut_component_bg_frac_after,cut_component_border_contacts_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_max_dist_in,cut_mean_dist_in,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,image,overerosion_proxy,pred_component_id,r240_gate_risk,r240_gate_safe_gain,reject_reason,ring_bg_frac,ring_fg_frac,run_id,seam_prob_mean,seam_prob_p90,split
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,33.60059523282288,0.8660518266260624,1.1374863296747209,0.26278695126862667,0.15126927089370582,0.0,0.0,0.7885072206930357,bg_seed,0.38031537916371366,0.6508558979147214,0.6905296526218465,0.9188856665787855,3063.0,1.0,1.0,0.00026409613099168095,4.0,2.0,2.0,0.5353185595567868,3.0,1.0,1.0,0.0,2.0,1.5,0.024806750938296318,0.4490196108818054,0.03232058305293322,1.0,0.007069707848131657,-0.0001853409228090852,-0.0001228404752036949,0.0,0.0,-0.00018269448132812727,0.0,-0.00024898848428267506,-8.172992139920954e-05,-0.0003515247385534881,13517.png,1.0,20.0,1.0,0.0,low_mean_prob,0.40625,0.59375,R239-gtfree-bg-channel-seam-prob-editor,0.006170368712517099,0.012720823731414282,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,54.45181356024793,1.521072419514571,2.0150447297819007,0.265033499116281,0.1527600094764274,1.0,-1.0,0.8736074889030898,bg_seed,0.31793061099171016,0.7755799868132542,0.8442689990152059,0.9050584214575841,9344.0,2.0,1.0,5.007176953633541e-05,3.0,2.0,2.0,0.36634349030470914,3.0,0.75,0.0,1.0,1.4142135623730951,1.1380711874576983,0.029973844066262245,0.4588235318660736,0.031213756650686264,1.0,0.006403894163668156,0.0002961810204165083,0.0001967573206423101,0.0,0.0,2.2632122923860187e-05,-0.00011513662879952813,3.567525238334923e-05,4.227404274537161e-05,0.0,13840.png,0.0,20.0,0.0,1.0,low_mean_prob,0.4375,0.5625,R239-gtfree-bg-channel-seam-prob-editor,0.0012969215363807104,0.002489145075135341,val
0.0,0.25,1.0,1.0,1.0,0.0,3.0,3.0,61.0,0.8475412607362388,1.426776695296637,0.27641093273909684,0.1603693931398417,4.0,-4.0,0.8649237933954276,bg_seed,0.2726343582318371,0.7619962328192312,0.8490711109263954,0.8813796971396523,10541.0,2.0,2.0,0.0003323777473098176,16.0,3.0,60.0,0.3106303418803419,3.0,0.08888888888888889,0.25,0.1875,2.0,1.3901650429449552,0.06792654097080231,0.6142157316207886,0.10727901756763458,20.0,0.029112033545970917,-0.00028257529056513464,-0.00019026895097140617,0.0,0.0,6.178865448613902e-05,-0.00012775743122395156,9.591025662980535e-05,0.00019911790632809456,-8.628499935292577e-05,13867.png,1.0,19.0,1.0,0.0,low_mean_prob,0.39285714285714285,0.6071428571428571,R239-gtfree-bg-channel-seam-prob-editor,0.006062752877924777,0.021674707747732613,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,37.33630940518894,0.8717726124958671,1.0802821516990662,0.2220662768031189,0.1249013244452241,4.0,4.0,0.8095259154431276,bg_seed,0.0748659377393969,0.6800029718785987,0.8854116281319532,0.7456211812627291,5338.0,1.0,1.0,0.00043513997002369095,9.0,32.0,6.0,0.5619747899159664,4.0,0.046875,0.8888888888888888,0.1111111111111111,2.0,1.2491822985688092,0.034975312650203705,0.6431372761726379,0.040761259198188786,5.333333333333333,0.009056474082171917,0.0002949151175941356,0.00018656228970365119,0.0,0.0,-0.0001926528587758991,-6.964273278083077e-05,-0.00027191668009374226,-1.5130951415143201e-06,-0.00032586558044800373,1399.png,1.0,19.0,1.0,0.0,low_mean_prob,0.3918918918918919,0.6081081081081081,R239-gtfree-bg-channel-seam-prob-editor,0.00038939269011177704,0.0003938764057160947,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,46.09772228646444,1.236137357419434,1.8544047117233278,0.16184273999035215,0.0880461881642829,0.0,0.0,0.6373310548392108,bg_seed,0.05993229023698417,0.4677079176879667,0.9058291013468757,0.4916117435590174,4182.0,2.0,1.0,0.0015432098765432098,14.0,31.0,34.0,0.5411513859275053,4.0,0.013282732447817837,1.0,0.0,2.23606797749979,1.5046067930175702,0.007766785565763712,0.8131652474403381,0.013327562715858225,1.096774193548387,0.0038099356461316347,-0.0012598334058058769,-0.0007462348822837861,-1.0,1.0,-0.0007405234543998995,0.0,-0.0007980391039160706,-0.0001453254608845267,-0.0008388256440982622,1418.png,1.0,13.0,1.0,0.0,low_mean_prob,0.39473684210526316,0.6052631578947368,R239-gtfree-bg-channel-seam-prob-editor,0.0004197255768847574,0.000513336744996575,val
0.0,0.25,1.0,1.0,1.0,0.0,2.0,2.0,135.10366390294527,0.7730401170552949,1.1518505275249482,0.44051099275159183,0.28247136767500386,1.0,-1.0,0.9396112196770449,bg_seed,0.19069521942391796,0.8861006803475177,0.9265822417990032,0.9530118327322583,27090.0,1.0,2.0,0.0001159017153453871,8.0,54.0,51.0,0.36181353767560664,4.0,0.002904865649963689,0.5,0.5,2.0,1.426776695296637,0.05928138643503189,0.5627450942993164,0.09486891701817513,1.0588235294117647,0.04870487377047539,-9.635471044894262e-05,-7.924377294599161e-05,0.0,0.0,-3.548993157798108e-06,-0.00015080681646811867,-6.3125722723489375e-06,4.9441613560463615e-05,-5.961074185567572e-05,15040.png,1.0,20.0,1.0,0.0,low_mean_prob,0.421875,0.578125,R239-gtfree-bg-channel-seam-prob-editor,0.0010843329380683994,0.0025536494594836086,val
0.0,0.25,1.0,1.0,1.0,-1.0,2.0,3.0,145.24806367039804,0.9096782524024665,1.2140472368952082,0.4485981308411215,0.2891566265060241,2.0,-2.0,0.9373780129335685,bg_seed,0.19218449711723254,0.8821368504912809,0.9203170694166538,0.9550834597875569,26272.0,1.0,2.0,0.00033850320039389466,22.0,140.0,20.0,0.3015422077922078,2.0,0.007857142857142858,0.9545454545454546,0.045454545454545456,2.8284271247461903,1.6558887856471693,0.0698554664850235,0.5491978526115417,0.09517963379621508,7.0,0.06572128087282181,-4.186915887849363e-05,-3.4792635890124046e-05,0.0,0.0,-0.00016754064527746415,-3.7683234728885795e-05,-0.00029679806366655903,-1.1586417910436353e-05,-0.00033543646673583893,15067.png,1.0,20.0,1.0,0.0,low_mean_prob,0.2357142857142857,0.7642857142857142,R239-gtfree-bg-channel-seam-prob-editor,0.17077268392622735,0.9233598632045813,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,50.59644256269407,1.2870619908201058,1.808763678137124,0.3133841131664853,0.18580645161290324,2.0,2.0,0.8297020898176968,bg_seed,0.23969072164948454,0.708966565349544,0.7436238044633369,0.9383171304056319,1821.0,2.0,1.0,0.0010615711252653928,4.0,2.0,2.0,0.6038781163434903,4.0,1.0,1.0,0.0,2.0,1.3535533905932737,0.009962629526853561,0.7882353067398071,0.011373744066804648,1.0,0.006200544070452452,-0.00269218111144387,-0.001895813759265036,0.0,0.0,-0.0006934071457160851,0.0,-0.0010131712259372483,-0.0002721615663870969,-0.001340931947703683,1518.png,1.0,4.0,1.0,0.0,low_mean_prob,0.40625,0.59375,R239-gtfree-bg-channel-seam-prob-editor,0.0004184382839139082,0.0004614575105368652,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,48.27007354458868,1.1885914427222695,1.9797941303343518,0.36119689063997445,0.22040285899935022,2.0,2.0,0.8039977340778506,bg_seed,0.09630668536699392,0.6722376344813586,0.8127454188481675,0.7954363490792634,1818.0,2.0,1.0,0.0008173941474579042,10.0,46.0,14.0,0.5739024390243902,4.0,0.015527950310559006,0.0,1.0,2.0,1.1828427124746193,0.00983051210641861,0.6764706373214722,0.011976645607501266,3.2857142857142856,0.004018411505967379,0.0017086177188657126,0.0012710679933715385,0.0,0.0,0.00032518918220258985,-0.0009350163627863534,0.00045455246093806245,0.0006643333487397207,0.0,1522.png,0.0,18.0,0.0,1.0,low_mean_prob,0.4125,0.5875,R239-gtfree-bg-channel-seam-prob-editor,0.0004140199287783903,0.0004561789653741017,val
0.0,0.25,1.0,1.0,1.0,0.0,2.0,2.0,72.00694410957877,0.8157968928567144,1.0276809334754944,0.38789559704818977,0.24061443932411675,0.0,0.0,0.9111958405545927,bg_seed,0.045071928027435086,0.8368776263848211,0.9749054317996391,0.8553022579875497,6037.0,1.0,2.0,0.00014832027290930216,6.0,13.0,69.0,0.2478134110787172,3.0,0.006688963210702341,1.0,0.0,2.0,1.4023689270621826,0.03481605276465416,0.4320261478424072,0.04315492697060108,5.3076923076923075,0.0171560849994421,-0.0002883839192963644,-0.0002219690399669072,0.0,0.0,-7.547512542949164e-05,0.0,-0.0001273398701132633,-3.722033203978903e-06,-0.0001301433746176972,15274.png,1.0,20.0,1.0,0.0,low_mean_prob,0.328125,0.671875,R239-gtfree-bg-channel-seam-prob-editor,0.0038389655127128134,0.008769822876175464,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,18.027756377319946,1.4057446519533794,1.9809711456298829,0.49315326337584114,0.3272749984385735,0.0,0.0,0.9312657819504544,bg_seed,0.11311750290210242,0.8713726633082143,0.9398069151324652,0.9228784972551095,6298.0,2.0,1.0,6.735064993377186e-05,3.0,2.0,2.0,0.5013850415512465,3.0,0.75,1.0,0.0,2.0,1.3333333333333333,0.020106520503759384,0.7490196228027344,0.023453235253691675,1.0,0.013956964015960693,-0.0001624963680865732,-0.00014314702506057486,0.0,0.0,-3.5664100713539426e-05,0.0,-6.245055997344817e-05,-4.054043387324846e-06,-6.614194060450274e-05,15369.png,1.0,19.0,1.0,0.0,low_mean_prob,0.375,0.625,R239-gtfree-bg-channel-seam-prob-editor,0.0005001781131058668,0.0005878740281223132,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,47.80167361086848,0.8666005432605743,1.1387736797332764,0.3581626650981231,0.21814747264200104,1.0,-1.0,0.9018411698869716,bg_seed,0.05974428880323399,0.8212301765074814,0.9664944377075974,0.845295460309409,6590.0,1.0,1.0,0.00010543518372080763,4.0,2.0,2.0,0.5166204986149584,3.0,1.0,0.5,0.5,2.0,1.5,0.03495815768837929,0.5382353067398071,0.04623577333986759,1.0,0.007530534639954567,0.0002746856405721476,0.00020376662167265192,0.0,0.0,-4.8288093917880914e-06,-9.401146939926747e-05,-8.008324306363335e-06,4.918492674432784e-05,-4.611163627143977e-05,15446.png,1.0,21.0,1.0,0.0,low_mean_prob,0.375,0.625,R239-gtfree-bg-channel-seam-prob-editor,0.00035503548428435965,0.0003558038677625897,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,26.0,1.7794117647058822,2.25,0.22979232975136293,0.12981094456510128,2.0,-2.0,0.8976918640779303,bg_seed,0.3228231427093161,0.8143747059682365,0.8849099674772385,0.9108484232681351,51249.0,2.0,1.0,0.00014981141386724946,17.0,3.0,20.0,0.3956043956043956,2.0,0.2833333333333333,0.0,0.23529411764705882,1.0,1.0,0.044275421649217606,0.6341407299041748,0.05545935407280922,6.666666666666667,0.005340639501810074,4.1305484107967416e-05,2.636204774325579e-05,0.0,0.0,6.821854633498603e-05,-0.00012173965973766299,0.00011227926329016036,0.00013256961337304585,0.0,1572.png,0.0,19.0,0.0,1.0,low_mean_prob,0.4956521739130435,0.5043478260869565,R239-gtfree-bg-channel-seam-prob-editor,0.00393877554647351,0.003732371736604821,val
0.0,0.25,1.0,1.0,1.0,0.0,1.0,1.0,53.0,1.0479518473148346,1.6542525529861452,0.5306492564381574,0.3611453961984695,1.0,-1.0,0.9199004000783371,bg_seed,0.1799820832315335,0.851681085841579,0.8811706062067857,0.9621912677045534,6835.0,2.0,1.0,0.0006427767957576731,12.0,43.0,26.0,0.48999591670069415,4.0,0.01073345259391771,0.5833333333333334,0.4166666666666667,2.0,1.5,0.0422179251909256,0.7545751929283142,0.06450174860656262,1.6538461538461537,0.021625492721796036,0.0005484664626739244,0.0005078869323464907,0.0,0.0,-8.281905185447691e-05,-0.0004071992833292737,-0.00014199267509806823,0.00019144288791483888,-0.00040969214561625833,1590.png,1.0,18.0,1.0,0.0,low_mean_prob,0.3472222222222222,0.6527777777777778,R239-gtfree-bg-channel-seam-prob-editor,0.000392624977746872,0.0005227566923331582,val
0.0,0.25,1.0,1.0,1.0,0.0,2.0,2.0,83.43860018001261,0.9947261589219075,1.7892135381698608,0.41735252647801424,0.2637052997969585,2.0,-2.0,0.9323804658421706,bg_seed,0.1944470412265121,0.8733265325438808,0.9271495081894001,0.9376707843092974,29656.0,2.0,2.0,0.00017860531574070973,16.0,25.0,23.0,0.26340650180605724,4.0,0.02782608695652174,0.0,1.0,2.23606797749979,1.5040309438903738,0.02194969542324543,0.3710784316062927,0.02808757871389389,1.0869565217391304,0.011338267475366592,0.0008034270981133185,0.0006411913886870124,0.0,0.0,8.3741263877668e-05,-0.0004985821569910565,0.00014692727380516413,0.00016559383064906896,0.0,1620.png,0.0,20.0,0.0,1.0,low_mean_prob,0.34523809523809523,0.6547619047619048,R239-gtfree-bg-channel-seam-prob-editor,0.13407512000225236,0.5026800594449206,val
