accepted,action_frac,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_family,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,corridor_radius,cut_area,cut_gt_fg_frac,cut_gt_gap_frac,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,dilate_radius,hard_risk,image,overerosion_proxy,pred_component_id,quick_useful,reject_reason,ridge_area,ridge_score,ridge_slenderness,safe_gap_positive,seam_prob_mean,seam_prob_p90
0.0,0.35,0.45657826313052524,0.29582210242587603,1.0,-1.0,0.9247124221460307,corridor,0.10558419243986254,0.8599675483944003,0.9487729231281614,0.9018420688154172,1.0,4.0,0.5,0.5,0.00030018320619323857,0.00025197804624244036,0.0,0.0,-3.0546965230637824e-06,-8.59106529209619e-05,-5.28384467601839e-06,3.736271604781738e-05,-3.957183276948051e-05,,0.0,13480.png,0.0,21.0,1.0,duplicate_cut,,,,0.0,0.012500305154890033,0.03155128889526977
0.0,0.25,0.456535098085559,0.2957858630405488,1.0,-1.0,0.9246860226834662,corridor,0.1054553264604811,0.8599218853185909,0.9488268482085233,0.9017431392334936,2.0,12.0,0.5833333333333334,0.4166666666666667,0.00025701816122697396,0.0002157386609152323,0.0,0.0,-2.945415908750526e-05,-0.00021477663230240474,-5.0946920485350766e-05,9.12877964096559e-05,-0.00013850141469307076,,0.0,13480.png,1.0,21.0,1.0,low_mean_prob,,,,0.0,0.008754310240945267,0.018475288617606056
0.0,0.5,0.4562331711464878,0.2955324357405141,1.0,-1.0,0.9246687901965955,corridor,0.10558419243986254,0.8598920795441681,0.9487686574931823,0.9017629251498783,1.0,8.0,0.75,0.25,-4.490877784418812e-05,-3.7688639119515255e-05,0.0,0.0,-4.668664595819383e-05,-8.59106529209619e-05,-8.075269490814829e-05,3.309708106868925e-05,-0.0001187154983083305,,1.0,13480.png,1.0,21.0,0.0,recall_drop,,,,0.0,0.505925801471927,0.9994906731480931
0.0,0.2,0.4561768039289762,0.2954851339777316,1.0,-1.0,0.9247130694214708,prob_ridge,0.10468213058419244,0.8599686680130613,0.9491687846339736,0.9014859223204923,,43.0,0.46511627906976744,0.5348837209302325,-0.00010127599535580956,-8.499040190201868e-05,0.0,0.0,-2.4074210829283516e-06,-0.0009879725085910618,-4.164226015013206e-06,0.00043322422185998466,-0.000395718327694361,0.0,1.0,13480.png,0.0,21.0,0.0,recall_drop,43.0,1.005153205394745,1.375,0.0,0.9338954441001591,0.9820638521268535
0.0,0.35,0.4561635427977905,0.29547400611620794,1.0,-1.0,0.9245878354385431,corridor,0.1054553264604811,0.8597520707937886,0.9488172580376478,0.9015650659860311,2.0,21.0,0.7619047619047619,0.23809523809523808,-0.00011453712654152515,-9.611826342564855e-05,0.0,0.0,-0.00012764140401066992,-0.00021477663230240474,-0.00022076144528770936,8.169762553422721e-05,-0.000316574662155511,,1.0,13480.png,1.0,21.0,0.0,low_mean_prob,,,,0.0,0.008465133261047105,0.019586844439331185
0.0,0.5,0.4556257662925587,0.2950229007633588,1.0,-1.0,0.924478717467404,corridor,0.1054553264604811,0.8595633879884527,0.9488065980755613,0.901367206822184,2.0,31.0,0.8387096774193549,0.16129032258064516,-0.0006523136317733158,-0.0005472236162747945,0.0,0.0,-0.0002367593751497754,-0.00021477663230240474,-0.000409444250623614,7.103766344773721e-05,-0.0005144338260026915,,1.0,13480.png,1.0,21.0,0.0,low_mean_prob,,,,0.0,0.3281216419414196,0.9994738287420584
0.0,0.25,0.4554212315829241,0.2948514124984713,1.0,-1.0,0.9245736662169154,corridor,0.1056701030927835,0.8597275677307373,0.9487216855429713,0.9016244237351853,1.0,13.0,1.0,0.0,-0.0008568483414079231,-0.0007187118811622928,0.0,0.0,-0.0001418106256383389,0.0,-0.0002452645083389493,-1.3874869142282975e-05,-0.00025721691300140126,,1.0,13480.png,1.0,21.0,0.0,low_mean_prob,,,,0.0,0.08470966502404792,0.03186271244637693
0.0,0.35,0.4547126220000943,0.2942576432537987,1.0,-1.0,0.9244536433919767,corridor,0.1056701030927835,0.8595200362236812,0.9487099394015118,0.9014067786549534,1.0,24.0,1.0,0.0,-0.0015654579242376787,-0.0013124811258348745,0.0,0.0,-0.00026183345057706475,0.0,-0.00045279601539505165,-2.562101060177291e-05,-0.000474861993233211,,1.0,13480.png,1.0,21.0,0.0,low_mean_prob,,,,0.0,0.3802162992882054,0.9994471459253247
0.0,0.5,0.4543698468786808,0.2939706151313784,1.0,-1.0,0.9244099920858784,corridor,0.1056701030927835,0.8594445702211154,0.9487056667430285,0.9013276349894145,1.0,28.0,1.0,0.0,-0.0019082330456511865,-0.0015995092482551931,0.0,0.0,-0.000305484756675356,0.0,-0.0005282620179608566,-2.9893669085123697e-05,-0.000554005658772172,,1.0,13480.png,1.0,21.0,0.0,recall_drop,,,,0.0,0.4686778536264965,0.9994471796562431
0.0,0.25,0.4540270512276733,0.2936836971101085,1.0,-1.0,0.9242353514237583,corridor,0.1056701030927835,0.859142706210852,0.9486885689881461,0.9010110603272591,2.0,44.0,1.0,0.0,-0.002251028696658719,-0.0018864272695250928,0.0,0.0,-0.00048012541879538517,0.0,-0.0008301260282242984,-4.699142396746847e-05,-0.000870580320927572,,1.0,13480.png,1.0,21.0,0.0,low_mean_prob,,,,0.0,0.00676731662275492,0.010946729125463435
0.0,0.35,0.45364222818665534,0.2933617539585871,1.0,-1.0,0.9240715742892811,corridor,0.1056701030927835,0.8588597087012301,0.9486725294877673,0.9007142715814883,2.0,59.0,1.0,0.0,-0.0026358517376766644,-0.0022083704210464905,0.0,0.0,-0.0006439025532726239,0.0,-0.0011131235378462057,-6.303092434634117e-05,-0.0011673690666983427,,1.0,13480.png,1.0,21.0,0.0,low_mean_prob,,,,0.0,0.1763863784563083,0.9992268943759528
0.0,0.5,0.45289582549830765,0.29273776967487086,1.0,-1.0,0.9238749758905278,corridor,0.1056701030927835,0.8585201116896838,0.9486532688458973,0.9003581250865634,2.0,77.0,1.0,0.0,-0.003382254426024356,-0.0028323547047627295,0.0,0.0,-0.0008405009520259243,0.0,-0.0014527205493924944,-8.229156621630818e-05,-0.0015235155616232232,,1.0,13480.png,1.0,21.0,0.0,low_mean_prob,,,,0.0,0.35597379591687295,0.9994471796562431
1.0,0.35,0.27676216462028197,0.16060590067029082,4.0,-4.0,0.8649718470852208,corridor,0.2722510859381654,0.762070830458216,0.849083655404563,0.8814659821390052,1.0,12.0,0.0,1.0,6.865659061999763e-05,4.623857947771981e-05,0.0,0.0,0.00010984234427935391,-0.0005110297248956952,0.00017050789561456892,0.00021166238449565888,0.0,,0.0,13867.png,0.0,19.0,1.0,accepted,,,,1.0,0.4653775757322016,0.9814805905310044
0.0,0.25,0.2767089643880475,0.16057007125890738,4.0,-4.0,0.8649352298704598,corridor,0.2724214291797973,0.7620139860139861,0.8490130895491378,0.8814659821390052,2.0,8.0,0.0,1.0,1.5456358385512736e-05,1.0409168094277499e-05,0.0,0.0,7.322512951835058e-05,-0.0003406864832637968,0.00011366345138463796,0.00014109652907046133,0.0,,0.0,13867.png,0.0,19.0,1.0,max_cuts_reached,,,,1.0,0.6941504201310139,0.9843665299864488
0.0,0.2,0.2791119989104281,0.16219068221389754,3.0,-3.0,0.8650823056158365,prob_ridge,0.27156971297163784,0.7622423281410317,0.8493566424844617,0.8814012683894905,,31.0,0.0967741935483871,0.9032258064516129,0.002418490880766122,0.0016310201230844423,-1.0,1.0,0.0002203008748951074,-0.0011924026914232333,0.0003420055784302267,0.0004846494643944155,-6.471374951466657e-05,0.0,0.0,13867.png,0.0,19.0,1.0,recall_drop,31.0,1.0185266518592835,2.0,1.0,0.978645929977565,0.9994864805451091
0.0,0.35,0.27730519037438023,0.16097174544494322,4.0,-4.0,0.8650794490964716,corridor,0.2715271271612299,0.762237892694575,0.8493711672383328,0.8813796971396523,2.0,33.0,0.12121212121212122,0.8787878787878788,0.0006116823447182562,0.00041208335413012165,0.0,0.0,0.00021744435553017194,-0.0012349885018311801,0.00033757013197355246,0.0004991742182655079,-8.628499935292577e-05,,0.0,13867.png,0.0,19.0,1.0,recall_drop,,,,1.0,0.4160603394333818,0.9835246717303394
0.0,0.5,0.2771818181818182,0.1608886074613477,4.0,-4.0,0.8650256736011858,corridor,0.27144195554041395,0.7621543972239841,0.8493876956982764,0.881250269640623,2.0,41.0,0.24390243902439024,0.7560975609756098,0.0004883101521562239,0.00032894537053460016,0.0,0.0,0.00016366886024432592,-0.0013201601226471293,0.0002540746613827194,0.0005157026782091068,-0.0002157124983821479,,0.0,13867.png,0.0,19.0,1.0,recall_drop,,,,1.0,0.40309504842510663,0.9838764863315149
0.0,0.25,0.27665574963609896,0.16053423428179275,4.0,-4.0,0.8648986157558312,corridor,0.2725917724214292,0.7619571500494136,0.8489425354219471,0.8814659821390052,1.0,4.0,0.0,1.0,-3.775839356301436e-05,-2.542780902034525e-05,0.0,0.0,3.6611014889720295e-05,-0.0001703432416318984,5.682748681212768e-05,7.054240187975847e-05,0.0,,1.0,13867.png,0.0,19.0,0.0,boundary_iou_drop,,,,1.0,0.9803811033572869,0.9873653522008639
0.0,0.5,0.27658607525904383,0.16048731606982755,4.0,-4.0,0.8649237933954276,corridor,0.2722510859381654,0.7619962328192312,0.8490711109263954,0.8813796971396523,1.0,16.0,0.25,0.75,-0.00010743277061814327,-7.234602098554754e-05,0.0,0.0,6.178865448613902e-05,-0.0005110297248956952,9.591025662980535e-05,0.00019911790632809456,-8.628499935292577e-05,,1.0,13867.png,0.0,19.0,0.0,recall_drop,,,,1.0,0.406440893968626,0.9789332993524722
