accepted,action_frac,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,corridor_radius,cut_area,cut_gt_fg_frac,cut_gt_gap_frac,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,hard_risk,image,overerosion_proxy,pred_component_id,quick_useful,reject_reason,safe_gap_positive,seam_prob_mean,seam_prob_p90
0.0,0.5,0.4538131261500716,0.2935047075002645,3.0,-3.0,0.9401366128228431,0.21081994263937454,0.8870356540259453,0.920121653803116,0.9610416853966256,2.0,33.0,0.8787878787878788,0.12121212121212122,-0.0007844807996087999,-0.0006566119036703899,0.0,0.0,-0.00019765595504617206,-0.00015715239853847374,-0.0003519825388451636,1.95588490730092e-05,-0.00043453504749924043,1.0,14041.png,1.0,19.0,0.0,low_mean_prob,0.0,0.04116380292389854,0.13709144097372622
0.0,0.5,0.43664933931193206,0.27930351794507335,0.0,0.0,0.9389504326028948,0.19077062283215201,0.8849260783417162,0.9264669616305216,0.9517749098387529,2.0,89.0,0.9775280898876404,0.02247191011235955,-0.003958008150108716,-0.003247093502876497,-1.0,1.0,-0.0006643360673078691,-7.540340823405933e-05,-0.0011809145780737884,-6.583855492114932e-05,-0.0012965336353610857,1.0,15040.png,1.0,20.0,0.0,dice_drop,0.0,0.7861817950600293,0.9994669518154168
0.0,0.35,0.4389134857006103,0.28115897593131994,0.0,0.0,0.9392467389307367,0.19077062283215201,0.8854526056172146,0.9265074739390776,0.9523412118863819,2.0,51.0,0.9607843137254902,0.0392156862745098,-0.001693861761430493,-0.0013916355166299077,-1.0,1.0,-0.0003680297394659249,-7.540340823405933e-05,-0.0006543873025753877,-2.532624636508718e-05,-0.0007302315877321108,1.0,15040.png,1.0,20.0,0.0,recall_drop,0.0,0.6272634429677798,0.9994669518154168
0.0,0.35,0.4396930700983135,0.28179908816146715,1.0,-1.0,0.9394355745281148,0.19084602624038607,0.8857883141895169,0.9265083114737468,0.9527286817084438,1.0,23.0,1.0,0.0,-0.0009142773637272894,-0.0007515232864827026,0.0,0.0,-0.00017919414208789064,0.0,-0.0003186787302731364,-2.44887116959136e-05,-0.00034276176567016314,1.0,15040.png,1.0,20.0,0.0,recall_drop,0.0,0.6155183975624818,0.9994669518154168
0.0,0.5,0.4396930700983135,0.28179908816146715,1.0,-1.0,0.9394355745281148,0.19084602624038607,0.8857883141895169,0.9265083114737468,0.9527286817084438,1.0,23.0,1.0,0.0,-0.0009142773637272894,-0.0007515232864827026,0.0,0.0,-0.00017919414208789064,0.0,-0.0003186787302731364,-2.44887116959136e-05,-0.00034276176567016314,1.0,15040.png,1.0,20.0,0.0,recall_drop,0.0,0.6155183975624818,0.9994669518154168
0.0,0.25,0.43921130358425803,0.28140343698854337,0.0,0.0,0.9392857142857143,0.19077062283215201,0.8855218855218855,0.9265128011829858,0.9524157253137016,2.0,46.0,0.9565217391304348,0.043478260869565216,-0.0013960438777827489,-0.0011471744594064859,-1.0,1.0,-0.00032905438448838087,-7.540340823405933e-05,-0.0005851073979045163,-1.9999002456860815e-05,-0.0006557181604124329,1.0,15040.png,1.0,20.0,0.0,recall_drop,0.0,0.5868065398321672,0.9994669518154168
0.0,0.25,0.4399744061425258,0.28203024865419124,1.0,-1.0,0.9394667430771378,0.19084602624038607,0.8858437365773905,0.926512571552786,0.9527882924502995,1.0,19.0,1.0,0.0,-0.000632941319514968,-0.0005203627937586108,0.0,0.0,-0.00014802559306481555,0.0,-0.00026325634239954265,-2.0228632656715817e-05,-0.0002831510238144874,1.0,15040.png,1.0,20.0,0.0,recall_drop,0.0,0.5346871229829165,0.9994669518154168
0.0,0.35,0.4407660629323098,0.2826811631365711,1.0,-1.0,0.9395442487305542,0.1901673955662796,0.8859815674589425,0.9267479450863281,0.952698876337516,2.0,43.0,0.5813953488372093,0.4186046511627907,0.00015871547026902189,0.00013055168862124988,0.0,0.0,-7.051993964846126e-05,-0.0006786306741064785,-0.00012542546084748363,0.00021514490088536675,-0.0003725671365979455,0.0,15040.png,1.0,20.0,1.0,low_mean_prob,0.0,0.11524406000313928,0.40897466732921905
0.0,0.25,0.4410034809746729,0.28287650138589465,1.0,-1.0,0.9396152659191441,0.1902050972703966,0.8861078773767948,0.9267451298701299,0.9528479031921552,2.0,32.0,0.46875,0.53125,0.00039613351263212415,0.00032588993794480103,0.0,0.0,4.972489414667436e-07,-0.0006409289699894627,8.844570047461531e-07,0.00021232968468720692,-0.0002235402819588117,0.0,15040.png,0.0,20.0,1.0,low_mean_prob,0.0,0.08590356166097646,0.2870670916199323
0.0,0.5,0.44019787760312773,0.28221392398588163,1.0,-1.0,0.9393407078019919,0.19012969386216258,0.8856196468664246,0.9267327019854104,0.9522965038299902,2.0,71.0,0.7323943661971831,0.2676056338028169,-0.00040946985891304744,-0.0003366874620682192,0.0,0.0,-0.00027406086821080144,-0.0007163323782234943,-0.0004873460533654228,0.00019990179996765,-0.0007749396441237844,1.0,15040.png,1.0,20.0,0.0,low_mean_prob,0.0,0.07497961094139231,0.2786471245533544
0.0,0.5,0.4407023719051238,0.282628770777755,1.0,-1.0,0.9395981044046876,0.1904690091992158,0.8860773526599504,0.9266553628103126,0.952907513934011,1.0,21.0,0.5238095238095238,0.47619047619047616,9.502444308301383e-05,7.815932980514972e-05,0.0,0.0,-1.6664265515053955e-05,-0.0003770170411702689,-2.9640259839647243e-05,0.0001225626248698708,-0.00016392954010302496,0.0,15040.png,1.0,20.0,1.0,low_mean_prob,0.0,0.06646054568228,0.24366925428616648
0.0,0.35,0.44063725882635496,0.28257521306088923,1.0,-1.0,0.939608557658399,0.19058211431156688,0.8860959454590804,0.926619330531807,0.9529671246758666,1.0,14.0,0.5,0.5,2.991136431418351e-05,2.4601612939378903e-05,0.0,0.0,-6.211011803647359e-06,-0.0002639119288191938,-1.1047460709567858e-05,8.653034636429968e-05,-0.00010431879824734924,0.0,15040.png,0.0,20.0,1.0,low_mean_prob,0.0,0.00832528830096277,0.01931481839319673
0.0,0.25,0.44051099275159183,0.28247136767500386,1.0,-1.0,0.9396112196770449,0.19069521942391796,0.8861006803475177,0.9265822417990032,0.9530118327322583,1.0,8.0,0.5,0.5,-9.635471044894262e-05,-7.924377294599161e-05,0.0,0.0,-3.548993157798108e-06,-0.00015080681646811867,-6.3125722723489375e-06,4.9441613560463615e-05,-5.961074185567572e-05,1.0,15040.png,0.0,20.0,0.0,low_mean_prob,0.0,0.0036022104862504394,0.010778353357886704
1.0,0.25,0.448964910878427,0.28946147900025765,2.0,-2.0,0.937619036422206,0.19184534800467273,0.8825638528617591,0.9204702840786679,0.9554188962542928,1.0,10.0,0.0,1.0,0.0003249108784270094,0.00027005985834344104,0.0,0.0,7.348284336006206e-05,-0.0003768323472886914,0.0001302043068116543,0.00014162824410368646,0.0,0.0,15067.png,0.0,20.0,1.0,accepted,1.0,0.9672396200001785,0.9866118027126565
