accepted,accepted_images,mean_action_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
79,79,0.4936708860759494,6.548399143512226e-05,5.024390605625772e-05,-3.656812516229527e-05,-0.0003471459545739228,-5.860752350981662e-05,-0.00018520362278488502,0.4177215189873418,44,0.5569620253164557,0.45,33,0.4
80,80,0.5,1.864103668914735e-05,1.6309936501211245e-05,-4.086640078329734e-05,-0.00032688443407244926,-6.562126742419016e-05,-0.00018743412586375922,0.4125,45,0.5625,0.5,33,0.4
87,87,0.5028735632183908,1.97575420335718e-05,1.5345524187163923e-05,-3.932324561536373e-05,-0.0003409957137982625,-6.394325104721612e-05,-0.00018306126594847813,0.40229885057471265,49,0.5632183908045977,0.55,35,0.4
88,88,0.5,4.240472749102322e-05,3.367754330826954e-05,-3.116084726645753e-05,-0.0003601424518007275,-5.1091338708072903e-05,-0.00018280738821855463,0.4090909090909091,49,0.5568181818181818,0.6,36,0.4
88,88,0.5,4.240472749102322e-05,3.367754330826954e-05,-3.116084726645753e-05,-0.0003601424518007275,-5.1091338708072903e-05,-0.00018280738821855463,0.4090909090909091,49,0.5568181818181818,0.65,36,0.4
89,89,0.5,3.571130929422856e-05,2.688549027261766e-05,-3.234942373913135e-05,-0.0003577640768077483,-5.320504528706934e-05,-0.00018470714250723192,0.4044943820224719,50,0.5617977528089888,0.7,36,0.4
89,89,0.5,3.571130929422856e-05,2.688549027261766e-05,-3.234942373913135e-05,-0.0003577640768077483,-5.320504528706934e-05,-0.00018470714250723192,0.4044943820224719,50,0.5617977528089888,0.75,36,0.4
89,89,0.4943820224719101,3.8321517877831155e-05,2.9030030887703868e-05,-3.1824172863368956e-05,-0.0003577640768077483,-5.227096009818917e-05,-0.00018370246708269744,0.4044943820224719,50,0.5617977528089888,0.8,36,0.4
6,6,0.3333333333333333,-0.0001853923516904471,-0.00011020326251197828,-0.00012983766045617426,-0.00017641142059858506,-0.00019828080200468,-0.0002473377388490794,0.16666666666666666,4,0.6666666666666666,0.1,1,0.45
12,12,0.3333333333333333,4.659750828049647e-06,1.4945596487032226e-05,-8.47560307935813e-05,-0.00021939479249787294,-0.00013163885776703207,-0.00018568298517491108,0.25,8,0.6666666666666666,0.15,3,0.45
15,15,0.36666666666666664,2.876860378490109e-05,2.8298286582538932e-05,-7.889463634577579e-05,-0.0002877897223593273,-0.00012456177523984351,-0.00020476461194167314,0.26666666666666666,10,0.6666666666666666,0.2,4,0.45
30,30,0.43333333333333335,0.00016883165241223427,0.00013186461751782535,-2.0006741704040967e-05,-0.00039563126978029854,-3.199535406847772e-05,-0.00015563055630142078,0.4,17,0.5666666666666667,0.25,12,0.45
43,43,0.4883720930232558,7.195070875441196e-05,5.341679863823396e-05,-3.271618902665074e-05,-0.0003667441895651111,-5.404835388227137e-05,-0.00017654945283616908,0.3953488372093023,25,0.5813953488372093,0.3,17,0.45
64,64,0.484375,-6.030728649091639e-05,-4.623313654878781e-05,-4.9124240445235987e-05,-0.00033365466115639175,-8.182853266004188e-05,-0.00020089901272528961,0.40625,37,0.578125,0.35,26,0.45
73,73,0.4863013698630137,-1.4376600156590065e-05,-5.935824713544323e-06,-5.3030798009007763e-05,-0.0003267752008218418,-8.547889925147118e-05,-0.00020797316677339018,0.410958904109589,42,0.5753424657534246,0.4,30,0.45
78,78,0.4967948717948718,4.664929809665857e-05,3.8205602501816265e-05,-3.745970628717584e-05,-0.00033504909392279003,-6.007960041922921e-05,-0.00018520483230025515,0.41025641025641024,44,0.5641025641025641,0.45,32,0.45
80,80,0.5,1.864103668914735e-05,1.6309936501211245e-05,-4.086640078329734e-05,-0.00032688443407244926,-6.562126742419016e-05,-0.00018743412586375922,0.4125,45,0.5625,0.5,33,0.45
86,86,0.5058139534883721,2.493232237686757e-05,1.8619618191589247e-05,-3.873138980201352e-05,-0.00034496078023777717,-6.294010841071873e-05,-0.00018333044024213503,0.4069767441860465,48,0.5581395348837209,0.55,35,0.45
87,87,0.5028735632183908,4.7780340077010436e-05,3.712471691173716e-05,-3.0481973722813573e-05,-0.0003642820202122301,-4.9952003316372695e-05,-0.00018307055041998647,0.41379310344827586,48,0.5517241379310345,0.6,36,0.45
87,87,0.5028735632183908,4.7780340077010436e-05,3.712471691173716e-05,-3.0481973722813573e-05,-0.0003642820202122301,-4.9952003316372695e-05,-0.00018307055041998647,0.41379310344827586,48,0.5517241379310345,0.65,36,0.45
