stem,fold,checkpoint,checkpoint_sha256,num_proposals
1430,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,48
14376,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,21
1441,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,28
14430,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,22
1445,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,22
14594,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,29
14778,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,25
1485,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,27
14951,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,24
14973,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,28
15027,0,outputs/oof_proposals/r258_center_basin_oof_full_20260714_222821/fold0_seed258_20260714_222828.pt,b89404b55d9f4aaa5e7c07e38694a50ecf8332ed719548dee3b04ea2a19c77bc,26
