action_frac,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_rank,candidate_recall,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,image,r216_bg_channel_proxy,r216_bg_component_count_delta,r216_bg_components_after,r216_bg_components_before,r216_crop_area,r216_cut_adjacent_bg_components_before,r216_cut_adjacent_bg_frac_before,r216_cut_area,r216_cut_component_bg_area_after,r216_cut_component_bg_frac_crop_after,r216_cut_component_border_contacts_after,r216_cut_frac_crop,r216_cut_gt_fg_frac,r216_cut_gt_gap_frac,r216_hard_risk,r216_overerosion_proxy,r216_quick_useful,r216_safe_channel_proxy_positive,run_id,split
1.0,0.4931293463143255,0.32725393192054936,0.0,0.0,0.9218408477667737,0.06664932362122789,0.855013701694536,0.9597903195429719,0.8867782256895101,0.49071086883969295,0.325127146753151,0.0,0.0,0.9214293256105103,0.06618106139438085,0.8543059323693116,0.9600201156650742,2.0,0.8858211768800209,-0.00241847747463253,-0.0021267851673983373,0.0,0.0,-0.0004115221562633886,-0.0004682622268470382,-0.0007077693252244277,0.00022979612210227707,-0.0009570488094892138,3567.png,1.0,0.0,1.0,1.0,2280.0,1.0,0.48148148148148145,42.0,870.0,0.3815789473684211,4.0,0.018421052631578946,0.7857142857142857,0.21428571428571427,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
0.25,0.4931293463143255,0.32725393192054936,0.0,0.0,0.9218408477667737,0.06664932362122789,0.855013701694536,0.9597903195429719,0.8867782256895101,0.4923521886645531,0.32656976315206965,0.0,0.0,0.9217108139482293,0.06664932362122789,0.8547900005592528,0.9597802197802198,3.0,0.8865462138569067,-0.0007771576497723753,-0.0006841687684797093,0.0,0.0,-0.0001300338185443728,0.0,-0.00022370113528324964,-1.0099762752124875e-05,-0.0002320118326034626,3567.png,1.0,0.0,1.0,1.0,1672.0,1.0,0.4166666666666667,8.0,390.0,0.2332535885167464,3.0,0.004784688995215311,1.0,0.0,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
0.5,0.4931293463143255,0.32725393192054936,0.0,0.0,0.9218408477667737,0.06664932362122789,0.855013701694536,0.9597903195429719,0.8867782256895101,0.4914603616133519,0.3257855140876235,0.0,0.0,0.921597008624329,0.06664932362122789,0.85459426206588,0.9597713783249066,3.0,0.8863432035033787,-0.001668984700973597,-0.001468417832925839,0.0,0.0,-0.00024383914244463512,0.0,-0.0004194396286560931,-1.8941218065338106e-05,-0.0004350221861314507,3567.png,1.0,0.0,1.0,1.0,1989.0,1.0,0.475,15.0,532.0,0.26747109100050276,3.0,0.007541478129713424,1.0,0.0,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
0.75,0.4931293463143255,0.32725393192054936,0.0,0.0,0.9218408477667737,0.06664932362122789,0.855013701694536,0.9597903195429719,0.8867782256895101,0.49260535972423,0.32679256417822367,0.0,0.0,0.9217108139482293,0.06664932362122789,0.8547900005592528,0.9597802197802198,3.0,0.8865462138569067,-0.0005239865900955043,-0.0004613677423256912,0.0,0.0,-0.0001300338185443728,0.0,-0.00022370113528324964,-1.0099762752124875e-05,-0.0002320118326034626,3567.png,1.0,0.0,1.0,1.0,1599.0,1.0,0.38095238095238093,8.0,403.0,0.25203252032520324,3.0,0.0050031269543464665,1.0,0.0,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
1.0,0.4931293463143255,0.32725393192054936,0.0,0.0,0.9218408477667737,0.06664932362122789,0.855013701694536,0.9597903195429719,0.8867782256895101,0.4899048890372101,0.3244198895027624,0.0,0.0,0.9213530591624063,0.06664932362122789,0.8541748224372239,0.9597524192534875,3.0,0.8859081813172471,-0.0032244572771154,-0.0028340424177869528,0.0,0.0,-0.0004877886043673785,0.0,-0.0008388792573121862,-3.790028948436053e-05,-0.0008700443722630125,3567.png,1.0,0.0,2.0,2.0,2040.0,1.0,0.4523809523809524,30.0,547.0,0.2681372549019608,3.0,0.014705882352941176,1.0,0.0,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
0.25,0.5270915333724143,0.35785763020241074,0.0,0.0,0.9122314281702009,0.041043180846515606,0.8386263878130648,0.9657469077069457,0.864335515461174,0.5267827251422832,0.3575730030678332,0.0,0.0,0.9120480912385179,0.041043180846515606,0.8383165504776658,0.9657346817370612,1.0,0.8640161796795998,-0.0003088082301311301,-0.00028462713457755306,0.0,0.0,-0.00018333693168293141,0.0,-0.00030983733539891034,-1.2225969884482879e-05,-0.00031933578157428144,3595.png,1.0,0.0,1.0,1.0,1591.0,1.0,0.38095238095238093,6.0,440.0,0.2765556253928347,3.0,0.003771213073538655,1.0,0.0,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
0.5,0.5270915333724143,0.35785763020241074,0.0,0.0,0.9122314281702009,0.041043180846515606,0.8386263878130648,0.9657469077069457,0.864335515461174,0.5270915333724143,0.35785763020241074,0.0,0.0,0.9118646924957154,0.041043180846515606,0.8380067131422669,0.9657224470364199,1.0,0.8636968438980255,0.0,0.0,0.0,0.0,-0.0003667356744854189,0.0,-0.0006196746707978207,-2.4460670525860984e-05,-0.0006386715631485629,3595.png,1.0,0.0,1.0,1.0,1824.0,1.0,0.5,12.0,536.0,0.29385964912280704,3.0,0.006578947368421052,1.0,0.0,0.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
0.75,0.5270915333724143,0.35785763020241074,0.0,0.0,0.9122314281702009,0.041043180846515606,0.8386263878130648,0.9657469077069457,0.864335515461174,0.5269150272080368,0.35769493066606045,0.0,0.0,0.9119869651936962,0.041043180846515606,0.8382132713658662,0.96573060447406,1.0,0.863909734419075,-0.0001765061643774768,-0.0001626995363502859,0.0,0.0,-0.00024446297650471127,0.0,-0.0004131164471985471,-1.630323288570601e-05,-0.0004257810420990049,3595.png,1.0,0.0,1.0,1.0,1520.0,1.0,0.4375,8.0,452.0,0.29736842105263156,3.0,0.005263157894736842,1.0,0.0,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
1.0,0.5270915333724143,0.35785763020241074,0.0,0.0,0.9122314281702009,0.041043180846515606,0.8386263878130648,0.9657469077069457,0.864335515461174,0.5269150272080368,0.35769493066606045,0.0,0.0,0.9114977094516736,0.041043180846515606,0.8373870384714691,0.9656979514054311,1.0,0.8630581723348768,-0.0001765061643774768,-0.0001626995363502859,0.0,0.0,-0.000733718718527232,0.0,-0.0012393493415956414,-4.895630151457997e-05,-0.0012773431262972368,3595.png,1.0,0.0,1.0,1.0,1872.0,1.0,0.47058823529411764,24.0,548.0,0.29273504273504275,3.0,0.01282051282051282,1.0,0.0,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
0.25,0.5270915333724143,0.35785763020241074,0.0,0.0,0.9122314281702009,0.041043180846515606,0.8386263878130648,0.9657469077069457,0.864335515461174,0.5265801590623692,0.3573863636363636,0.0,0.0,0.9121092104154378,0.041043180846515606,0.8384198295894655,0.9657387580299786,2.0,0.8641226249401246,-0.0005113743100451096,-0.0004712665660471238,0.0,0.0,-0.0001222177547630654,0.0,-0.00020655822359927356,-8.149676967161845e-06,-0.00021289052104944695,3595.png,1.0,0.0,1.0,1.0,1480.0,1.0,0.42857142857142855,4.0,778.0,0.5256756756756756,3.0,0.002702702702702703,1.0,0.0,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
