accepted,accepted_images,mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,num_hard_risk,num_images,num_overerosion_proxy,num_quick_useful,num_rows,num_safe_channel_proxy_positive,risk_threshold,useful_threshold
37,37,0.6068633955516785,0.32482481439740096,-5.466596293459496e-05,-3.5917749159121174e-05,0.0,-4.349036934363864e-05,-0.00026283721237958145,-6.39055524614707e-05,-0.0001734386074871809,20,37,22,15,37,11,0.2,0.4
55,55,0.5953444571137065,0.3558676640984148,2.0173727051873853e-05,1.8718979300266276e-05,0.10909090909090909,-5.969550766979107e-05,-0.0003129767330539928,-9.39907698733422e-05,-0.00020584903628450809,31,55,32,21,55,18,0.3,0.4
62,62,0.5799902387610504,0.3740041577253953,0.00011900815944697553,8.080079371622026e-05,0.0967741935483871,-4.486301971129246e-05,-0.00036054896835238827,-6.9767701479535e-05,-0.00019018238116925407,32,62,36,27,62,21,0.4,0.4
66,66,0.5738642097744115,0.38291840510679515,4.747894736902687e-05,3.958333867768167e-05,0.09090909090909091,-4.4887380112429934e-05,-0.00031849129755225807,-7.014680346328821e-05,-0.0001860631527939389,34,66,39,29,66,23,0.5,0.4
2,2,1.0,0.0,-0.0006284439646101758,-0.0005008357655307688,0.0,-0.0001491809101563102,0.0,-0.0002573257433609588,-0.00027885536780491993,2,2,2,0,2,0,0.05,0.5
14,14,0.511164202697522,0.4697881782548589,-8.175347056699993e-05,-5.1189647756815546e-05,0.0,-3.8964860056080385e-05,-0.000425423120015919,-5.7655076253739145e-05,-0.0002020726021928963,6,14,6,8,14,7,0.1,0.5
35,35,0.589160351487965,0.338624327601062,-4.313920952909167e-05,-2.521145086570745e-05,0.0,-3.9319730339983295e-05,-0.0002740903106616976,-5.596379309691527e-05,-0.00016970433956238365,18,35,20,15,35,11,0.2,0.5
52,52,0.608991466391634,0.33940596950580193,-4.003253170882461e-05,-2.2953866664830683e-05,0.11538461538461539,-6.541038087288103e-05,-0.0002822490886329034,-0.00010322970483042114,-0.00021069288575257443,30,52,31,19,52,16,0.3,0.5
57,57,0.6050493195912084,0.34787465701697873,-9.532450681807869e-06,-5.652931796149008e-06,0.10526315789473684,-5.611798974750595e-05,-0.0003086991229959011,-8.801708832058835e-05,-0.00019754542933143467,31,57,35,23,57,17,0.4,0.5
61,61,0.5898334942215379,0.36617743474021097,-4.442469142010479e-05,-2.3656133113896132e-05,0.09836065573770492,-5.236787390765787e-05,-0.00029535566019684643,-8.196263616192014e-05,-0.0001903330295645527,33,61,38,25,61,19,0.5,0.5
2,2,1.0,0.0,-0.0006284439646101758,-0.0005008357655307688,0.0,-0.0001491809101563102,0.0,-0.0002573257433609588,-0.00027885536780491993,2,2,2,0,2,0,0.05,0.6
14,14,0.511164202697522,0.4697881782548589,-8.175347056699993e-05,-5.1189647756815546e-05,0.0,-3.8964860056080385e-05,-0.000425423120015919,-5.7655076253739145e-05,-0.0002020726021928963,6,14,6,8,14,7,0.1,0.6
34,34,0.5770768324140816,0.34858386664815205,-3.290600456329585e-05,-1.6221201007596682e-05,0.0,-3.8796115082206276e-05,-0.00028215179038704164,-5.4564530438513786e-05,-0.00017152710709450296,17,34,19,15,34,11,0.2,0.6
45,45,0.626765800317105,0.31360457005326525,-7.82277982777413e-05,-5.4892532918963186e-05,0.13333333333333333,-7.584022976495013e-05,-0.00028342267957190767,-0.0001197390601288305,-0.00022626008871058737,26,45,27,16,45,13,0.3,0.6
50,50,0.6120388539850283,0.3342944793483051,-3.2929216477561865e-05,-2.5334026908434836e-05,0.12,-6.223964584908259e-05,-0.00030496767112283315,-9.741631321102395e-05,-0.0002048424944630589,27,50,30,20,50,15,0.4,0.6
50,50,0.6162940684675156,0.3300392648658178,-9.991948539088413e-05,-6.929911054215448e-05,0.12,-6.451400817572672e-05,-0.00025394180667237905,-0.00010135089388814911,-0.00019950284174746869,27,50,31,20,50,15,0.5,0.6
2,2,1.0,0.0,-0.0006284439646101758,-0.0005008357655307688,0.0,-0.0001491809101563102,0.0,-0.0002573257433609588,-0.00027885536780491993,2,2,2,0,2,0,0.05,0.7
13,13,0.4735614490588699,0.5059257304283096,0.00010906056009292773,7.531822188841946e-05,0.0,-5.470849194359003e-06,-0.00045814797540175893,-9.06203322754877e-06,-0.00015582552995886144,5,13,5,8,13,7,0.1,0.7
26,26,0.5266169566733594,0.37617011133109995,5.675009541628456e-05,5.029033471641629e-05,0.0,-1.3513245238102514e-05,-0.00031928299159621545,-1.3778342774651158e-05,-0.0001467155929577814,11,26,13,13,26,10,0.2,0.7
37,37,0.6058048236374916,0.32167265383998583,1.8470917849869843e-05,1.4257824211577993e-05,0.08108108108108109,-6.028486425925929e-05,-0.0003024473562361601,-9.512708605603282e-05,-0.00020792274813972436,20,37,21,14,37,12,0.3,0.7
39,39,0.5849297476812533,0.34626683351532794,6.729270442737768e-05,4.5737972669576406e-05,0.07692307692307693,-4.860501046114263e-05,-0.00034631057029887806,-7.556384050087048e-05,-0.00019512753505636823,19,39,22,17,39,13,0.4,0.7
