mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,passes_gate,risk,risk_threshold,safe_useful,selected,selected_images,useful_threshold
0.4479166666666667,0.5520833333333333,6.652060566117446e-05,9.901589346038644e-05,0.0,-7.139327144210783e-05,-0.00021600949362355487,-9.322903424305307e-05,-0.0002067867767708842,False,5,0.72,3,8,8,0.6
0.6190476190476191,0.38095238095238093,-0.00017297951073022566,-0.00011993400261301706,0.0,-8.309770707087034e-05,-0.00013453208633277926,-0.00011905981446841143,-0.00018391473733454723,False,18,0.74,6,21,21,0.6
0.5535714285714286,0.4226190476190476,0.00010081040470718983,7.373647006905e-05,0.0,-3.4781835967675635e-05,-0.00017810202028036907,-5.1651334204887754e-05,-0.00013223285300775634,False,33,0.76,11,42,42,0.6
0.5489461358313816,0.40187353629976585,0.00010265302046868859,6.667674996988609e-05,0.0,-2.8921006074302777e-05,-0.00017390556831689346,-4.590721049598844e-05,-0.00012180268624855761,False,48,0.78,16,61,61,0.6
0.568043068043068,0.39218420468420473,9.917920482594256e-05,6.131910152846589e-05,0.015151515151515152,-3.833999240081139e-05,-0.00017539746740056388,-6.0662078148099994e-05,-0.000135172666327557,False,52,0.8,16,66,66,0.6
0.5645974811705149,0.393267687368811,7.692223258183287e-05,5.4332369981628146e-05,0.0,-3.381362744118941e-05,-0.00016946655888523053,-5.372638314827828e-05,-0.00012824989790818762,False,70,0.85,23,89,89,0.6
0.5645974811705149,0.393267687368811,7.684203991874484e-05,5.427280227133445e-05,0.0,-3.381362744118941e-05,-0.00016946655888523053,-5.372638314827828e-05,-0.00012824989790818762,False,70,0.9,23,89,89,0.6
0.5694352869352869,0.3888980463980464,6.566370114957858e-05,4.411872225990614e-05,0.0,-3.612350224243678e-05,-0.00016758359711983907,-5.773315696349214e-05,-0.00013202733898687438,False,71,0.95,23,90,90,0.6
0.5694352869352869,0.3888980463980464,6.566370114957858e-05,4.411872225990614e-05,0.0,-3.612350224243678e-05,-0.00016758359711983907,-5.773315696349214e-05,-0.00013202733898687438,False,71,0.99,23,90,90,0.6
,,,,,,,,,False,0,0.7,0,0,0,0.7
0.4479166666666667,0.5520833333333333,6.652060566117446e-05,9.901589346038644e-05,0.0,-7.139327144210783e-05,-0.00021600949362355487,-9.322903424305307e-05,-0.0002067867767708842,False,5,0.72,3,8,8,0.7
0.6190476190476191,0.38095238095238093,-0.00017297951073022566,-0.00011993400261301706,0.0,-8.309770707087034e-05,-0.00013453208633277926,-0.00011905981446841143,-0.00018391473733454723,False,18,0.74,6,21,21,0.7
0.5641025641025641,0.41025641025641024,8.550789061844543e-05,6.355691245414665e-05,0.0,-3.781300616134402e-05,-0.00017912696363138613,-5.614590709020099e-05,-0.00013910446612428406,False,30,0.76,11,39,39,0.7
0.5506613756613757,0.39378306878306873,8.398039051419708e-05,5.492925270302297e-05,0.0,-3.169826192650288e-05,-0.0001704019883721951,-5.017950242410848e-05,-0.0001282968423278196,False,41,0.78,16,54,54,0.7
0.5502779384358332,0.4036694299852195,0.00011929812565771683,7.734647327735256e-05,0.017543859649122806,-3.069558329438811e-05,-0.00018666277001655536,-4.911320923720188e-05,-0.00012864163199859818,False,43,0.8,16,57,57,0.7
0.5453250139690818,0.412302104674986,8.528091677618717e-05,5.23890812755801e-05,0.0,-3.121498833592227e-05,-0.0001857212124923458,-5.00624043358195e-05,-0.00012735512825550076,False,45,0.85,17,59,59,0.7
0.5453250139690818,0.412302104674986,8.528091677618717e-05,5.23890812755801e-05,0.0,-3.121498833592227e-05,-0.0001857212124923458,-5.00624043358195e-05,-0.00012735512825550076,False,45,0.9,17,59,59,0.7
0.5453250139690818,0.412302104674986,8.528091677618717e-05,5.23890812755801e-05,0.0,-3.121498833592227e-05,-0.0001857212124923458,-5.00624043358195e-05,-0.00012735512825550076,False,45,0.95,17,59,59,0.7
0.5453250139690818,0.412302104674986,8.528091677618717e-05,5.23890812755801e-05,0.0,-3.121498833592227e-05,-0.0001857212124923458,-5.00624043358195e-05,-0.00012735512825550076,False,45,0.99,17,59,59,0.7
,,,,,,,,,False,0,0.7,0,0,0,0.8
,,,,,,,,,False,0,0.72,0,0,0,0.8
,,,,,,,,,False,0,0.74,0,0,0,0.8
0.359375,0.515625,0.0001752262058406645,0.00013705999469270508,0.0,1.219558456273806e-05,-0.00018265404093274241,2.0158874110567937e-05,-5.298069516176951e-05,False,6,0.76,2,8,8,0.8
0.47172619047619047,0.4449404761904762,0.00012817309121656203,7.493352217476564e-05,0.0,-1.1696917867907533e-05,-0.00018423665934525282,-2.6681213588887937e-05,-0.00010939815437135032,False,8,0.78,4,12,12,0.8
0.44368131868131866,0.5563186813186813,0.00024260303529690294,0.00016374571614182856,0.0,-8.235802183574151e-06,-0.00022135075253930728,-2.0366270443781625e-05,-0.00010770193449426609,False,8,0.8,4,12,12,0.8
0.442798273155416,0.5214874411302983,0.00020957745061060684,0.00014102542748790518,0.0,-6.360430935310151e-06,-0.00020072942817282824,-1.6230716814772235e-05,-9.562146671983549e-05,False,10,0.85,4,14,14,0.8
0.442798273155416,0.5214874411302983,0.00020957745061060684,0.00014102542748790518,0.0,-6.360430935310151e-06,-0.00020072942817282824,-1.6230716814772235e-05,-9.562146671983549e-05,False,10,0.9,4,14,14,0.8
0.442798273155416,0.5214874411302983,0.00020957745061060684,0.00014102542748790518,0.0,-6.360430935310151e-06,-0.00020072942817282824,-1.6230716814772235e-05,-9.562146671983549e-05,False,10,0.95,4,14,14,0.8
0.442798273155416,0.5214874411302983,0.00020957745061060684,0.00014102542748790518,0.0,-6.360430935310151e-06,-0.00020072942817282824,-1.6230716814772235e-05,-9.562146671983549e-05,False,10,0.99,4,14,14,0.8
,,,,,,,,,False,0,0.7,0,0,0,0.84
,,,,,,,,,False,0,0.72,0,0,0,0.84
,,,,,,,,,False,0,0.74,0,0,0,0.84
0.21875,0.78125,0.00032133084881852403,0.00025523951108338827,0.0,3.517723054585753e-05,-0.0002343289126110551,5.9118881197334217e-05,-1.56040861470641e-05,False,2,0.76,2,4,4,0.84
0.4791666666666667,0.5208333333333334,3.177620061948586e-05,2.4336525210254718e-05,0.0,-2.1236984498943883e-05,-0.00015621927507403674,-3.502379884712248e-05,-8.976146974987165e-05,False,4,0.78,2,6,6,0.84
0.4791666666666667,0.5208333333333334,3.177620061948586e-05,2.4336525210254718e-05,0.0,-2.1236984498943883e-05,-0.00015621927507403674,-3.502379884712248e-05,-8.976146974987165e-05,False,4,0.8,2,6,6,0.84
0.4791666666666667,0.5208333333333334,3.177620061948586e-05,2.4336525210254718e-05,0.0,-2.1236984498943883e-05,-0.00015621927507403674,-3.502379884712248e-05,-8.976146974987165e-05,False,4,0.85,2,6,6,0.84
0.4791666666666667,0.5208333333333334,3.177620061948586e-05,2.4336525210254718e-05,0.0,-2.1236984498943883e-05,-0.00015621927507403674,-3.502379884712248e-05,-8.976146974987165e-05,False,4,0.9,2,6,6,0.84
0.4791666666666667,0.5208333333333334,3.177620061948586e-05,2.4336525210254718e-05,0.0,-2.1236984498943883e-05,-0.00015621927507403674,-3.502379884712248e-05,-8.976146974987165e-05,False,4,0.95,2,6,6,0.84
0.4791666666666667,0.5208333333333334,3.177620061948586e-05,2.4336525210254718e-05,0.0,-2.1236984498943883e-05,-0.00015621927507403674,-3.502379884712248e-05,-8.976146974987165e-05,False,4,0.99,2,6,6,0.84
