accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
64,64,-5.021330467866068e-05,-6.664109064903048e-05,-0.00015154041799434782,-0.0007481655625956394,-0.0002566767744746944,-0.0005338888761679955,0.3125,39,0.609375,0.65,20,0.1
71,71,-0.00011338069397526593,-0.00011627944592099227,-0.00014878246906383617,-0.0007564560173370194,-0.0002546187979678685,-0.0005327737886709865,0.29577464788732394,45,0.6338028169014085,0.7,21,0.1
78,78,-0.0001529562419439115,-0.00013256402258842711,-0.00013652888579523246,-0.0007522678677244909,-0.00023275247970195256,-0.0005185850393070592,0.2948717948717949,50,0.6410256410256411,0.75,23,0.1
80,80,-8.624478025867668e-05,-7.81141527852889e-05,-0.00012371679558474403,-0.0007533607209982482,-0.0002101676359722672,-0.0004978453858346971,0.3,51,0.6375,0.8,24,0.1
1,1,-0.00013038512094937227,-0.00011208973469029049,0.00025320573528397894,-0.0005530973451327303,0.0004242936821069465,0.0,0.0,1,1.0,0.1,0,0.15
2,2,-0.0010307110563345379,-0.0007711633220832403,-0.0001577905591765294,-0.0003259484650872356,-0.0002637731945567823,-0.0005050731794917773,0.0,2,1.0,0.15,0,0.15
6,6,0.00032847205323342327,0.00019343590717788017,6.981748694488236e-05,-0.0008690256625565745,9.701032330448427e-05,-0.00030121260831613333,0.5,3,0.5,0.2,3,0.15
10,10,0.0003229732235632443,0.00018996747171854956,8.162964548630302e-06,-0.0008222168967709747,-1.0553751537134559e-07,-0.0003320608912634304,0.4,5,0.5,0.25,4,0.15
18,18,0.0005271562044719356,0.0003733080799974705,-2.641945203552604e-05,-0.0008065864325528411,-4.6386017442038664e-05,-0.00036374514187348383,0.3888888888888889,9,0.5,0.3,7,0.15
22,22,0.000318448582520257,0.00021657061378833696,-2.0359874723036526e-05,-0.0007914179346046198,-3.5454573401008915e-05,-0.000351096060337624,0.4090909090909091,11,0.5,0.35,9,0.15
