mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_component_count_mae,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,mean_threshold,meets_metric_gate,p10_threshold,passes_gate,risk,safe_useful,selected,selected_images
0.5793120145160962,0.40027982221859776,-6.505187998822592e-05,-5.793224262368848e-05,0.04081632653061224,-3.235935549134152e-05,-0.0002088985411499637,-5.447680819312412e-05,-0.00012110560415902217,0.28561568640075663,False,0.9651279892724264,False,40,9,49,49
0.5880061427933768,0.39071726146194236,-7.297545715243288e-05,-6.372523301109947e-05,0.0425531914893617,-3.4634068982985096e-05,-0.0002035929583842813,-5.828106806804456e-05,-0.00012129443995398806,0.28561568640075663,False,0.9739416979264692,False,39,8,47,47
0.5847285755180492,0.3994819507977403,2.848735689737707e-05,4.157072040437093e-06,0.02631578947368421,-4.468933449400686e-05,-0.00025894458105838917,-7.773538002643632e-05,-0.0001833344335388334,0.5,False,0.0023403252034784076,False,63,14,76,76
0.5847285755180492,0.3994819507977403,2.848735689737707e-05,4.157072040437093e-06,0.02631578947368421,-4.468933449400686e-05,-0.00025894458105838917,-7.773538002643632e-05,-0.0001833344335388334,0.5,False,0.0034134361456128115,False,63,14,76,76
0.5845249565249566,0.3994750434750435,2.848611930234335e-05,3.891644306863358e-06,0.02666666666666667,-4.492655381227007e-05,-0.000260005117106277,-7.814668567758031e-05,-0.00018419092941403205,0.5,False,0.015343482616391858,False,62,14,75,75
0.5731420786215308,0.4104195652140858,4.321248971986345e-05,1.4278103211294142e-05,0.0273972602739726,-3.293174680670336e-05,-0.0002671285449722024,-5.9548915132525904e-05,-0.00016748498987374167,0.5,False,0.1,False,60,14,73,73
0.5887767391338821,0.3940804037232608,3.0425732626982292e-05,4.492775117368294e-06,0.02857142857142857,-3.474691453660179e-05,-0.000252394393402419,-6.275403400261876e-05,-0.00016468661689668097,0.5,False,0.2,False,58,13,70,70
0.5958604599908948,0.38674823566127914,2.045173001150438e-05,-2.9270189325564004e-06,0.028985507246376812,-3.607204023880878e-05,-0.0002510031296524601,-6.505200248452971e-05,-0.00016684748433402031,0.5,False,0.3,False,57,13,69,69
0.5899172314613491,0.3924357097151215,6.896924295174044e-05,3.908785162176223e-05,0.029411764705882353,-2.783271252802892e-05,-0.00025469435214734923,-5.074638843427759e-05,-0.00015302045695340694,0.5,False,0.4,False,56,13,68,68
0.5889998049088958,0.392818376909286,7.026940282823027e-05,4.03738070660103e-05,0.030303030303030304,-2.704595250390903e-05,-0.0002497298663923052,-5.013901712745893e-05,-0.0001521959263019793,0.5,False,0.5,False,54,13,66,66
0.5948192432567433,0.3864307567432568,4.4238527268520775e-05,1.862655471584541e-05,0.03125,-2.9461080546020965e-05,-0.00024034196644612,-5.4294788861741425e-05,-0.00015017855722745423,0.5,False,0.6,False,52,13,64,64
0.5948192432567433,0.3864307567432568,4.4238527268520775e-05,1.862655471584541e-05,0.03125,-2.9461080546020965e-05,-0.00024034196644612,-5.4294788861741425e-05,-0.00015017855722745423,0.5,False,0.7,False,52,13,64,64
0.5948192432567433,0.3864307567432568,4.4238527268520775e-05,1.862655471584541e-05,0.03125,-2.9461080546020965e-05,-0.00024034196644612,-5.4294788861741425e-05,-0.00015017855722745423,0.5,False,0.740569288807517,False,52,13,64,64
0.5978779285230899,0.3827672327672328,-2.315250476446887e-05,-2.7328339898804516e-05,0.03225806451612903,-4.3888097632308146e-05,-0.00020836825266708976,-7.390250801341294e-05,-0.00015328645819688165,0.5,False,0.8,False,51,12,62,62
0.5824232371402182,0.3949352534258195,-7.364614734582795e-05,-6.556545596280853e-05,0.03773584905660377,-3.437743383248514e-05,-0.00020651839255489936,-5.75476267459471e-05,-0.00012769004669044921,0.5,False,0.9242019609306937,False,44,10,53,53
0.5793120145160962,0.40027982221859776,-6.505187998822592e-05,-5.793224262368848e-05,0.04081632653061224,-3.235935549134152e-05,-0.0002088985411499637,-5.447680819312412e-05,-0.00012110560415902217,0.5,False,0.9651279892724264,False,40,9,49,49
