min_contacts,min_channel_frac,max_channel_frac,max_mean_dist,max_dist,min_area,max_area,max_fill,min_ring_bg,max_ring_fg,min_cut_slenderness,min_cut_mean_image,max_cut_p90_grad,max_rank,top_k_per_image,num_rows,num_images,num_safe_useful,num_risk,safe_rate,risk_rate,mean_delta_dice,mean_delta_iou,mean_delta_recall,mean_delta_boundary_iou,mean_delta_boundary_f1,mean_delta_gap_region_fp_rate,mean_delta_component_count_mae,mean_delta_merged_pred_components,mean_cut_gt_fg_frac,mean_cut_gt_gap_frac,mean_cut_area,mean_cut_mean_dist_in,mean_cut_bg_channel_frac_after,mean_cut_bg_channel_border_contacts_after,passes_gate
4,0.2,0.65,1.55,2.0,8,16,1.0,0.35,0.6,2.0,0.0,0.12,,1,14,14,7,6,0.5,0.42857142857142855,1.891100325930986e-05,2.2938178750531107e-05,-9.383172988748571e-05,0.00017500370981867887,0.00028172715372491757,-0.00023147540575474014,0.0,0.0,0.26785714285714285,0.5178571428571429,9.571428571428571,1.420089653603883,0.5599389978213508,4.0,False
4,0.2,0.65,1.55,2.0,8,16,1.0,0.35,0.75,2.0,0.0,0.12,,1,14,14,7,6,0.5,0.42857142857142855,1.891100325930986e-05,2.2938178750531107e-05,-9.383172988748571e-05,0.00017500370981867887,0.00028172715372491757,-0.00023147540575474014,0.0,0.0,0.26785714285714285,0.5178571428571429,9.571428571428571,1.420089653603883,0.5599389978213508,4.0,False
4,0.2,0.65,1.55,3.0,8,16,1.0,0.35,0.6,2.0,0.0,0.12,,1,14,14,7,6,0.5,0.42857142857142855,1.891100325930986e-05,2.2938178750531107e-05,-9.383172988748571e-05,0.00017500370981867887,0.00028172715372491757,-0.00023147540575474014,0.0,0.0,0.26785714285714285,0.5178571428571429,9.571428571428571,1.420089653603883,0.5599389978213508,4.0,False
4,0.2,0.65,1.75,2.0,8,16,1.0,0.35,0.6,2.0,0.0,0.12,,1,14,14,7,6,0.5,0.42857142857142855,1.891100325930986e-05,2.2938178750531107e-05,-9.383172988748571e-05,0.00017500370981867887,0.00028172715372491757,-0.00023147540575474014,0.0,0.0,0.26785714285714285,0.5178571428571429,9.571428571428571,1.420089653603883,0.5599389978213508,4.0,False
4,0.2,0.65,1.75,2.0,8,16,1.0,0.35,0.75,2.0,0.0,0.12,,1,14,14,7,6,0.5,0.42857142857142855,1.891100325930986e-05,2.2938178750531107e-05,-9.383172988748571e-05,0.00017500370981867887,0.00028172715372491757,-0.00023147540575474014,0.0,0.0,0.26785714285714285,0.5178571428571429,9.571428571428571,1.420089653603883,0.5599389978213508,4.0,False
4,0.2,0.65,1.75,3.0,8,16,1.0,0.35,0.6,2.0,0.0,0.12,,1,14,14,7,6,0.5,0.42857142857142855,1.891100325930986e-05,2.2938178750531107e-05,-9.383172988748571e-05,0.00017500370981867887,0.00028172715372491757,-0.00023147540575474014,0.0,0.0,0.26785714285714285,0.5178571428571429,9.571428571428571,1.420089653603883,0.5599389978213508,4.0,False
2,0.2,0.5,1.55,2.0,8,32,0.5,0.45,0.6,2.0,0.55,,,1,6,6,4,3,0.6666666666666666,0.5,0.0001490137187222152,0.000251943684699,-0.00010160922107382192,0.000721309008289379,0.0008481634431743864,-0.0008216931678310833,0.0,0.0,0.1726190476190476,0.7796536796536797,24.666666666666668,1.41071088940898,0.45608270708707854,3.5,False
2,0.2,0.5,1.55,2.0,8,32,0.5,0.45,0.75,2.0,0.55,,,1,6,6,4,3,0.6666666666666666,0.5,0.0001490137187222152,0.000251943684699,-0.00010160922107382192,0.000721309008289379,0.0008481634431743864,-0.0008216931678310833,0.0,0.0,0.1726190476190476,0.7796536796536797,24.666666666666668,1.41071088940898,0.45608270708707854,3.5,False
2,0.2,0.5,1.55,3.0,8,32,0.5,0.45,0.6,2.0,0.55,,,1,6,6,4,3,0.6666666666666666,0.5,0.0001490137187222152,0.000251943684699,-0.00010160922107382192,0.000721309008289379,0.0008481634431743864,-0.0008216931678310833,0.0,0.0,0.1726190476190476,0.7796536796536797,24.666666666666668,1.41071088940898,0.45608270708707854,3.5,False
2,0.2,0.5,1.55,3.0,8,32,0.5,0.45,0.75,2.0,0.55,,,1,6,6,4,3,0.6666666666666666,0.5,0.0001490137187222152,0.000251943684699,-0.00010160922107382192,0.000721309008289379,0.0008481634431743864,-0.0008216931678310833,0.0,0.0,0.1726190476190476,0.7796536796536797,24.666666666666668,1.41071088940898,0.45608270708707854,3.5,False
2,0.2,0.5,1.75,2.0,8,32,0.5,0.45,0.6,2.0,0.55,,,1,6,6,4,3,0.6666666666666666,0.5,0.0001490137187222152,0.000251943684699,-0.00010160922107382192,0.000721309008289379,0.0008481634431743864,-0.0008216931678310833,0.0,0.0,0.1726190476190476,0.7796536796536797,24.666666666666668,1.41071088940898,0.45608270708707854,3.5,False
2,0.2,0.5,1.75,2.0,8,32,0.5,0.45,0.75,2.0,0.55,,,1,6,6,4,3,0.6666666666666666,0.5,0.0001490137187222152,0.000251943684699,-0.00010160922107382192,0.000721309008289379,0.0008481634431743864,-0.0008216931678310833,0.0,0.0,0.1726190476190476,0.7796536796536797,24.666666666666668,1.41071088940898,0.45608270708707854,3.5,False
2,0.2,0.5,1.75,3.0,8,32,0.5,0.45,0.6,2.0,0.55,,,1,6,6,4,3,0.6666666666666666,0.5,0.0001490137187222152,0.000251943684699,-0.00010160922107382192,0.000721309008289379,0.0008481634431743864,-0.0008216931678310833,0.0,0.0,0.1726190476190476,0.7796536796536797,24.666666666666668,1.41071088940898,0.45608270708707854,3.5,False
2,0.2,0.5,1.75,3.0,8,32,0.5,0.45,0.75,2.0,0.55,,,1,6,6,4,3,0.6666666666666666,0.5,0.0001490137187222152,0.000251943684699,-0.00010160922107382192,0.000721309008289379,0.0008481634431743864,-0.0008216931678310833,0.0,0.0,0.1726190476190476,0.7796536796536797,24.666666666666668,1.41071088940898,0.45608270708707854,3.5,False
3,0.1,0.5,1.55,2.0,8,32,0.5,0.45,0.6,2.0,0.55,,,1,6,6,4,3,0.6666666666666666,0.5,0.0001490137187222152,0.000251943684699,-0.00010160922107382192,0.000721309008289379,0.0008481634431743864,-0.0008216931678310833,0.0,0.0,0.1726190476190476,0.7796536796536797,24.666666666666668,1.41071088940898,0.45608270708707854,3.5,False
3,0.1,0.5,1.55,2.0,8,32,0.5,0.45,0.75,2.0,0.55,,,1,6,6,4,3,0.6666666666666666,0.5,0.0001490137187222152,0.000251943684699,-0.00010160922107382192,0.000721309008289379,0.0008481634431743864,-0.0008216931678310833,0.0,0.0,0.1726190476190476,0.7796536796536797,24.666666666666668,1.41071088940898,0.45608270708707854,3.5,False
3,0.1,0.5,1.55,3.0,8,32,0.5,0.45,0.6,2.0,0.55,,,1,6,6,4,3,0.6666666666666666,0.5,0.0001490137187222152,0.000251943684699,-0.00010160922107382192,0.000721309008289379,0.0008481634431743864,-0.0008216931678310833,0.0,0.0,0.1726190476190476,0.7796536796536797,24.666666666666668,1.41071088940898,0.45608270708707854,3.5,False
3,0.1,0.5,1.55,3.0,8,32,0.5,0.45,0.75,2.0,0.55,,,1,6,6,4,3,0.6666666666666666,0.5,0.0001490137187222152,0.000251943684699,-0.00010160922107382192,0.000721309008289379,0.0008481634431743864,-0.0008216931678310833,0.0,0.0,0.1726190476190476,0.7796536796536797,24.666666666666668,1.41071088940898,0.45608270708707854,3.5,False
3,0.1,0.5,1.75,2.0,8,32,0.5,0.45,0.6,2.0,0.55,,,1,6,6,4,3,0.6666666666666666,0.5,0.0001490137187222152,0.000251943684699,-0.00010160922107382192,0.000721309008289379,0.0008481634431743864,-0.0008216931678310833,0.0,0.0,0.1726190476190476,0.7796536796536797,24.666666666666668,1.41071088940898,0.45608270708707854,3.5,False
