accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
15,15,-0.0005819077231664489,-0.0004666282362433993,-0.0002334449689161966,-0.0002686085830310617,-0.000392990113045862,-0.0005177234123904695,0.13333333333333333,13,0.8666666666666667,0.55,2,0.4
18,18,-0.0004279009045566822,-0.00034938685030969086,-0.00020035032338638285,-0.00033196498247695994,-0.0003373450312998467,-0.0004939569720010158,0.2222222222222222,14,0.7777777777777778,0.6,4,0.4
19,19,-0.0004592485466860997,-0.00037617750868472103,-0.0002024376287947879,-0.00031449314129396204,-0.0003414354514478597,-0.0004908692450780066,0.21052631578947367,15,0.7894736842105263,0.65,4,0.4
19,19,-0.0004592485466860997,-0.00037617750868472103,-0.0002024376287947879,-0.00031449314129396204,-0.0003414354514478597,-0.0004908692450780066,0.21052631578947367,15,0.7894736842105263,0.7,4,0.4
21,21,-0.00021198542744407534,-0.00019928271627680608,-0.00018140764558847273,-0.0004159905179669015,-0.00030048441944756696,-0.0004814562263341939,0.2857142857142857,15,0.7142857142857143,0.75,6,0.4
21,21,-0.00021198542744407534,-0.00019928271627680608,-0.00018140764558847273,-0.0004159905179669015,-0.00030048441944756696,-0.0004814562263341939,0.2857142857142857,15,0.7142857142857143,0.8,6,0.4
0,0,,,,,,,0.0,0,0.0,0.1,0,0.45
0,0,,,,,,,0.0,0,0.0,0.15,0,0.45
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.2,0,0.45
3,3,0.0020703812985153522,0.0015857253832172364,9.3836123127559e-05,-0.0013013945849609336,0.00015373465225794933,-0.00029374921143199284,0.6666666666666666,1,0.3333333333333333,0.25,2,0.45
4,4,-0.0001217626898910723,-9.673237827317882e-05,-0.00019593281592383827,-0.00026360827701609607,-0.00034319085590076015,-0.00045673527262876656,0.25,3,0.75,0.3,1,0.45
8,8,-0.000638164973445824,-0.0005252359840409813,-0.00025000123774536476,-0.00026087280552223105,-0.00041720767368194633,-0.0005468784741813199,0.125,7,0.875,0.35,1,0.45
10,10,-0.0003717563864666179,-0.00032386260516395065,-0.00023174210819287833,-0.00035749105744417586,-0.00038494617418772804,-0.0005292107559829784,0.1,8,0.8,0.4,1,0.45
10,10,-0.0006774434791253642,-0.0005403306028474733,-0.00026474575584185535,-0.0002480020063492849,-0.0004419100006366028,-0.0005605407593845202,0.1,9,0.9,0.45,1,0.45
11,11,-0.0006555531374003291,-0.0005154688527254559,-0.00029257574204743055,-0.0002458619414899908,-0.0004875452580947005,-0.0006070849736880495,0.09090909090909091,10,0.9090909090909091,0.5,1,0.45
13,13,-0.000525703165046102,-0.0004152291830817825,-0.00025135443641076925,-0.00025504276211424105,-0.0004208744932781518,-0.0005430294821184673,0.07692307692307693,12,0.9230769230769231,0.55,1,0.45
15,15,-0.00034891640892699877,-0.00028120997686594077,-0.00021369460266573714,-0.0003471320867277153,-0.0003581181258416999,-0.000523407687756546,0.2,12,0.8,0.6,3,0.45
15,15,-0.00034891640892699877,-0.00028120997686594077,-0.00021369460266573714,-0.0003471320867277153,-0.0003581181258416999,-0.000523407687756546,0.2,12,0.8,0.65,3,0.45
15,15,-0.00034891640892699877,-0.00028120997686594077,-0.00021369460266573714,-0.0003471320867277153,-0.0003581181258416999,-0.000523407687756546,0.2,12,0.8,0.7,3,0.45
17,17,-5.6453983717333506e-05,-7.38655311642553e-05,-0.00018639203824958906,-0.00046867132315502253,-0.0003055688893244159,-0.0005079517889931845,0.29411764705882354,12,0.7058823529411765,0.75,5,0.45
17,17,-5.6453983717333506e-05,-7.38655311642553e-05,-0.00018639203824958906,-0.00046867132315502253,-0.0003055688893244159,-0.0005079517889931845,0.29411764705882354,12,0.7058823529411765,0.8,5,0.45
0,0,,,,,,,0.0,0,0.0,0.1,0,0.5
0,0,,,,,,,0.0,0,0.0,0.15,0,0.5
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.2,0,0.5
2,2,0.0022414780119281996,0.0016541625811884175,7.315229467869111e-05,-0.0015002787316432675,0.00011017980260846771,-0.0004181478664152527,0.5,1,0.5,0.25,1,0.5
3,3,-0.0007384128770846488,-0.0006119268334558633,-0.00030631168124021596,-5.026893882270622e-05,-0.000537869258386651,-0.0005939963963498643,0.0,3,1.0,0.3,0,0.5
8,8,-0.000638164973445824,-0.0005252359840409813,-0.00025000123774536476,-0.00026087280552223105,-0.00041720767368194633,-0.0005468784741813199,0.125,7,0.875,0.35,1,0.5
10,10,-0.0003717563864666179,-0.00032386260516395065,-0.00023174210819287833,-0.00035749105744417586,-0.00038494617418772804,-0.0005292107559829784,0.1,8,0.8,0.4,1,0.5
10,10,-0.0006774434791253642,-0.0005403306028474733,-0.00026474575584185535,-0.0002480020063492849,-0.0004419100006366028,-0.0005605407593845202,0.1,9,0.9,0.45,1,0.5
10,10,-0.0006774434791253642,-0.0005403306028474733,-0.00026474575584185535,-0.0002480020063492849,-0.0004419100006366028,-0.0005605407593845202,0.1,9,0.9,0.5,1,0.5
10,10,-0.0006255289931624636,-0.0005018424631280203,-0.0002259975185020413,-0.00030910946145880846,-0.0003776868016531765,-0.0005190402867402466,0.1,9,0.9,0.55,1,0.5
10,10,-0.0006255289931624636,-0.0005018424631280203,-0.0002259975185020413,-0.00030910946145880846,-0.0003776868016531765,-0.0005190402867402466,0.1,9,0.9,0.6,1,0.5
10,10,-0.0006255289931624636,-0.0005018424631280203,-0.0002259975185020413,-0.00030910946145880846,-0.0003776868016531765,-0.0005190402867402466,0.1,9,0.9,0.65,1,0.5
10,10,-0.0006255289931624636,-0.0005018424631280203,-0.0002259975185020413,-0.00030910946145880846,-0.0003776868016531765,-0.0005190402867402466,0.1,9,0.9,0.7,1,0.5
11,11,-0.00035041213958039214,-0.0002879523090411605,-0.00018494857783335483,-0.00038223014288977874,-0.00030874868750259535,-0.00047777041406466496,0.18181818181818182,9,0.8181818181818182,0.75,2,0.5
11,11,-0.00035041213958039214,-0.0002879523090411605,-0.00018494857783335483,-0.00038223014288977874,-0.00030874868750259535,-0.00047777041406466496,0.18181818181818182,9,0.8181818181818182,0.8,2,0.5
0,0,,,,,,,0.0,0,0.0,0.1,0,0.55
0,0,,,,,,,0.0,0,0.0,0.15,0,0.55
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.2,0,0.55
