action_frac,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,bg_channel_proxy,bg_component_count_delta,bg_components_after,bg_components_before,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,cut_adjacent_bg_components_before,cut_area,cut_bbox_h,cut_bbox_w,cut_component_bg_area_after,cut_component_bg_frac_after,cut_component_border_contacts_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,gt_a,gt_b,image,local_anchor_frac,local_bg_frac,num_component_gt_instances,pred_component_id,r224_hard_risk,r224_overerosion_proxy,r224_quick_useful,r224_safe_gap_positive,run_id,seam_radius,split
0.5,0.40271462036654265,0.25212440150109994,2.0,-2.0,0.9354451250805298,0.19699111470113084,0.8787194978100992,0.9343126990359029,0.9365802995517656,1.0,0.0,2.0,2.0,0.41258645483804696,0.25991113411845906,2.0,-2.0,0.9362425275674021,0.19174071082390953,0.8801278034046662,0.9359049991260269,0.9365802995517656,2.0,156.0,100.0,9.0,1009.0,0.18643754619364375,4.0,0.17333333333333334,0.0,1.0,0.014625121839344501,0.5359728932380676,0.02377269510179758,11.11111111111111,0.034779686480760574,0.009871834471504304,0.007786732617359127,0.0,0.0,0.0007974024868723228,-0.00525040387722131,0.0014083055945670608,0.0015923000901240103,0.0,22.0,24.0,6606.png,0.8423872875092387,0.15761271249076128,5.0,20.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,4.0,val
0.75,0.40271462036654265,0.25212440150109994,2.0,-2.0,0.9354451250805298,0.19699111470113084,0.8787194978100992,0.9343126990359029,0.9365802995517656,1.0,0.0,2.0,2.0,0.4181253625413724,0.26432269197584124,2.0,-2.0,0.9366366185787929,0.18914916532040926,0.8808245938720954,0.9366929443794487,0.9365802995517656,2.0,233.0,100.0,9.0,1086.0,0.2006651884700665,4.0,0.2588888888888889,0.0,1.0,0.013528667390346527,0.5353193879127502,0.023610975593328476,11.11111111111111,0.03340848907828331,0.015410742174829739,0.012198290474741302,0.0,0.0,0.0011914934982630854,-0.00784194938072158,0.00210509606199627,0.0023802453435458615,0.0,22.0,24.0,6606.png,0.8423872875092387,0.15761271249076128,5.0,20.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,4.0,val
0.25,0.40271462036654265,0.25212440150109994,2.0,-2.0,0.9354451250805298,0.19699111470113084,0.8787194978100992,0.9343126990359029,0.9365802995517656,0.0,1.0,2.0,1.0,0.4033879630904834,0.2526524626930044,2.0,-2.0,0.9354655543301412,0.19685648896068927,0.8787555519084205,0.9343534595585028,0.9365802995517656,0.0,4.0,2.0,2.0,4.0,0.0034602076124567475,0.0,1.0,0.0,1.0,0.024278007447719574,0.5754901766777039,0.026338334009051324,1.0,0.014508478343486786,0.0006733427239407619,0.0005280611919044609,0.0,0.0,2.042924961143111e-05,-0.0001346257404415685,3.605409832130313e-05,4.0760522599936344e-05,0.0,22.0,21.0,6606.png,0.8209342560553633,0.17906574394463667,5.0,20.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,2.0,val
0.5,0.40271462036654265,0.25212440150109994,2.0,-2.0,0.9354451250805298,0.19699111470113084,0.8787194978100992,0.9343126990359029,0.9365802995517656,0.0,2.0,3.0,1.0,0.4043760966043967,0.25342820181112546,2.0,-2.0,0.9355013076641678,0.19662089391491652,0.8788186537001703,0.9344247990314242,0.9365802995517656,0.0,11.0,36.0,10.0,11.0,0.003851540616246499,0.0,0.030555555555555555,0.0,1.0,0.019508175551891327,0.5754010677337646,0.02556549943983555,3.6,0.014393317513167858,0.0016614762378540648,0.0013038003100255269,0.0,0.0,5.6182583638042516e-05,-0.0003702207862143203,9.915589007114534e-05,0.00011209999552130867,0.0,22.0,21.0,6606.png,0.9275210084033614,0.07247899159663866,5.0,20.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,2.0,val
0.75,0.40271462036654265,0.25212440150109994,2.0,-2.0,0.9354451250805298,0.19699111470113084,0.8787194978100992,0.9343126990359029,0.9365802995517656,0.0,2.0,3.0,1.0,0.4051442522609264,0.25403191030616645,2.0,-2.0,0.9355319555543422,0.19641895530425418,0.8788727481636506,0.934485955822198,0.9365802995517656,0.0,17.0,36.0,10.0,17.0,0.005952380952380952,0.0,0.04722222222222222,0.0,1.0,0.017744842916727066,0.5794694423675537,0.02556549943983555,3.6,0.01335159968584776,0.0024296318943837214,0.0019075088050665157,0.0,0.0,8.683047381241593e-05,-0.0005721593968766592,0.00015325035355140404,0.0001732567862950951,0.0,22.0,21.0,6606.png,0.9275210084033614,0.07247899159663866,5.0,20.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,2.0,val
0.25,0.40271462036654265,0.25212440150109994,2.0,-2.0,0.9354451250805298,0.19699111470113084,0.8787194978100992,0.9343126990359029,0.9365802995517656,0.0,1.0,3.0,2.0,0.4039605321965139,0.25310184387385837,2.0,-2.0,0.9355932573594055,0.19601507808292945,0.878980957071329,0.934608293422646,0.9365802995517656,1.0,29.0,60.0,26.0,297.0,0.05565967016491754,2.0,0.01858974358974359,0.0,1.0,0.024052463471889496,0.5162948966026306,0.042460907250642776,2.3076923076923075,0.035440705716609955,0.0012459118299712468,0.0009774423727584303,0.0,0.0,0.00014813227887566782,-0.0009760366182013924,0.00026145926122977947,0.00029559438674309213,0.0,22.0,21.0,6606.png,0.901424287856072,0.09857571214392803,5.0,20.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,3.0,val
0.5,0.40271462036654265,0.25212440150109994,2.0,-2.0,0.9354451250805298,0.19699111470113084,0.8787194978100992,0.9343126990359029,0.9365802995517656,0.0,1.0,3.0,2.0,0.4064923478141514,0.25509281192127137,2.0,-2.0,0.9357618787547788,0.1949044157242865,0.8792786690067843,0.9349448870457274,0.9365802995517656,1.0,62.0,60.0,26.0,330.0,0.06184407796101949,2.0,0.03974358974358974,0.0,1.0,0.025355778634548187,0.5296015739440918,0.04436231181025505,2.3076923076923075,0.040847934782505035,0.0037777274476087364,0.00296841042017143,0.0,0.0,0.0003167536742489929,-0.0020866989768443533,0.0005591711966851376,0.0006321880098245636,0.0,22.0,21.0,6606.png,0.901424287856072,0.09857571214392803,5.0,20.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,3.0,val
0.75,0.40271462036654265,0.25212440150109994,2.0,-2.0,0.9354451250805298,0.19699111470113084,0.8787194978100992,0.9343126990359029,0.9365802995517656,0.0,1.0,3.0,2.0,0.4088386433710175,0.2569435473453042,2.0,-2.0,0.9359356734729551,0.19376009693053312,0.8795856135199236,0.9352919341455959,0.9365802995517656,1.0,96.0,60.0,26.0,364.0,0.068215892053973,2.0,0.06153846153846154,0.0,1.0,0.024370646104216576,0.5257761478424072,0.04300336539745331,2.3076923076923075,0.0391349121928215,0.006124023004474843,0.004819145844204287,0.0,0.0,0.0004905483924253495,-0.003231017770597727,0.0008661157098244221,0.0009792351096929997,0.0,22.0,21.0,6606.png,0.901424287856072,0.09857571214392803,5.0,20.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,3.0,val
0.25,0.40271462036654265,0.25212440150109994,2.0,-2.0,0.9354451250805298,0.19699111470113084,0.8787194978100992,0.9343126990359029,0.9365802995517656,0.0,1.0,3.0,2.0,0.4043321299638989,0.25339366515837103,2.0,-2.0,0.9356647862865132,0.19554388799138395,0.8791072344792201,0.9347510611135964,0.9365802995517656,1.0,43.0,62.0,28.0,323.0,0.05726950354609929,2.0,0.02476958525345622,0.0,1.0,0.019203178584575653,0.5189239382743835,0.04082165807485581,2.2142857142857144,0.03926783800125122,0.001617509597356237,0.0012692636572710914,0.0,0.0,0.00021966120598337913,-0.001447226709746896,0.0003877366691209527,0.00043836207769354374,0.0,22.0,21.0,6606.png,0.8952127659574468,0.10478723404255319,5.0,20.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,4.0,val
0.5,0.40271462036654265,0.25212440150109994,2.0,-2.0,0.9354451250805298,0.19699111470113084,0.8787194978100992,0.9343126990359029,0.9365802995517656,0.0,1.0,3.0,2.0,0.4074684239428885,0.2558620689655172,2.0,-2.0,0.9358845506784068,0.19409666128163705,0.8794953134784974,0.9351898347269829,0.9365802995517656,1.0,86.0,62.0,28.0,366.0,0.06489361702127659,2.0,0.04953917050691244,0.0,1.0,0.01960800401866436,0.5331509709358215,0.0407990925014019,2.2142857142857144,0.0411728210747242,0.004753803576345861,0.0037376674644172825,0.0,0.0,0.00043942559787701896,-0.002894453419493792,0.0007758156683982387,0.0008771356910800554,0.0,22.0,21.0,6606.png,0.8952127659574468,0.10478723404255319,5.0,20.0,0.0,0.0,1.0,1.0,R224-pairwise-instance-seam-candidate-diagnostic,4.0,val
