rows,imgs,safe,risk,dice,iou,recall,biou,bf1,gap,fg,gtgap,min_comp_area,min_distp,max_rank,min_contacts,min_channel,max_mean_dist,max_area,passes
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,3,0.2,2.0,32,False
20,20,3,17,-4.755089364866724e-05,-8.113508016705292e-05,-0.000139081464931984,-7.161205502398297e-05,-8.517566273857573e-05,-0.00012076308954721278,0.6631448412698413,0.2868551587301587,6000,6,8,3,0.2,2.0,48,False
16,16,4,12,-2.4409641671454838e-05,-4.115943560760966e-05,-0.00011745918664509002,6.330294874432653e-05,8.415880871783901e-05,-0.00019861952820984254,0.5449032738095237,0.45063244047619044,6000,6,8,3,0.3,1.55,16,False
20,20,4,16,-3.2929950682892654e-05,-5.683791604585771e-05,-0.00012911659880204704,-4.686536794984667e-05,-5.5569319601967303e-05,-0.00016072504703093778,0.5831448412698412,0.3632837301587301,6000,6,8,3,0.3,1.55,24,False
20,20,4,16,-3.2929950682892654e-05,-5.683791604585771e-05,-0.00012911659880204704,-4.686536794984667e-05,-5.5569319601967303e-05,-0.00016072504703093778,0.5831448412698412,0.3632837301587301,6000,6,8,3,0.3,1.55,32,False
20,20,4,16,-3.2929950682892654e-05,-5.683791604585771e-05,-0.00012911659880204704,-4.686536794984667e-05,-5.5569319601967303e-05,-0.00016072504703093778,0.5831448412698412,0.3632837301587301,6000,6,8,3,0.3,1.55,48,False
16,16,4,12,-2.4409641671454838e-05,-4.115943560760966e-05,-0.00011745918664509002,6.330294874432653e-05,8.415880871783901e-05,-0.00019861952820984254,0.5449032738095237,0.45063244047619044,6000,6,8,3,0.3,1.75,16,False
20,20,4,16,-3.2929950682892654e-05,-5.683791604585771e-05,-0.00012911659880204704,-4.686536794984667e-05,-5.5569319601967303e-05,-0.00016072504703093778,0.5831448412698412,0.3632837301587301,6000,6,8,3,0.3,1.75,24,False
20,20,4,16,-3.2929950682892654e-05,-5.683791604585771e-05,-0.00012911659880204704,-4.686536794984667e-05,-5.5569319601967303e-05,-0.00016072504703093778,0.5831448412698412,0.3632837301587301,6000,6,8,3,0.3,1.75,32,False
20,20,4,16,-3.2929950682892654e-05,-5.683791604585771e-05,-0.00012911659880204704,-4.686536794984667e-05,-5.5569319601967303e-05,-0.00016072504703093778,0.5831448412698412,0.3632837301587301,6000,6,8,3,0.3,1.75,48,False
16,16,4,12,-2.4409641671454838e-05,-4.115943560760966e-05,-0.00011745918664509002,6.330294874432653e-05,8.415880871783901e-05,-0.00019861952820984254,0.5449032738095237,0.45063244047619044,6000,6,8,3,0.3,2.0,16,False
20,20,4,16,-3.2929950682892654e-05,-5.683791604585771e-05,-0.00012911659880204704,-4.686536794984667e-05,-5.5569319601967303e-05,-0.00016072504703093778,0.5831448412698412,0.3632837301587301,6000,6,8,3,0.3,2.0,24,False
20,20,4,16,-3.2929950682892654e-05,-5.683791604585771e-05,-0.00012911659880204704,-4.686536794984667e-05,-5.5569319601967303e-05,-0.00016072504703093778,0.5831448412698412,0.3632837301587301,6000,6,8,3,0.3,2.0,32,False
20,20,4,16,-3.2929950682892654e-05,-5.683791604585771e-05,-0.00012911659880204704,-4.686536794984667e-05,-5.5569319601967303e-05,-0.00016072504703093778,0.5831448412698412,0.3632837301587301,6000,6,8,3,0.3,2.0,48,False
9,9,3,6,-7.74356290837887e-06,-1.4417231008781856e-05,-0.00010947348429034009,0.0001230325277344877,0.00018510938858148232,-0.00024204665070625344,0.5126984126984127,0.4793650793650793,6000,6,8,4,0.1,1.55,16,False
13,13,3,10,-1.1414145650492102e-05,-2.2826035647087442e-05,-0.00011774487100942773,-6.447643223739897e-05,-6.0646922284530304e-05,-0.00017545984104903577,0.5045177045177045,0.3438339438339438,6000,6,8,4,0.1,1.55,24,False
