accepted,accepted_images,mean_action_frac,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
83,83,0.5512048192771084,-0.00018373272069996594,-0.00016272031395481369,-5.707570007972994e-05,-0.0003027199089560261,-0.0001013960164457095,-0.00023352553822109502,0.3132530120481928,55,0.6626506024096386,0.55,26,0.25
85,85,0.5617647058823529,-0.00018297842355078723,-0.00016253989293716224,-5.782299897472927e-05,-0.0003004219567813209,-0.0001026869501457688,-0.0002331900976892496,0.3058823529411765,57,0.6705882352941176,0.6,26,0.25
86,86,0.5581395348837209,-0.00020993226655853837,-0.00017965469257288602,-5.9881453475667226e-05,-0.0002852501643439146,-0.00010621286323544201,-0.00023169222138823888,0.3023255813953488,58,0.6744186046511628,0.65,26,0.25
86,86,0.563953488372093,-0.00022528070166692534,-0.00019091621551549397,-6.31683210271865e-05,-0.0002816279514857833,-0.00011139183753087678,-0.0002355910635880587,0.29069767441860467,59,0.686046511627907,0.7,25,0.25
88,88,0.5710227272727273,-0.00021791298215750087,-0.0001849228518731676,-6.300224056784482e-05,-0.0002872043002436641,-0.00011096332372906493,-0.00023904211850247543,0.29545454545454547,60,0.6818181818181818,0.75,26,0.25
90,90,0.575,-0.00022299765191971058,-0.00019109960193279017,-6.544439347668795e-05,-0.00028269332748971133,-0.00011513091936575607,-0.0002418797243936985,0.28888888888888886,62,0.6888888888888889,0.8,26,0.25
12,12,0.4791666666666667,0.0004364437900901824,0.0002799065512010211,-6.307370137144848e-06,-0.00041801501577565817,-1.7477715626527484e-05,-0.00016220125769103588,0.5833333333333334,5,0.4166666666666667,0.1,7,0.3
24,24,0.5520833333333334,-0.0005598998870376473,-0.0004471048452667249,-0.00013645790924603682,-0.00028449318943736594,-0.00023012357810359615,-0.00033998003684751016,0.3333333333333333,16,0.6666666666666666,0.15,8,0.3
43,43,0.5,-0.00015002761638452185,-0.00014466713371701046,-4.011798868875849e-05,-0.0003354898187392279,-7.356745219875179e-05,-0.00022743663813202343,0.3953488372093023,26,0.6046511627906976,0.2,17,0.3
56,56,0.5401785714285714,-8.813962074159352e-05,-9.229219474565042e-05,-4.38130816972102e-05,-0.0003530861804848997,-8.064072788146233e-05,-0.00024354771330054433,0.35714285714285715,35,0.625,0.25,20,0.3
62,62,0.532258064516129,-8.018099983796693e-05,-8.49167323372017e-05,-4.462701064666952e-05,-0.0003336720428401989,-8.023107593677439e-05,-0.0002307513523083943,0.3387096774193548,40,0.6451612903225806,0.3,21,0.3
68,68,0.5220588235294118,-6.506496630457465e-05,-6.391954338894526e-05,-3.286947413375913e-05,-0.0003212631235928571,-6.0587484884145925e-05,-0.00020181768212738192,0.3235294117647059,45,0.6617647058823529,0.35,22,0.3
75,75,0.52,-0.00012735582488397826,-0.00011031305229306194,-4.22204055498776e-05,-0.0003055036997178238,-7.637088469849044e-05,-0.00021052845995034097,0.32,50,0.6666666666666666,0.4,24,0.3
78,78,0.5416666666666666,-0.00015865016642037732,-0.000138087998455627,-4.9256380138547794e-05,-0.00029474833103378936,-8.825729656723913e-05,-0.0002197090351913437,0.32051282051282054,51,0.6538461538461539,0.45,25,0.3
81,81,0.5432098765432098,-0.00017061112231037638,-0.00014852141244077244,-5.4056375454709015e-05,-0.00029073941226887755,-9.634389376883272e-05,-0.00022561124725946672,0.32098765432098764,53,0.654320987654321,0.5,26,0.3
82,82,0.551829268292683,-0.0002153886824212587,-0.0001835033728170782,-5.8860720588043854e-05,-0.0002871114252043989,-0.00010442490587707997,-0.0002326118060883889,0.3048780487804878,55,0.6707317073170732,0.55,25,0.3
84,84,0.5625,-0.00021387169216979706,-0.00018282596919535316,-5.957441541016665e-05,-0.00028515774702170027,-0.00010565909142044067,-0.00023229412774384786,0.2976190476190476,57,0.6785714285714286,0.6,25,0.3
86,86,0.5581395348837209,-0.00020993226655853837,-0.00017965469257288602,-5.9881453475667226e-05,-0.0002852501643439146,-0.00010621286323544201,-0.00023169222138823888,0.3023255813953488,58,0.6744186046511628,0.65,26,0.3
86,86,0.563953488372093,-0.00022528070166692534,-0.00019091621551549397,-6.31683210271865e-05,-0.0002816279514857833,-0.00011139183753087678,-0.0002355910635880587,0.29069767441860467,59,0.686046511627907,0.7,25,0.3
