useful_threshold,risk_threshold,accepted,positive,strict_useful,hard_risk,precision_useful,risk_rate,score,accepted_images,useful_images,risk_images
0.6,0.55,13,4,3,6,0.23076923076923078,0.46153846153846156,-6.4,1399.png|1418.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3602.png|3678.png|3840.png|7259.png|7654.png,1418.png|2044.png|3678.png,1399.png|1678.png|2248.png|3392.png|3840.png|7259.png
0.6,0.6,13,4,3,6,0.23076923076923078,0.46153846153846156,-6.4,1399.png|1418.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3602.png|3678.png|3840.png|7259.png|7654.png,1418.png|2044.png|3678.png,1399.png|1678.png|2248.png|3392.png|3840.png|7259.png
0.65,0.65,12,4,3,6,0.25,0.5,-6.6,1399.png|1418.png|15274.png|2044.png|2246.png|3392.png|3602.png|3678.png|3840.png|7259.png|7654.png|8253.png,1418.png|2044.png|3678.png,1399.png|15274.png|3392.png|3840.png|7259.png|8253.png
0.65,0.7,12,4,3,6,0.25,0.5,-6.6,1399.png|1418.png|15274.png|2044.png|2246.png|3392.png|3602.png|3678.png|3840.png|7259.png|7654.png|8253.png,1418.png|2044.png|3678.png,1399.png|15274.png|3392.png|3840.png|7259.png|8253.png
0.65,0.75,12,4,3,6,0.25,0.5,-6.6,1399.png|1418.png|15274.png|2044.png|2246.png|3392.png|3602.png|3678.png|3840.png|7259.png|7654.png|8253.png,1418.png|2044.png|3678.png,1399.png|15274.png|3392.png|3840.png|7259.png|8253.png
0.65,0.8,12,4,3,6,0.25,0.5,-6.6,1399.png|1418.png|15274.png|2044.png|2246.png|3392.png|3602.png|3678.png|3840.png|7259.png|7654.png|8253.png,1418.png|2044.png|3678.png,1399.png|15274.png|3392.png|3840.png|7259.png|8253.png
0.45,0.35,10,2,2,6,0.2,0.6,-8.0,12627.png|1399.png|1855.png|2044.png|2246.png|3392.png|3678.png|3777.png|7259.png|8253.png,2044.png|3678.png,12627.png|1399.png|3392.png|3777.png|7259.png|8253.png
0.55,0.4,10,2,2,6,0.2,0.6,-8.0,13436.png|1399.png|1855.png|2044.png|2246.png|2248.png|3392.png|3678.png|7259.png|8253.png,2044.png|3678.png,13436.png|1399.png|2248.png|3392.png|7259.png|8253.png
0.3,0.3,13,3,3,7,0.23076923076923078,0.5384615384615384,-8.4,12627.png|13436.png|13867.png|1399.png|1855.png|2044.png|2246.png|3493.png|3678.png|3725.png|6947.png|7259.png|8253.png,13867.png|2044.png|3678.png,12627.png|13436.png|1399.png|3725.png|6947.png|7259.png|8253.png
0.6,0.7,16,5,4,8,0.25,0.5,-8.8,1399.png|1418.png|15274.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3602.png|3678.png|3840.png|7259.png|7312.png|7654.png|8253.png,1418.png|2044.png|3678.png|7312.png,1399.png|15274.png|1678.png|2248.png|3392.png|3840.png|7259.png|8253.png
0.6,0.75,16,5,4,8,0.25,0.5,-8.8,1399.png|1418.png|15274.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3602.png|3678.png|3840.png|7259.png|7312.png|7654.png|8253.png,1418.png|2044.png|3678.png|7312.png,1399.png|15274.png|1678.png|2248.png|3392.png|3840.png|7259.png|8253.png
0.6,0.8,16,5,4,8,0.25,0.5,-8.8,1399.png|1418.png|15274.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3602.png|3678.png|3840.png|7259.png|7312.png|7654.png|8253.png,1418.png|2044.png|3678.png|7312.png,1399.png|15274.png|1678.png|2248.png|3392.png|3840.png|7259.png|8253.png
0.35,0.3,12,2,2,7,0.16666666666666666,0.5833333333333334,-9.6,12627.png|13436.png|1399.png|1855.png|2044.png|2246.png|3493.png|3678.png|3725.png|6947.png|7259.png|8253.png,2044.png|3678.png,12627.png|13436.png|1399.png|3725.png|6947.png|7259.png|8253.png
0.5,0.4,12,3,2,7,0.16666666666666666,0.5833333333333334,-9.6,13436.png|1399.png|1855.png|2044.png|2246.png|2248.png|3392.png|3602.png|3678.png|3777.png|7259.png|8253.png,2044.png|3678.png,13436.png|1399.png|2248.png|3392.png|3777.png|7259.png|8253.png
0.55,0.5,12,3,2,7,0.16666666666666666,0.5833333333333334,-9.6,13436.png|1399.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3678.png|7259.png|7654.png|8253.png,2044.png|3678.png,13436.png|1399.png|1678.png|2248.png|3392.png|7259.png|8253.png
0.4,0.3,11,2,2,7,0.18181818181818182,0.6363636363636364,-9.8,12627.png|13436.png|1399.png|1855.png|2044.png|2246.png|3678.png|3725.png|6947.png|7259.png|8253.png,2044.png|3678.png,12627.png|13436.png|1399.png|3725.png|6947.png|7259.png|8253.png
0.55,0.45,11,2,2,7,0.18181818181818182,0.6363636363636364,-9.8,13436.png|1399.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3678.png|7259.png|8253.png,2044.png|3678.png,13436.png|1399.png|1678.png|2248.png|3392.png|7259.png|8253.png
0.6,0.65,15,4,3,8,0.2,0.5333333333333333,-10.0,1399.png|1418.png|15274.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3602.png|3678.png|3840.png|7259.png|7654.png|8253.png,1418.png|2044.png|3678.png,1399.png|15274.png|1678.png|2248.png|3392.png|3840.png|7259.png|8253.png
0.2,0.3,14,3,3,8,0.21428571428571427,0.5714285714285714,-10.2,12627.png|13436.png|13867.png|1399.png|1855.png|2044.png|2246.png|3493.png|3678.png|3725.png|6698.png|6947.png|7259.png|8253.png,13867.png|2044.png|3678.png,12627.png|13436.png|1399.png|3725.png|6698.png|6947.png|7259.png|8253.png
0.25,0.3,14,3,3,8,0.21428571428571427,0.5714285714285714,-10.2,12627.png|13436.png|13867.png|1399.png|1855.png|2044.png|2246.png|3493.png|3678.png|3725.png|6698.png|6947.png|7259.png|8253.png,13867.png|2044.png|3678.png,12627.png|13436.png|1399.png|3725.png|6698.png|6947.png|7259.png|8253.png
0.1,0.3,16,4,4,9,0.25,0.5625,-10.8,12627.png|13436.png|13867.png|1399.png|1855.png|1931.png|2044.png|2246.png|3354.png|3493.png|3678.png|3725.png|6698.png|6947.png|7259.png|8253.png,13867.png|2044.png|3354.png|3678.png,12627.png|13436.png|1399.png|1931.png|3725.png|6698.png|6947.png|7259.png|8253.png
0.45,0.4,14,4,2,8,0.14285714285714285,0.5714285714285714,-11.2,12627.png|13436.png|1399.png|1855.png|2044.png|2246.png|2248.png|3269.png|3392.png|3602.png|3678.png|3777.png|7259.png|8253.png,2044.png|3678.png,12627.png|13436.png|1399.png|2248.png|3392.png|3777.png|7259.png|8253.png
0.5,0.5,14,4,2,8,0.14285714285714285,0.5714285714285714,-11.2,13436.png|1399.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3602.png|3678.png|3777.png|7259.png|7654.png|8253.png,2044.png|3678.png,13436.png|1399.png|1678.png|2248.png|3392.png|3777.png|7259.png|8253.png
0.5,0.45,13,3,2,8,0.15384615384615385,0.6153846153846154,-11.4,13436.png|1399.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3602.png|3678.png|3777.png|7259.png|8253.png,2044.png|3678.png,13436.png|1399.png|1678.png|2248.png|3392.png|3777.png|7259.png|8253.png
0.55,0.55,16,4,3,9,0.1875,0.5625,-11.8,13436.png|1399.png|1418.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3602.png|3678.png|3840.png|5882.png|7259.png|7654.png|8253.png,1418.png|2044.png|3678.png,13436.png|1399.png|1678.png|2248.png|3392.png|3840.png|5882.png|7259.png|8253.png
0.55,0.6,16,4,3,9,0.1875,0.5625,-11.8,13436.png|1399.png|1418.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3602.png|3678.png|3840.png|5882.png|7259.png|7654.png|8253.png,1418.png|2044.png|3678.png,13436.png|1399.png|1678.png|2248.png|3392.png|3840.png|5882.png|7259.png|8253.png
0.15,0.3,15,3,3,9,0.2,0.6,-12.0,12627.png|13436.png|13867.png|1399.png|1855.png|1931.png|2044.png|2246.png|3493.png|3678.png|3725.png|6698.png|6947.png|7259.png|8253.png,13867.png|2044.png|3678.png,12627.png|13436.png|1399.png|1931.png|3725.png|6698.png|6947.png|7259.png|8253.png
0.55,0.7,18,5,4,10,0.2222222222222222,0.5555555555555556,-12.4,13436.png|1399.png|1418.png|15274.png|1678.png|1855.png|2044.png|2246.png|2248.png|3392.png|3602.png|3678.png|3840.png|5882.png|7259.png|7312.png|7654.png|8253.png,1418.png|2044.png|3678.png|7312.png,13436.png|1399.png|15274.png|1678.png|2248.png|3392.png|3840.png|5882.png|7259.png|8253.png
