background_connected_by_cut,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_gt_instance_count,candidate_gt_instances_covered,candidate_gt_instances_multi_covered,candidate_iou,candidate_merged_pred_components,candidate_precision,candidate_pred_component_count_instance_match,candidate_rank,candidate_recall,component_area,component_bbox_h,component_bbox_w,component_fill,component_slenderness,cut_adjacent_bg_components_before,cut_anchor_area_frac,cut_area,cut_bbox_h,cut_bbox_w,cut_bg_channel_area_after,cut_bg_channel_border_contacts_after,cut_bg_channel_frac_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_max_dist_in,cut_mean_dist_in,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_gt_instance_count,delta_gt_instances_covered,delta_gt_instances_multi_covered,delta_iou,delta_merged_pred_components,delta_precision,delta_pred_component_count_instance_match,delta_recall,dist_percentile,image,local_bg_component_delta,local_bg_components_after,local_bg_components_before,pred_component_id,r251_bg_prob_ge_05_frac,r251_bg_prob_mean,r251_bg_prob_min,r251_bg_prob_p10,r251_bg_prob_p50,r251_bg_prob_p90,ring_bg_frac,ring_fg_frac,risk_label,run_id,safe_useful_label,split
1.0,0.40730810001870676,0.2557356510844883,0.0,0.0,0.897808908045977,0.1947634104398957,26.0,26.0,0.0,0.8145673781978165,0.0,0.875512277137553,26.0,1.0,0.9212708709594191,3314.0,38.0,110.0,0.792822966507177,2.8947368421052633,1.0,0.0012594017841525275,36.0,3.0,18.0,1630.0,3.0,0.48425430778371953,0.6666666666666666,0.4722222222222222,0.5277777777777778,2.0,1.4837281545103638,0.039524830877780914,0.7453160285949707,0.05058889277279377,6.0,0.02877219393849373,0.0005453574895408764,0.00042983230463083943,0.0,0.0,-3.0132804048066397e-05,-0.0010539745936650746,0.0,0.0,0.0,-4.960981677437637e-05,0.0,0.0005079042146913793,0.0,-0.0006265895101544849,10.0,10520.png,0.0,1.0,1.0,26.0,0.4444444444444444,0.46414432131964695,0.0029287618194965494,0.05108285380204343,0.43519677076173424,0.9067931112907539,0.45,0.55,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.4080563696451955,0.2563258911084998,0.0,0.0,0.8979679758742012,0.19537360625728076,26.0,26.0,0.0,0.8148292937190513,0.0,0.8752493263813557,26.0,4.0,0.9218974604695735,3314.0,38.0,110.0,0.792822966507177,2.8947368421052633,1.0,0.00027986706314500615,8.0,2.0,4.0,1246.0,3.0,0.47923076923076924,1.0,0.0,1.0,2.0,1.5,0.021666351705789566,0.7857843637466431,0.02271398138254881,2.0,0.01674577407538891,0.0012936271160295942,0.0010200723286423186,0.0,0.0,0.00012893502417610225,-0.00044377877628001827,0.0,0.0,0.0,0.00021230570446040264,0.0,0.00024495345849406824,0.0,0.0,10.0,10520.png,0.0,2.0,2.0,26.0,0.25,0.1796624194942803,0.015996090003934225,0.017234046170525638,0.018819181692218974,0.6180419685366962,0.35,0.65,0.0,R251-reverse-background-candidate-selector,1.0,val
1.0,0.4075575232275363,0.2559323361265565,0.0,0.0,0.8979679758742012,0.19537360625728076,26.0,26.0,0.0,0.8148292937190513,0.0,0.8752493263813557,26.0,5.0,0.9218974604695735,3314.0,38.0,110.0,0.792822966507177,2.8947368421052633,1.0,0.00027986706314500615,8.0,2.0,4.0,1344.0,3.0,0.5169230769230769,1.0,0.0,1.0,2.0,1.5,0.021546728909015656,0.7078431844711304,0.023546839691698553,2.0,0.011433239094913006,0.000794780698370412,0.0006265173466990515,0.0,0.0,0.00012893502417610225,-0.00044377877628001827,0.0,0.0,0.0,0.00021230570446040264,0.0,0.00024495345849406824,0.0,0.0,10.0,10520.png,0.0,1.0,1.0,26.0,0.0,0.10928009892078791,0.0028711125971175523,0.00332931517296266,0.00867409384812377,0.38912026464677085,0.4,0.6,0.0,R251-reverse-background-candidate-selector,1.0,val
1.0,0.4064604639560988,0.2550676997730297,0.0,0.0,0.8976213984382012,0.19581738503356078,26.0,26.0,0.0,0.8142587285044294,0.0,0.8749562539371457,26.0,6.0,0.9214920201982971,5134.0,99.0,65.0,0.7978243978243978,1.523076923076923,1.0,0.0003848172118243834,11.0,5.0,5.0,1515.0,4.0,0.5393378426486294,0.44,1.0,0.0,2.23606797749979,1.4662718367719962,0.04008151963353157,0.7433155179023743,0.05261433869600296,1.0,0.02270471677184105,-0.00030227857306708295,-0.00023811900682779719,0.0,0.0,-0.00021764241182387067,0.0,0.0,0.0,0.0,-0.00035825951016155155,0.0,-4.811898571588369e-05,0.0,-0.0004054402712764249,10.0,10520.png,0.0,1.0,1.0,20.0,0.2727272727272727,0.26437773298304335,0.0003846038120306546,0.0003846038120306546,0.11470520529615234,0.6573341742186085,0.42857142857142855,0.5714285714285714,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.40750904328302356,0.2558941019816715,0.0,0.0,0.8979679758742012,0.19537360625728076,26.0,26.0,0.0,0.8148292937190513,0.0,0.8752493263813557,26.0,7.0,0.9218974604695735,3314.0,38.0,110.0,0.792822966507177,2.8947368421052633,1.0,0.00027986706314500615,8.0,4.0,4.0,2081.0,4.0,0.7696005917159763,0.5,0.0,1.0,2.0,1.3535533905932737,0.025648299604654312,0.7161765098571777,0.03909882679581642,1.0,0.021828865632414818,0.000746300753857676,0.0005882832018140327,0.0,0.0,0.00012893502417610225,-0.00044377877628001827,0.0,0.0,0.0,0.00021230570446040264,0.0,0.00024495345849406824,0.0,0.0,10.0,10520.png,0.0,1.0,1.0,26.0,0.125,0.15177699337063907,0.00140739301185225,0.0034292866245964407,0.028261264009844436,0.49986057511603454,0.5208333333333334,0.4791666666666667,0.0,R251-reverse-background-candidate-selector,1.0,val
1.0,0.40561447286338115,0.2544017528758119,0.0,0.0,0.8976016085020825,0.19581738503356078,26.0,26.0,0.0,0.8142261594580511,0.0,0.8749518776467294,26.0,2.0,0.9214551619918174,1595.0,45.0,44.0,0.8055555555555556,1.0227272727272727,1.0,0.0004198005947175092,12.0,6.0,2.0,1763.0,4.0,0.652962962962963,1.0,1.0,0.0,2.0,1.4023689270621826,0.032111674547195435,0.6045752167701721,0.03865030109882355,3.0,0.016234956681728363,-0.0011482696657847402,-0.0009040659040455701,0.0,0.0,-0.00023743234794260104,0.0,0.0,0.0,0.0,-0.00039082855653982396,0.0,-5.249527613215843e-05,0.0,-0.0004422984777561201,12.0,10520.png,0.0,1.0,1.0,12.0,0.5,0.5275746893831715,0.2681953140854846,0.2880966305330956,0.46877492651268216,0.9030936386029834,0.4791666666666667,0.5208333333333334,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.4093063872255489,0.25731315190965415,0.0,0.0,0.8981218802743564,0.19470793809286072,26.0,26.0,0.0,0.8150827792986572,0.0,0.8756083044498127,26.0,3.0,0.9218237440566142,1581.0,41.0,48.0,0.8033536585365854,1.170731707317073,1.0,0.0007696344236487668,22.0,7.0,11.0,1268.0,4.0,0.3907550077041603,0.2857142857142857,0.09090909090909091,0.9090909090909091,2.0,1.3480388295223809,0.03754555806517601,0.7098039388656616,0.048708378151059155,1.5714285714285714,0.02446162700653076,0.0025436446963830184,0.0020073331297966734,0.0,0.0,0.0002828394243312715,-0.0011094469407000596,0.0,0.0,0.0,0.0004657912840663192,0.0,0.0006039315269511514,0.0,-7.371641295939035e-05,12.0,10520.png,0.0,1.0,1.0,25.0,0.18181818181818182,0.24891841060836759,0.019146004043406644,0.022028170433751177,0.21349466913253567,0.6653082554366325,0.4772727272727273,0.5227272727272727,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.4065131948343627,0.2551092318534179,0.0,0.0,0.8975818178554117,0.19581738503356078,26.0,26.0,0.0,0.8141935904116727,0.0,0.874947501049979,26.0,6.0,0.9214183037853378,1581.0,41.0,48.0,0.8033536585365854,1.170731707317073,1.0,0.00045478397761063497,13.0,6.0,4.0,1802.0,4.0,0.6417378917378918,0.5416666666666666,1.0,0.0,2.0,1.3714174711343223,0.039105210453271866,0.732729971408844,0.04438799396157265,1.5,0.026944085955619812,-0.00024954769480317607,-0.0001965869264395903,0.0,0.0,-0.00025722299461339304,0.0,0.0,0.0,0.0,-0.0004233976029182074,0.0,-5.687187288261342e-05,0.0,-0.00047915668423570423,12.0,10520.png,0.0,1.0,1.0,25.0,0.3076923076923077,0.29343373923103644,0.016040006146303906,0.04931160389142389,0.11888323039272086,0.6845574272738569,0.5178571428571429,0.48214285714285715,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.40628703299444896,0.25493112085159675,0.0,0.0,0.8977093206951027,0.19565096799245577,26.0,26.0,0.0,0.8144034396273737,0.0,0.8750568718720471,26.0,7.0,0.9215657366112565,1595.0,45.0,44.0,0.8055555555555556,1.0227272727272727,1.0,0.0004198005947175092,12.0,4.0,6.0,1459.0,4.0,0.5195868945868946,0.5,0.75,0.25,2.0,1.3535533905932737,0.03519485890865326,0.6222222447395325,0.04144986383616924,1.5,0.022087248042225838,-0.00047570953471692823,-0.00037469792826072545,0.0,0.0,-0.00012972015492240807,-0.00016641704110501032,0.0,0.0,0.0,-0.0002135483872172106,0.0,5.249894918546438e-05,0.0,-0.00033172385831703455,12.0,10520.png,0.0,1.0,1.0,12.0,0.4166666666666667,0.40640619337608036,0.0034398785716585156,0.08452409952223475,0.3229792436844877,0.8329117820015096,0.4642857142857143,0.5357142857142857,1.0,R251-reverse-background-candidate-selector,0.0,val
1.0,0.4064077790936857,0.2550262066807479,0.0,0.0,0.897680763983629,0.19581738503356078,26.0,26.0,0.0,0.8143564356435643,0.0,0.8749693809707108,26.0,8.0,0.9216025948177362,5134.0,99.0,65.0,0.7978243978243978,1.523076923076923,1.0,0.00027986706314500615,8.0,4.0,2.0,1135.0,3.0,0.43653846153846154,1.0,1.0,0.0,2.8284271247461903,1.8098385830773842,0.028302408754825592,0.7107843160629272,0.03484468162059784,2.0,0.02044769749045372,-0.0003549634354801934,-0.00027961209910959406,0.0,0.0,-0.00015827686639613425,0.0,0.0,0.0,0.0,-0.0002605523710266233,0.0,-3.499195215084239e-05,0.0,-0.00029486565183733937,12.0,10520.png,0.0,1.0,1.0,20.0,0.0,0.12568345746028192,0.0003846038120306546,0.0003846038120306546,0.11814827925313977,0.24138824890382915,0.3,0.7,1.0,R251-reverse-background-candidate-selector,0.0,val
