anchor_assd_px,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_component_merge_rate,anchor_dice,anchor_gap_region_fp_rate,anchor_gap_region_precision,anchor_gt_instance_count,anchor_gt_instances_covered,anchor_gt_instances_multi_covered,anchor_hd95_px,anchor_iou,anchor_merged_pred_components,anchor_precision,anchor_pred_component_count_instance_match,anchor_recall,anchor_specificity,anchor_surface_dice_2px,anchor_surface_dice_5px,cut_pixels,delta_assd_px,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_component_merge_rate,delta_dice,delta_gap_region_fp_rate,delta_gap_region_precision,delta_gt_instance_count,delta_gt_instances_covered,delta_gt_instances_multi_covered,delta_hd95_px,delta_iou,delta_merged_pred_components,delta_precision,delta_pred_component_count_instance_match,delta_recall,delta_specificity,delta_surface_dice_2px,delta_surface_dice_5px,image,max_cut_frac,r222_assd_px,r222_boundary_f1,r222_boundary_iou,r222_component_count_mae,r222_component_delta_mean,r222_component_merge_rate,r222_dice,r222_gap_region_fp_rate,r222_gap_region_precision,r222_gt_instance_count,r222_gt_instances_covered,r222_gt_instances_multi_covered,r222_hd95_px,r222_iou,r222_merged_pred_components,r222_precision,r222_pred_component_count_instance_match,r222_recall,r222_specificity,r222_surface_dice_2px,r222_surface_dice_5px,threshold
,0.3631018008085263,0.22182308037718904,0.0,0.0,0.0,0.9164516103259003,0.16284825077805692,0.8371517492219431,27.0,27.0,1.0,,0.8457874323467386,1.0,0.9284615758203688,27.0,0.9047483830257138,0.9979478677607657,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,13436.png,0.0015,,0.3631018008085263,0.22182308037718904,0.0,0.0,0.0,0.9164516103259003,0.16284825077805692,0.8371517492219431,27.0,27.0,1.0,,0.8457874323467386,1.0,0.9284615758203688,27.0,0.9047483830257138,0.9979478677607657,,,0.001
,0.4851149159339812,0.320232155584971,0.0,0.0,0.0,0.9162424157891066,0.06518714806227227,0.9348128519377277,23.0,23.0,0.0,,0.8454311454311454,0.0,0.9513855363522256,23.0,0.8836031027216069,0.9989519510674592,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,13441.png,0.0015,,0.4851149159339812,0.320232155584971,0.0,0.0,0.0,0.9162424157891066,0.06518714806227227,0.9348128519377277,23.0,23.0,0.0,,0.8454311454311454,0.0,0.9513855363522256,23.0,0.8836031027216069,0.9989519510674592,,,0.001
,0.44652070840886904,0.2874326750448833,0.0,0.0,0.0,0.9069467331096508,0.1109672646569262,0.8890327353430738,25.0,25.0,0.0,,0.8297369950595757,0.0,0.9264246603123099,25.0,0.8882709807886754,0.9984369884023505,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,13454.png,0.0015,,0.44652070840886904,0.2874326750448833,0.0,0.0,0.0,0.9069467331096508,0.1109672646569262,0.8890327353430738,25.0,25.0,0.0,,0.8297369950595757,0.0,0.9264246603123099,25.0,0.8882709807886754,0.9984369884023505,,,0.001
,0.456278079924332,0.2955701243796336,1.0,-1.0,1.0,0.9247154768425537,0.1056701030927835,0.8943298969072165,27.0,27.0,0.0,,0.8599728322390763,1.0,0.9487355604121136,25.0,0.9018816406481867,0.9984316447353758,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,13480.png,0.0015,,0.456278079924332,0.2955701243796336,1.0,-1.0,1.0,0.9247154768425537,0.1056701030927835,0.8943298969072165,27.0,27.0,0.0,,0.8599728322390763,1.0,0.9487355604121136,25.0,0.9018816406481867,0.9984316447353758,,,0.001
,0.26297229219143575,0.1513921113689095,0.0,0.0,0.0,0.7886899151743638,0.38031537916371366,0.6196846208362863,22.0,22.0,0.0,,0.6511048863990041,0.0,0.6906113825432457,22.0,0.9192371913173389,0.9974540647762853,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,13517.png,0.0015,,0.26297229219143575,0.1513921113689095,0.0,0.0,0.0,0.7886899151743638,0.38031537916371366,0.6196846208362863,22.0,22.0,0.0,,0.6511048863990041,0.0,0.6906113825432457,22.0,0.9192371913173389,0.9974540647762853,,,0.001
,0.2647373180958645,0.1525632521557851,1.0,-1.0,1.0,0.873584856780166,0.3180457476205097,0.6819542523794904,27.0,27.0,0.0,,0.7755443115608709,0.0,0.8442267249724605,27.0,0.9050584214575841,0.9941215780851322,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,13840.png,0.0015,,0.2647373180958645,0.1525632521557851,1.0,-1.0,1.0,0.873584856780166,0.3180457476205097,0.6819542523794904,27.0,27.0,0.0,,0.7755443115608709,0.0,0.8442267249724605,27.0,0.9050584214575841,0.9941215780851322,,,0.001
,0.27669350802966197,0.1605596620908131,4.0,-4.0,1.0,0.8648620047409414,0.2727621156630611,0.7272378843369389,27.0,27.0,0.0,,0.7619003225626014,2.0,0.8488719930200673,25.0,0.8814659821390052,0.9961391457189892,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,13867.png,0.0015,,0.27669350802966197,0.1605596620908131,4.0,-4.0,1.0,0.8648620047409414,0.2727621156630611,0.7272378843369389,27.0,27.0,0.0,,0.7619003225626014,2.0,0.8488719930200673,25.0,0.8814659821390052,0.9961391457189892,,,0.001
,0.22177136168552478,0.12471476215552045,4.0,4.0,0.0,0.8097185683019035,0.07493558047217773,0.9250644195278223,19.0,19.0,0.0,,0.6802748885586924,1.0,0.8854131412270947,22.0,0.7459470468431771,0.9992280296254218,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,1399.png,0.0015,,0.22177136168552478,0.12471476215552045,4.0,4.0,0.0,0.8097185683019035,0.07493558047217773,0.9250644195278223,19.0,19.0,0.0,,0.6802748885586924,1.0,0.8854131412270947,22.0,0.7459470468431771,0.9992280296254218,,,0.001
,0.4545976069496804,0.29416131940393486,3.0,-3.0,1.0,0.9403342687778893,0.210977095037913,0.7890229049620869,28.0,28.0,0.0,,0.8873876365647905,1.0,0.9201020949540429,21.0,0.9614762204441248,0.9979047952813523,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,14041.png,0.0015,,0.4545976069496804,0.29416131940393486,3.0,-3.0,1.0,0.9403342687778893,0.210977095037913,0.7890229049620869,28.0,28.0,0.0,,0.8873876365647905,1.0,0.9201020949540429,21.0,0.9614762204441248,0.9979047952813523,,,0.001
,0.16310257339615802,0.08879242304656669,1.0,-1.0,1.0,0.6380715782936107,0.05993229023698417,0.9400677097630158,12.0,11.0,4.0,,0.4685059567918828,1.0,0.9059744268077602,15.0,0.49245056920311564,0.999722865332045,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,1418.png,0.0015,,0.16310257339615802,0.08879242304656669,1.0,-1.0,1.0,0.6380715782936107,0.05993229023698417,0.9400677097630158,12.0,11.0,4.0,,0.4685059567918828,1.0,0.9059744268077602,15.0,0.49245056920311564,0.999722865332045,,,0.001
,0.2926949806949807,0.17143684191482433,2.0,-2.0,1.0,0.921664816297023,0.3112669471715755,0.6887330528284246,27.0,27.0,0.0,,0.8547108823177302,2.0,0.9064293331979076,19.0,0.9374212184873949,0.9962907364708345,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,1452.png,0.0015,,0.2926949806949807,0.17143684191482433,2.0,-2.0,1.0,0.921664816297023,0.3112669471715755,0.6887330528284246,27.0,27.0,0.0,,0.8547108823177302,2.0,0.9064293331979076,19.0,0.9374212184873949,0.9962907364708345,,,0.001
,0.4406073474620408,0.28255061144794985,1.0,-1.0,1.0,0.9396147686702027,0.19084602624038607,0.809153973759614,28.0,28.0,0.0,,0.88610699291979,2.0,0.9265328001854427,24.0,0.953071443474114,0.9980146192305133,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,15040.png,0.0015,,0.4406073474620408,0.28255061144794985,1.0,-1.0,1.0,0.9396147686702027,0.19084602624038607,0.809153973759614,28.0,28.0,0.0,,0.88610699291979,2.0,0.9265328001854427,24.0,0.953071443474114,0.9980146192305133,,,0.001
,0.44864,0.2891914191419142,2.0,-2.0,1.0,0.937545553578846,0.19222218035196142,0.8077778196480385,28.0,28.0,0.0,,0.8824336485549474,2.0,0.9203286558345642,24.0,0.9554188962542928,0.9979541772042871,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,15067.png,0.0015,,0.44864,0.2891914191419142,2.0,-2.0,1.0,0.937545553578846,0.19222218035196142,0.8077778196480385,28.0,28.0,0.0,,0.8824336485549474,2.0,0.9203286558345642,24.0,0.9554188962542928,0.9979541772042871,,,0.001
,0.31607629427792916,0.18770226537216828,2.0,2.0,0.0,0.8303954969634129,0.23969072164948454,0.7603092783505154,2.0,2.0,0.0,,0.7099797365754813,0.0,0.743895966029724,4.0,0.9396580623533356,0.99968786722098,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,1518.png,0.0015,,0.31607629427792916,0.18770226537216828,2.0,2.0,0.0,0.8303954969634129,0.23969072164948454,0.7603092783505154,2.0,2.0,0.0,,0.7099797365754813,0.0,0.743895966029724,4.0,0.9396580623533356,0.99968786722098,,,0.001
,0.35948827292110874,0.21913179100597868,2.0,2.0,0.0,0.803672544895648,0.09724170172978028,0.9027582982702197,19.0,18.0,0.0,,0.6717830820204206,0.0,0.8120810854994278,21.0,0.7954363490792634,0.9992540863027664,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,1522.png,0.0015,,0.35948827292110874,0.21913179100597868,2.0,2.0,0.0,0.803672544895648,0.09724170172978028,0.9027582982702197,19.0,18.0,0.0,,0.6717830820204206,0.0,0.8120810854994278,21.0,0.7954363490792634,0.9992540863027664,,,0.001
,0.38818398096748613,0.24083640836408365,0.0,0.0,0.0,0.9112713156800222,0.045071928027435086,0.9549280719725649,27.0,27.0,0.0,,0.8370049662549344,0.0,0.974909153832843,27.0,0.8554324013621674,0.9995084319657733,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,15274.png,0.0015,,0.38818398096748613,0.24083640836408365,0.0,0.0,0.0,0.9112713156800222,0.045071928027435086,0.9549280719725649,27.0,27.0,0.0,,0.8370049662549344,0.0,0.974909153832843,27.0,0.8554324013621674,0.9995084319657733,,,0.001
,0.4933157597439277,0.32741814546363407,0.0,0.0,0.0,0.9313014460511679,0.11311750290210242,0.8868824970978976,28.0,28.0,0.0,,0.8714351138681877,1.0,0.9398109691758525,27.0,0.922944639195714,0.9989802528105807,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,15369.png,0.0015,,0.4933157597439277,0.32741814546363407,0.0,0.0,0.0,0.9313014460511679,0.11311750290210242,0.8868824970978976,28.0,28.0,0.0,,0.8714351138681877,1.0,0.9398109691758525,27.0,0.922944639195714,0.9989802528105807,,,0.001
