accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
82,82,-0.0006002474971127709,-0.00046696887224584365,-0.00014611258586665776,-0.0004664199711345025,-0.0002480009437417199,-0.0004800999066658069,0.21951219512195122,62,0.7560975609756098,0.6,18,0.4
84,84,-0.0005590812402732632,-0.0004321346698895767,-0.00014334431991565509,-0.0004553147337265382,-0.00024305626077215,-0.0004697572237124856,0.21428571428571427,64,0.7619047619047619,0.65,18,0.4
84,84,-0.0005590812402732632,-0.0004321346698895767,-0.00014334431991565509,-0.0004553147337265382,-0.00024305626077215,-0.0004697572237124856,0.21428571428571427,64,0.7619047619047619,0.7,18,0.4
84,84,-0.0005590812402732632,-0.0004321346698895767,-0.00014334431991565509,-0.0004553147337265382,-0.00024305626077215,-0.0004697572237124856,0.21428571428571427,64,0.7619047619047619,0.75,18,0.4
84,84,-0.0005590812402732632,-0.0004321346698895767,-0.00014334431991565509,-0.0004553147337265382,-0.00024305626077215,-0.0004697572237124856,0.21428571428571427,64,0.7619047619047619,0.8,18,0.4
0,0,,,,,,,0.0,0,0.0,0.1,0,0.45
0,0,,,,,,,0.0,0,0.0,0.15,0,0.45
1,1,0.001850975716052028,0.0011734223525954601,-0.00025641400097053957,-0.0009123187691093548,-0.0004264066403693034,-0.0006636434022785354,0.0,1,1.0,0.2,0,0.45
2,2,0.000427653765978947,0.00025028485927200417,-0.0002600364400791588,-0.0006595316667614565,-0.00041782393382006067,-0.000617067368970714,0.0,2,1.0,0.25,0,0.45
4,4,-0.0002524330100667979,-0.00026848324539839943,-0.0001287953065776115,-0.0007014237703368981,-0.00021285389436639934,-0.0005317128163761231,0.0,3,0.75,0.3,0,0.45
9,9,-0.0009502677379256049,-0.0007992583972481836,-0.000169698576278675,-0.0004263293462852597,-0.0002903223216533061,-0.0005176766098100706,0.0,8,0.8888888888888888,0.35,0,0.45
19,19,-0.0006876922530490378,-0.0005744462676123647,-0.00011914765941804137,-0.0004094841283447882,-0.0002074565194875793,-0.0004073845694712615,0.05263157894736842,17,0.8947368421052632,0.4,1,0.45
45,45,-0.0005882714107767707,-0.0004335267124221723,-0.00016417257119349444,-0.00047493206340858563,-0.000265185823443924,-0.00047851327215382185,0.15555555555555556,36,0.8,0.45,7,0.45
65,65,-0.000636901546815214,-0.0004993259964489496,-0.00015100302127758736,-0.0004276430052664902,-0.0002520818692050222,-0.00046677975375473475,0.2153846153846154,50,0.7692307692307693,0.5,14,0.45
72,72,-0.0006305832795535695,-0.0004973901669135394,-0.00015642932984106454,-0.00043252368669167773,-0.0002636975952464912,-0.0004785142974258333,0.20833333333333334,55,0.7638888888888888,0.55,15,0.45
77,77,-0.0005346597627121915,-0.0004184936730957297,-0.00013665187777597878,-0.0004891276445347655,-0.00023138121842814158,-0.00047428592963349135,0.23376623376623376,57,0.7402597402597403,0.6,18,0.45
78,78,-0.0005333754212943642,-0.0004167202093383297,-0.0001382071467571277,-0.00048285677729714027,-0.0002340377604321727,-0.00047431987604288863,0.23076923076923078,58,0.7435897435897436,0.65,18,0.45
78,78,-0.0005333754212943642,-0.0004167202093383297,-0.0001382071467571277,-0.00048285677729714027,-0.0002340377604321727,-0.00047431987604288863,0.23076923076923078,58,0.7435897435897436,0.7,18,0.45
78,78,-0.0005333754212943642,-0.0004167202093383297,-0.0001382071467571277,-0.00048285677729714027,-0.0002340377604321727,-0.00047431987604288863,0.23076923076923078,58,0.7435897435897436,0.75,18,0.45
78,78,-0.0005333754212943642,-0.0004167202093383297,-0.0001382071467571277,-0.00048285677729714027,-0.0002340377604321727,-0.00047431987604288863,0.23076923076923078,58,0.7435897435897436,0.8,18,0.45
0,0,,,,,,,0.0,0,0.0,0.1,0,0.5
0,0,,,,,,,0.0,0,0.0,0.15,0,0.5
0,0,,,,,,,0.0,0,0.0,0.2,0,0.5
1,1,-0.000995668184094134,-0.0006728526340514518,-0.0002636588791877781,-0.0004067445644135581,-0.0004092412272708179,-0.0005704913356628927,0.0,1,1.0,0.25,0,0.5
3,3,-0.0009535692521064065,-0.0007491184447296859,-8.625574177996882e-05,-0.0006311254374127458,-0.00014166964569876464,-0.00048773595440865236,0.0,2,0.6666666666666666,0.3,0,0.5
8,8,-0.001300423169672809,-0.0010458434909786391,-0.00015885914819219193,-0.0003655806684322478,-0.00027331178181380644,-0.0004994307607515125,0.0,7,0.875,0.35,0,0.5
17,17,-0.0008691898975406682,-0.0007054855945208329,-0.00013182725838286024,-0.0003060913800885221,-0.000230636783475464,-0.0004162743186867902,0.058823529411764705,15,0.8823529411764706,0.4,1,0.5
44,44,-0.0005984389367991431,-0.0004412285392868528,-0.00017321449018735518,-0.0004479003783056729,-0.00028043000327647195,-0.0004893885737936814,0.1590909090909091,35,0.7954545454545454,0.45,7,0.5
63,63,-0.0006348068605471984,-0.0004997097616040603,-0.00015540845586634177,-0.0003945801350028431,-0.0002595067058167333,-0.00046874383543668704,0.2222222222222222,48,0.7619047619047619,0.5,14,0.5
68,68,-0.0006441800335631281,-0.0005094094154460506,-0.00015936435620499858,-0.00039513363863346305,-0.0002689209139214615,-0.00048106364103649076,0.20588235294117646,52,0.7647058823529411,0.55,14,0.5
70,70,-0.000593140474808944,-0.00046680987691723164,-0.000147076076070415,-0.0004267324404741289,-0.00024947872083718104,-0.0004841387098213912,0.21428571428571427,53,0.7571428571428571,0.6,15,0.5
70,70,-0.000593140474808944,-0.00046680987691723164,-0.000147076076070415,-0.0004267324404741289,-0.00024947872083718104,-0.0004841387098213912,0.21428571428571427,53,0.7571428571428571,0.65,15,0.5
70,70,-0.000593140474808944,-0.00046680987691723164,-0.000147076076070415,-0.0004267324404741289,-0.00024947872083718104,-0.0004841387098213912,0.21428571428571427,53,0.7571428571428571,0.7,15,0.5
70,70,-0.000593140474808944,-0.00046680987691723164,-0.000147076076070415,-0.0004267324404741289,-0.00024947872083718104,-0.0004841387098213912,0.21428571428571427,53,0.7571428571428571,0.75,15,0.5
70,70,-0.000593140474808944,-0.00046680987691723164,-0.000147076076070415,-0.0004267324404741289,-0.00024947872083718104,-0.0004841387098213912,0.21428571428571427,53,0.7571428571428571,0.8,15,0.5
0,0,,,,,,,0.0,0,0.0,0.1,0,0.55
0,0,,,,,,,0.0,0,0.0,0.15,0,0.55
0,0,,,,,,,0.0,0,0.0,0.2,0,0.55
1,1,-0.000995668184094134,-0.0006728526340514518,-0.0002636588791877781,-0.0004067445644135581,-0.0004092412272708179,-0.0005704913356628927,0.0,1,1.0,0.25,0,0.55
3,3,-0.0009535692521064065,-0.0007491184447296859,-8.625574177996882e-05,-0.0006311254374127458,-0.00014166964569876464,-0.00048773595440865236,0.0,2,0.6666666666666666,0.3,0,0.55
8,8,-0.001300423169672809,-0.0010458434909786391,-0.00015885914819219193,-0.0003655806684322478,-0.00027331178181380644,-0.0004994307607515125,0.0,7,0.875,0.35,0,0.55
17,17,-0.0008691898975406682,-0.0007054855945208329,-0.00013182725838286024,-0.0003060913800885221,-0.000230636783475464,-0.0004162743186867902,0.058823529411764705,15,0.8823529411764706,0.4,1,0.55
41,41,-0.0008258912467906212,-0.0006315184117494976,-0.00019469332097881586,-0.0003586491307839658,-0.00031728260439302483,-0.0004991431432792136,0.14634146341463414,34,0.8292682926829268,0.45,6,0.55
60,60,-0.0006421302349402751,-0.0005068363661965256,-0.00015686230038527426,-0.0004129481531308499,-0.0002616674298048266,-0.00047534970006358015,0.23333333333333334,45,0.75,0.5,14,0.55
64,64,-0.0006763093814158645,-0.0005329654469026907,-0.00016050010343704457,-0.00038330474974023984,-0.0002707455359663045,-0.00048430787397727576,0.21875,49,0.765625,0.55,14,0.55
65,65,-0.0006863696839660145,-0.0005392933682202482,-0.00016195821679867097,-0.00037740775359039,-0.0002729254617460183,-0.00048384378332066476,0.2153846153846154,50,0.7692307692307693,0.6,14,0.55
65,65,-0.0006863696839660145,-0.0005392933682202482,-0.00016195821679867097,-0.00037740775359039,-0.0002729254617460183,-0.00048384378332066476,0.2153846153846154,50,0.7692307692307693,0.65,14,0.55
65,65,-0.0006863696839660145,-0.0005392933682202482,-0.00016195821679867097,-0.00037740775359039,-0.0002729254617460183,-0.00048384378332066476,0.2153846153846154,50,0.7692307692307693,0.7,14,0.55
65,65,-0.0006863696839660145,-0.0005392933682202482,-0.00016195821679867097,-0.00037740775359039,-0.0002729254617460183,-0.00048384378332066476,0.2153846153846154,50,0.7692307692307693,0.75,14,0.55
65,65,-0.0006863696839660145,-0.0005392933682202482,-0.00016195821679867097,-0.00037740775359039,-0.0002729254617460183,-0.00048384378332066476,0.2153846153846154,50,0.7692307692307693,0.8,14,0.55
0,0,,,,,,,0.0,0,0.0,0.1,0,0.6
0,0,,,,,,,0.0,0,0.0,0.15,0,0.6
0,0,,,,,,,0.0,0,0.0,0.2,0,0.6
1,1,-0.000995668184094134,-0.0006728526340514518,-0.0002636588791877781,-0.0004067445644135581,-0.0004092412272708179,-0.0005704913356628927,0.0,1,1.0,0.25,0,0.6
2,2,-0.0015562388082477063,-0.0012010733403048784,-0.0003169137067291494,-0.00031172638340951075,-0.0005161020024393448,-0.0006881590414561378,0.0,2,1.0,0.3,0,0.6
7,7,-0.0015221650310798093,-0.001217362753464259,-0.000235133339093704,-0.00023638882886268094,-0.00039909847461326386,-0.0005583651865283455,0.0,7,1.0,0.35,0,0.6
15,15,-0.0009877467497044453,-0.0008005115740063684,-0.00019820607117327545,-0.0001913702722228618,-0.0003343157869022839,-0.0004659849091574501,0.06666666666666667,14,0.9333333333333333,0.4,1,0.6
36,36,-0.0007302393106532815,-0.0005571445295710245,-0.00020756140370173988,-0.00033800273610312296,-0.0003343967042781581,-0.0005011179156081372,0.16666666666666666,30,0.8333333333333334,0.45,6,0.6
