action_frac,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,bg_channel_proxy,bg_component_count_delta,bg_components_after,bg_components_before,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_recall,cut_adjacent_bg_components_before,cut_area,cut_bbox_h,cut_bbox_w,cut_component_bg_area_after,cut_component_bg_frac_after,cut_component_border_contacts_after,cut_fill,cut_gt_fg_frac,cut_gt_gap_frac,cut_mean_grad,cut_mean_image,cut_p90_grad,cut_slenderness,cut_std_image,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,image,lobe_a,lobe_b,local_anchor_frac,local_bg_frac,num_pseudo_lobes,pred_component_id,r225_hard_risk,r225_overerosion_proxy,r225_quick_useful,r225_safe_gap_positive,run_id,seam_radius,split
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,2.0,2.0,0.4074830563550274,0.2558736081151985,1.0,1.0,0.874142517149657,0.1957871878393051,0.7764237751803034,0.8566411180419632,0.892373947177865,1.0,4.0,2.0,2.0,506.0,0.43771626297577854,3.0,1.0,1.0,0.0,0.0546526163816452,0.3382353186607361,0.06443390250205994,1.0,0.03320331871509552,-0.00015138220724619789,-0.00011939275969213847,0.0,0.0,-4.202960299592995e-05,0.0,-6.631849457017225e-05,-1.0488842856926084e-05,-7.622241701288335e-05,11852.png,1.0,2.0,0.4852941176470588,0.5147058823529411,2.0,9.0,1.0,1.0,0.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,1.0,1.0,0.4070738952840698,0.2555510227868757,1.0,1.0,0.8741681056610818,0.19548317046688382,0.7764641506931087,0.85674296064548,0.8923167803651054,1.0,14.0,23.0,15.0,1446.0,0.5593810444874274,4.0,0.04057971014492753,0.5,0.5,0.04002779349684715,0.28599444031715393,0.06826415657997131,1.5333333333333334,0.022354623302817345,-0.0005605432782038178,-0.0004419780880149382,0.0,0.0,-1.6441091571062216e-05,-0.000304017372421278,-2.5942981764837114e-05,9.135376065982914e-05,-0.0001333892297724626,11852.png,1.0,2.0,0.4460348162475822,0.5539651837524178,4.0,10.0,1.0,0.0,0.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,2.0,2.0,0.40794726580633184,0.2562397947282482,1.0,1.0,0.8741611834429978,0.19574375678610206,0.776453228106244,0.8566594106133499,0.8923930027821182,1.0,4.0,2.0,2.0,519.0,0.44896193771626297,3.0,1.0,0.75,0.25,0.08190475404262543,0.3029411733150482,0.0969574823975563,1.0,0.0600765235722065,0.0003128272440582336,0.0002467938533575742,0.0,0.0,-2.3363309655133335e-05,-4.343105320303575e-05,-3.68655686295849e-05,7.803728529820475e-06,-5.7166812759690266e-05,11852.png,2.0,4.0,0.4740484429065744,0.5259515570934256,4.0,10.0,0.0,1.0,1.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,2.0,2.0,0.40737301513603863,0.25578683458690454,1.0,1.0,0.874142517149657,0.1957871878393051,0.7764237751803034,0.8566411180419632,0.892373947177865,1.0,4.0,2.0,2.0,514.0,0.444636678200692,3.0,1.0,1.0,0.0,0.0629417672753334,0.2921568751335144,0.0756170004606247,1.0,0.033563219010829926,-0.0002614234262349746,-0.00020616628798608705,0.0,0.0,-4.202960299592995e-05,0.0,-6.631849457017225e-05,-1.0488842856926084e-05,-7.622241701288335e-05,11852.png,3.0,4.0,0.40570934256055363,0.5942906574394463,4.0,10.0,1.0,1.0,0.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,2.0,2.0,0.40799666032747345,0.2562787716333547,1.0,1.0,0.8741166696227701,0.19530944625407165,0.7763829928362961,0.8567847012535457,0.8921643355310797,2.0,26.0,49.0,15.0,1530.0,0.40189125295508277,4.0,0.03537414965986395,0.5769230769230769,0.4230769230769231,0.014555750414729118,0.3460030257701874,0.023349659517407417,3.2666666666666666,0.021460240706801414,0.00036222176519984384,0.00028577075846408784,0.0,0.0,-6.787712988276517e-05,-0.0004777415852334488,-0.00010710083857745634,0.00013309436872555036,-0.0002858340637982293,11852.png,1.0,2.0,0.6049382716049383,0.3950617283950617,2.0,11.0,0.0,1.0,1.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,1.0,1.0,0.4068095370628073,0.2553426891049904,1.0,1.0,0.8738902736158176,0.1957871878393051,0.7760258642128823,0.8565781527368556,0.8919166126757879,1.0,28.0,35.0,31.0,1511.0,0.3579720445392087,4.0,0.025806451612903226,1.0,0.0,0.01823127456009388,0.33585435152053833,0.03339095041155815,1.1290322580645162,0.0352974496781826,-0.0008249014994662907,-0.0006503117699002137,0.0,0.0,-0.0002942731368352769,0.0,-0.00046422946199120574,-7.345414796455785e-05,-0.0005335569190899614,11852.png,1.0,3.0,0.6486614546316039,0.3513385453683961,4.0,12.0,1.0,1.0,0.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,2.0,2.0,0.40640371229698374,0.25502300390192767,1.0,1.0,0.8738902736158176,0.1957871878393051,0.7760258642128823,0.8565781527368556,0.8919166126757879,2.0,28.0,44.0,16.0,1412.0,0.38706140350877194,4.0,0.03977272727272727,1.0,0.0,0.015954414382576942,0.3529411852359772,0.025743886828422546,2.75,0.030103901401162148,-0.001230726265289861,-0.000969996972962961,0.0,0.0,-0.0002942731368352769,0.0,-0.00046422946199120574,-7.345414796455785e-05,-0.0005335569190899614,11852.png,1.0,2.0,0.6206140350877193,0.3793859649122807,4.0,12.0,1.0,1.0,0.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,1.0,1.0,0.40777509742067175,0.2561039566458831,1.0,1.0,0.8740081032132788,0.19543973941368079,0.7762117167161358,0.8567166910688141,0.892011890697054,1.0,31.0,26.0,31.0,1748.0,0.4783798576902025,4.0,0.038461538461538464,0.7419354838709677,0.25806451612903225,0.01945730298757553,0.32106268405914307,0.029865775257349014,1.1923076923076923,0.03813490644097328,0.00014065885839814607,0.00011095577099246023,0.0,0.0,-0.00017644353937407153,-0.00034744842562431377,-0.00027837695873778046,6.508418399397975e-05,-0.00043827889782388496,11852.png,3.0,4.0,0.530103995621237,0.469896004378763,4.0,12.0,0.0,1.0,1.0,0.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,1.0,1.0,0.4086350974930362,0.256782776124628,1.0,1.0,0.8742661402477155,0.1953528773072747,0.77661885415803,0.8568083276925047,0.8924501695948779,1.0,10.0,14.0,8.0,1397.0,0.7592391304347826,4.0,0.08928571428571429,0.0,1.0,0.02643178403377533,0.2603921592235565,0.045544203370809555,1.75,0.03835126385092735,0.0010006589307626212,0.00078977524973739,0.0,0.0,8.159349506264846e-05,-0.0004343105320303853,0.00012876048315646482,0.00015672080768458496,0.0,11852.png,3.0,4.0,0.24619565217391304,0.753804347826087,4.0,13.0,0.0,0.0,1.0,1.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
0.5,0.4076344385622736,0.25599300087489063,1.0,1.0,0.8741845467526529,0.1957871878393051,0.7764900936748735,0.8566516068848201,0.8924501695948779,1.0,0.0,1.0,1.0,0.40850431714789714,0.25667950064169875,1.0,1.0,0.8742369654090986,0.19539630836047775,0.7765728119921732,0.8567874130991584,0.8924120583863714,1.0,11.0,14.0,8.0,1297.0,0.7048913043478261,4.0,0.09821428571428571,0.18181818181818182,0.8181818181818182,0.033657755702733994,0.28912657499313354,0.05829830467700958,1.75,0.04843764752149582,0.0008698785856235403,0.0006864997668081241,0.0,0.0,5.241865644567412e-05,-0.0003908794788273495,8.271831729966816e-05,0.00013580621433828544,-3.8111208506497185e-05,11852.png,2.0,3.0,0.3010869565217391,0.6989130434782609,4.0,13.0,0.0,0.0,1.0,1.0,R225-pseudo-lobe-pairwise-seam-candidate-diagnostic,2.0,val
