useful_threshold,risk_threshold,accepted,positive,strict_useful,hard_risk,precision_useful,risk_rate,score,accepted_images,useful_images,risk_images
0.8,0.5,10,4,2,6,0.2,0.6,-8.0,1418.png|1590.png|2044.png|2248.png|3353.png|3354.png|3567.png|3678.png|3777.png|4193.png,2044.png|2248.png,1418.png|3354.png|3567.png|3678.png|3777.png|4193.png
0.8,0.55,10,4,2,6,0.2,0.6,-8.0,1418.png|1590.png|2044.png|2248.png|3353.png|3354.png|3567.png|3678.png|3777.png|4193.png,2044.png|2248.png,1418.png|3354.png|3567.png|3678.png|3777.png|4193.png
0.8,0.6,11,4,2,7,0.18181818181818182,0.6363636363636364,-9.8,1418.png|1590.png|1884.png|2044.png|2248.png|3353.png|3354.png|3567.png|3678.png|3777.png|4193.png,2044.png|2248.png,1418.png|1884.png|3354.png|3567.png|3678.png|3777.png|4193.png
0.8,0.65,11,4,2,7,0.18181818181818182,0.6363636363636364,-9.8,1418.png|1590.png|1884.png|2044.png|2248.png|3353.png|3354.png|3567.png|3678.png|3777.png|4193.png,2044.png|2248.png,1418.png|1884.png|3354.png|3567.png|3678.png|3777.png|4193.png
0.8,0.7,11,4,2,7,0.18181818181818182,0.6363636363636364,-9.8,1418.png|1590.png|1884.png|2044.png|2248.png|3353.png|3354.png|3567.png|3678.png|3777.png|4193.png,2044.png|2248.png,1418.png|1884.png|3354.png|3567.png|3678.png|3777.png|4193.png
0.8,0.75,11,4,2,7,0.18181818181818182,0.6363636363636364,-9.8,1418.png|1590.png|1884.png|2044.png|2248.png|3353.png|3354.png|3567.png|3678.png|3777.png|4193.png,2044.png|2248.png,1418.png|1884.png|3354.png|3567.png|3678.png|3777.png|4193.png
0.8,0.8,11,4,2,7,0.18181818181818182,0.6363636363636364,-9.8,1418.png|1590.png|1884.png|2044.png|2248.png|3353.png|3354.png|3567.png|3678.png|3777.png|4193.png,2044.png|2248.png,1418.png|1884.png|3354.png|3567.png|3678.png|3777.png|4193.png
0.75,0.35,11,3,2,8,0.18181818181818182,0.7272727272727273,-11.8,13220.png|1590.png|1901.png|2044.png|2248.png|3354.png|3468.png|3567.png|3595.png|3777.png|4193.png,2044.png|2248.png,13220.png|1901.png|3354.png|3468.png|3567.png|3595.png|3777.png|4193.png
0.65,0.35,19,6,5,12,0.2631578947368421,0.631578947368421,-15.2,13220.png|14041.png|15274.png|1590.png|1901.png|2024.png|2044.png|2248.png|3058.png|3354.png|3366.png|3468.png|3493.png|3567.png|3595.png|3700.png|3777.png|3840.png|4193.png,15274.png|2044.png|2248.png|3700.png|3840.png,13220.png|14041.png|1901.png|2024.png|3058.png|3354.png|3366.png|3468.png|3567.png|3595.png|3777.png|4193.png
0.55,0.35,20,6,5,13,0.25,0.65,-17.0,13220.png|14041.png|15274.png|1590.png|1855.png|1901.png|2024.png|2044.png|2248.png|3058.png|3354.png|3366.png|3468.png|3493.png|3567.png|3595.png|3700.png|3777.png|3840.png|4193.png,15274.png|2044.png|2248.png|3700.png|3840.png,13220.png|14041.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3468.png|3567.png|3595.png|3777.png|4193.png
0.6,0.35,20,6,5,13,0.25,0.65,-17.0,13220.png|14041.png|15274.png|1590.png|1855.png|1901.png|2024.png|2044.png|2248.png|3058.png|3354.png|3366.png|3468.png|3493.png|3567.png|3595.png|3700.png|3777.png|3840.png|4193.png,15274.png|2044.png|2248.png|3700.png|3840.png,13220.png|14041.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3468.png|3567.png|3595.png|3777.png|4193.png
0.7,0.35,14,3,2,11,0.14285714285714285,0.7857142857142857,-17.2,13220.png|14041.png|1590.png|1901.png|2044.png|2248.png|3058.png|3354.png|3366.png|3468.png|3567.png|3595.png|3777.png|4193.png,2044.png|2248.png,13220.png|14041.png|1901.png|3058.png|3354.png|3366.png|3468.png|3567.png|3595.png|3777.png|4193.png
0.5,0.35,22,6,5,14,0.22727272727272727,0.6363636363636364,-18.6,13220.png|14041.png|15274.png|1590.png|1846.png|1855.png|1901.png|2024.png|2044.png|2248.png|3058.png|3354.png|3366.png|3392.png|3468.png|3493.png|3567.png|3595.png|3700.png|3777.png|3840.png|4193.png,15274.png|2044.png|2248.png|3700.png|3840.png,13220.png|14041.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3777.png|4193.png
0.75,0.4,16,4,2,12,0.125,0.75,-18.8,12827.png|13220.png|1590.png|1901.png|2044.png|2248.png|3058.png|3353.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png,2044.png|2248.png,12827.png|13220.png|1901.png|3058.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png
0.45,0.35,24,6,5,15,0.20833333333333334,0.625,-20.2,13220.png|14041.png|15274.png|1585.png|1590.png|1846.png|1855.png|1901.png|2024.png|2044.png|2248.png|3058.png|3354.png|3366.png|3392.png|3468.png|3493.png|3567.png|3595.png|3700.png|3777.png|3840.png|4193.png|7259.png,15274.png|2044.png|2248.png|3700.png|3840.png,13220.png|14041.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3777.png|4193.png|7259.png
0.75,0.45,17,4,2,13,0.11764705882352941,0.7647058823529411,-20.6,12827.png|13220.png|1418.png|1590.png|1901.png|2044.png|2248.png|3058.png|3353.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png,2044.png|2248.png,12827.png|13220.png|1418.png|1901.png|3058.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png
0.25,0.35,27,6,5,16,0.18518518518518517,0.5925925925925926,-21.6,13220.png|14041.png|15040.png|15274.png|1572.png|1585.png|1590.png|1666.png|1846.png|1855.png|1901.png|2024.png|2044.png|2248.png|3058.png|3354.png|3366.png|3392.png|3468.png|3493.png|3567.png|3595.png|3700.png|3777.png|3840.png|4193.png|7259.png,15274.png|2044.png|2248.png|3700.png|3840.png,13220.png|14041.png|15040.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3777.png|4193.png|7259.png
0.3,0.35,27,6,5,16,0.18518518518518517,0.5925925925925926,-21.6,13220.png|14041.png|15040.png|15274.png|1572.png|1585.png|1590.png|1666.png|1846.png|1855.png|1901.png|2024.png|2044.png|2248.png|3058.png|3354.png|3366.png|3392.png|3468.png|3493.png|3567.png|3595.png|3700.png|3777.png|3840.png|4193.png|7259.png,15274.png|2044.png|2248.png|3700.png|3840.png,13220.png|14041.png|15040.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3777.png|4193.png|7259.png
0.35,0.35,27,6,5,16,0.18518518518518517,0.5925925925925926,-21.6,13220.png|14041.png|15040.png|15274.png|1572.png|1585.png|1590.png|1666.png|1846.png|1855.png|1901.png|2024.png|2044.png|2248.png|3058.png|3354.png|3366.png|3392.png|3468.png|3493.png|3567.png|3595.png|3700.png|3777.png|3840.png|4193.png|7259.png,15274.png|2044.png|2248.png|3700.png|3840.png,13220.png|14041.png|15040.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3777.png|4193.png|7259.png
0.4,0.35,26,6,5,16,0.19230769230769232,0.6153846153846154,-21.8,13220.png|14041.png|15040.png|15274.png|1572.png|1585.png|1590.png|1846.png|1855.png|1901.png|2024.png|2044.png|2248.png|3058.png|3354.png|3366.png|3392.png|3468.png|3493.png|3567.png|3595.png|3700.png|3777.png|3840.png|4193.png|7259.png,15274.png|2044.png|2248.png|3700.png|3840.png,13220.png|14041.png|15040.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3777.png|4193.png|7259.png
0.5,0.4,34,12,9,19,0.2647058823529412,0.5588235294117647,-22.2,12827.png|13220.png|14041.png|15274.png|1590.png|1620.png|1827.png|1846.png|1855.png|1901.png|2024.png|2044.png|2246.png|2248.png|3058.png|3269.png|3353.png|3354.png|3366.png|3392.png|3460.png|3468.png|3493.png|3567.png|3595.png|3678.png|3700.png|3725.png|3777.png|3840.png|4193.png|6698.png|6947.png|7253.png,15274.png|2044.png|2246.png|2248.png|3460.png|3700.png|3840.png|6947.png|7253.png,12827.png|13220.png|14041.png|1620.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3678.png|3725.png|3777.png|4193.png|6698.png
0.65,0.4,29,10,8,18,0.27586206896551724,0.6206896551724138,-22.2,12827.png|13220.png|14041.png|15274.png|1590.png|1620.png|1901.png|2024.png|2044.png|2246.png|2248.png|3058.png|3353.png|3354.png|3366.png|3392.png|3468.png|3493.png|3567.png|3595.png|3678.png|3700.png|3725.png|3777.png|3840.png|4193.png|6698.png|6947.png|7253.png,15274.png|2044.png|2246.png|2248.png|3700.png|3840.png|6947.png|7253.png,12827.png|13220.png|14041.png|1620.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3678.png|3725.png|3777.png|4193.png|6698.png
0.15,0.35,28,6,5,17,0.17857142857142858,0.6071428571428571,-23.4,13220.png|14041.png|15040.png|15274.png|1572.png|1585.png|1590.png|1666.png|1674.png|1846.png|1855.png|1901.png|2024.png|2044.png|2248.png|3058.png|3354.png|3366.png|3392.png|3468.png|3493.png|3567.png|3595.png|3700.png|3777.png|3840.png|4193.png|7259.png,15274.png|2044.png|2248.png|3700.png|3840.png,13220.png|14041.png|15040.png|1674.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3777.png|4193.png|7259.png
0.2,0.35,28,6,5,17,0.17857142857142858,0.6071428571428571,-23.4,13220.png|14041.png|15040.png|15274.png|1572.png|1585.png|1590.png|1666.png|1674.png|1846.png|1855.png|1901.png|2024.png|2044.png|2248.png|3058.png|3354.png|3366.png|3392.png|3468.png|3493.png|3567.png|3595.png|3700.png|3777.png|3840.png|4193.png|7259.png,15274.png|2044.png|2248.png|3700.png|3840.png,13220.png|14041.png|15040.png|1674.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3777.png|4193.png|7259.png
0.55,0.4,32,11,8,19,0.25,0.59375,-23.6,12827.png|13220.png|14041.png|15274.png|1590.png|1620.png|1827.png|1855.png|1901.png|2024.png|2044.png|2246.png|2248.png|3058.png|3269.png|3353.png|3354.png|3366.png|3392.png|3468.png|3493.png|3567.png|3595.png|3678.png|3700.png|3725.png|3777.png|3840.png|4193.png|6698.png|6947.png|7253.png,15274.png|2044.png|2246.png|2248.png|3700.png|3840.png|6947.png|7253.png,12827.png|13220.png|14041.png|1620.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3678.png|3725.png|3777.png|4193.png|6698.png
0.7,0.4,22,6,4,16,0.18181818181818182,0.7272727272727273,-23.6,12827.png|13220.png|14041.png|1590.png|1620.png|1901.png|2024.png|2044.png|2246.png|2248.png|3058.png|3353.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png|7253.png,2044.png|2246.png|2248.png|7253.png,12827.png|13220.png|14041.png|1620.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png
0.6,0.4,31,11,8,19,0.25806451612903225,0.6129032258064516,-23.8,12827.png|13220.png|14041.png|15274.png|1590.png|1620.png|1855.png|1901.png|2024.png|2044.png|2246.png|2248.png|3058.png|3269.png|3353.png|3354.png|3366.png|3392.png|3468.png|3493.png|3567.png|3595.png|3678.png|3700.png|3725.png|3777.png|3840.png|4193.png|6698.png|6947.png|7253.png,15274.png|2044.png|2246.png|2248.png|3700.png|3840.png|6947.png|7253.png,12827.png|13220.png|14041.png|1620.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3678.png|3725.png|3777.png|4193.png|6698.png
0.75,0.5,19,4,2,15,0.10526315789473684,0.7894736842105263,-24.2,10624.png|12827.png|13220.png|1418.png|1452.png|1590.png|1901.png|2044.png|2248.png|3058.png|3353.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png,2044.png|2248.png,10624.png|12827.png|13220.png|1418.png|1452.png|1901.png|3058.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png
0.75,0.55,19,4,2,15,0.10526315789473684,0.7894736842105263,-24.2,10624.png|12827.png|13220.png|1418.png|1452.png|1590.png|1901.png|2044.png|2248.png|3058.png|3353.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png,2044.png|2248.png,10624.png|12827.png|13220.png|1418.png|1452.png|1901.png|3058.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png
0.1,0.35,29,6,5,18,0.1724137931034483,0.6206896551724138,-25.2,13220.png|14041.png|15040.png|15274.png|1560.png|1572.png|1585.png|1590.png|1666.png|1674.png|1846.png|1855.png|1901.png|2024.png|2044.png|2248.png|3058.png|3354.png|3366.png|3392.png|3468.png|3493.png|3567.png|3595.png|3700.png|3777.png|3840.png|4193.png|7259.png,15274.png|2044.png|2248.png|3700.png|3840.png,13220.png|14041.png|15040.png|1560.png|1674.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3777.png|4193.png|7259.png
0.75,0.6,20,4,2,16,0.1,0.8,-26.0,10624.png|12827.png|13220.png|1418.png|1452.png|1590.png|1884.png|1901.png|2044.png|2248.png|3058.png|3353.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png,2044.png|2248.png,10624.png|12827.png|13220.png|1418.png|1452.png|1884.png|1901.png|3058.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png
0.75,0.65,20,4,2,16,0.1,0.8,-26.0,10624.png|12827.png|13220.png|1418.png|1452.png|1590.png|1884.png|1901.png|2044.png|2248.png|3058.png|3353.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png,2044.png|2248.png,10624.png|12827.png|13220.png|1418.png|1452.png|1884.png|1901.png|3058.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png
0.75,0.7,20,4,2,16,0.1,0.8,-26.0,10624.png|12827.png|13220.png|1418.png|1452.png|1590.png|1884.png|1901.png|2044.png|2248.png|3058.png|3353.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png,2044.png|2248.png,10624.png|12827.png|13220.png|1418.png|1452.png|1884.png|1901.png|3058.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png
0.75,0.75,20,4,2,16,0.1,0.8,-26.0,10624.png|12827.png|13220.png|1418.png|1452.png|1590.png|1884.png|1901.png|2044.png|2248.png|3058.png|3353.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png,2044.png|2248.png,10624.png|12827.png|13220.png|1418.png|1452.png|1884.png|1901.png|3058.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png
0.75,0.8,20,4,2,16,0.1,0.8,-26.0,10624.png|12827.png|13220.png|1418.png|1452.png|1590.png|1884.png|1901.png|2044.png|2248.png|3058.png|3353.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png,2044.png|2248.png,10624.png|12827.png|13220.png|1418.png|1452.png|1884.png|1901.png|3058.png|3354.png|3392.png|3468.png|3567.png|3595.png|3678.png|3777.png|4193.png
0.45,0.4,38,12,9,22,0.23684210526315788,0.5789473684210527,-27.4,12827.png|13220.png|13454.png|14041.png|15274.png|1572.png|1585.png|1590.png|1620.png|1827.png|1846.png|1855.png|1901.png|2024.png|2044.png|2246.png|2248.png|3058.png|3269.png|3353.png|3354.png|3366.png|3392.png|3460.png|3468.png|3493.png|3567.png|3595.png|3678.png|3700.png|3725.png|3777.png|3840.png|4193.png|6698.png|6947.png|7253.png|7259.png,15274.png|2044.png|2246.png|2248.png|3460.png|3700.png|3840.png|6947.png|7253.png,12827.png|13220.png|13454.png|14041.png|1572.png|1620.png|1855.png|1901.png|2024.png|3058.png|3354.png|3366.png|3392.png|3468.png|3567.png|3595.png|3678.png|3725.png|3777.png|4193.png|6698.png|7259.png
