accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
52,52,-0.00025924601500674035,-0.00021431300097833617,-0.0001404238333042126,-0.0006003465128423147,-0.00022901788589220484,-0.00046577472752709197,0.2692307692307692,35,0.6730769230769231,0.45,14,0.2
71,71,-0.0004984243888251662,-0.00040742012419969445,-0.000146741284657094,-0.0005192523242433226,-0.00024838945149930025,-0.00047026756971504035,0.22535211267605634,51,0.7183098591549296,0.5,16,0.2
81,81,-0.00046221117939645903,-0.000376867824348488,-0.0001508836781627538,-0.000526109487110641,-0.00025533640950824524,-0.00048735476840733316,0.20987654320987653,59,0.7283950617283951,0.55,17,0.2
88,88,-0.000381830236395367,-0.00031002749887916757,-0.00013379970656071408,-0.0005837253749972273,-0.0002256048291617454,-0.0004711086068245531,0.23863636363636365,62,0.7045454545454546,0.6,21,0.2
90,90,-0.0004631026197624316,-0.0003741723562150609,-0.00014449212942452397,-0.0005375474124206238,-0.00024402474738033548,-0.0004736015647719996,0.2222222222222222,65,0.7222222222222222,0.65,20,0.2
90,90,-0.0005238383062565284,-0.0004157723338969376,-0.00016112154706916885,-0.0005179271401516149,-0.00027275566885640897,-0.0005007020224941372,0.2222222222222222,66,0.7333333333333333,0.7,20,0.2
91,91,-0.0005432401237212022,-0.00042730941976870326,-0.00016205061922658237,-0.0005188864265566394,-0.0002744351864664475,-0.0005013871997825204,0.21978021978021978,67,0.7362637362637363,0.75,20,0.2
91,91,-0.0005432401237212022,-0.00042730941976870326,-0.00016205061922658237,-0.0005188864265566394,-0.0002744351864664475,-0.0005013871997825204,0.21978021978021978,67,0.7362637362637363,0.8,20,0.2
0,0,,,,,,,0.0,0,0.0,0.1,0,0.25
1,1,-0.000995668184094134,-0.0006728526340514518,-0.0002636588791877781,-0.0004067445644135581,-0.0004092412272708179,-0.0005704913356628927,0.0,1,1.0,0.15,0,0.25
2,2,-0.00037194916195897043,-0.0002590306438153764,5.570065446530714e-05,-0.000838334054916387,9.897692025578886e-05,-0.00032869055798828706,0.5,1,0.5,0.2,1,0.25
3,3,0.00036902579737802904,0.0002184536883215691,-4.833756401330843e-05,-0.0008629956263140429,-7.615093328590856e-05,-0.00044034150608503647,0.6666666666666666,1,0.3333333333333333,0.25,2,0.25
6,6,0.000581240142119438,0.00034531796372987145,3.101691343696903e-05,-0.0012333642286925471,5.7293200004471245e-05,-0.000339059372113278,0.3333333333333333,3,0.5,0.3,2,0.25
16,16,-0.00016478658781924477,-0.0002033197733539282,-0.00012102955804865756,-0.0007444247400543802,-0.00020210098281578381,-0.0004407303877427479,0.1875,11,0.6875,0.35,3,0.25
36,36,-0.0005112456676182644,-0.0004666315261105415,-0.0002136001711412483,-0.0004957662748166899,-0.0003583555632829157,-0.0005499071409498513,0.19444444444444445,27,0.75,0.4,7,0.25
