action_frac,background_connected_by_cut,cut_adjacent_bg_components_before,cut_area,cut_bg_channel_area_after,cut_bg_channel_border_contacts_after,cut_bg_channel_frac_after,cut_frac_anchor,cut_gt_fg_frac,cut_gt_fg_pixels,cut_gt_gap_frac,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_gt_instance_count,delta_gt_instances_covered,delta_gt_instances_multi_covered,delta_iou,delta_merged_pred_components,delta_precision,delta_pred_component_count_instance_match,delta_recall,gt_a,gt_b,image,local_bg_component_delta,local_bg_components_after,local_bg_components_before,merge_targeted_promotable,num_component_gt_instances,overerosion_proxy,pred_component_id,replayed_cut_pixels,run_id,safe_nonmerge_gain,seam_radius,split
0.15,1.0,1.0,11.0,528.0,2.0,0.13333333333333333,6.266092464738989e-05,0.0,0.0,1.0,2.2084194851723637e-06,1.4240964818779123e-06,0.0,0.0,2.893758273359026e-05,-0.00025466499976850576,0.0,0.0,0.0,4.915805531591211e-05,0.0,5.679702695515765e-05,0.0,0.0,16.0,11.0,1660.png,0.0,3.0,3.0,0.0,2.0,0.0,17.0,11.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,0.0,1.0,137.0,346.0,1.0,0.034001572327044025,0.000913820704375667,0.0,0.0,1.0,0.004590546991303568,0.003092066661943532,0.0,0.0,0.00041583556773283625,-0.003562698288864602,0.0,0.0,0.0,0.0007218417370984387,0.0,0.0008629142600041773,0.0,0.0,22.0,24.0,1674.png,1.0,3.0,2.0,0.0,6.0,0.0,19.0,137.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,0.0,1.0,32.0,520.0,1.0,0.07142857142857142,0.00021015301766598804,0.0,0.0,1.0,0.0016251538953327982,0.0010301320231790867,0.0,0.0,9.449991093835042e-05,-0.000789032448959448,0.0,0.0,0.0,0.00015720001964902863,0.0,0.00019079532926535858,0.0,0.0,22.0,20.0,1694.png,2.0,4.0,2.0,0.0,7.0,0.0,19.0,32.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,0.0,0.0,4.0,4.0,0.0,0.001568627450980392,3.231148269316208e-05,0.0,0.0,1.0,0.0008160578908214533,0.0005112174148842741,0.0,0.0,1.417449409479854e-05,-0.0001087606721409673,0.0,0.0,0.0,2.3601599212774715e-05,0.0,3.009936859910134e-05,0.0,0.0,22.0,24.0,1736.png,1.0,4.0,3.0,0.0,4.0,0.0,20.0,4.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.25,1.0,1.0,24.0,866.0,2.0,0.19953917050691244,0.00012202252332409691,0.0,0.0,1.0,-7.630872478636697e-05,-4.6644121902819635e-05,-1.0,1.0,5.480522512402164e-05,-0.0005985634477254642,0.0,0.0,0.0,9.066768840571005e-05,0.0,0.00011016345371550607,1.0,0.0,16.0,11.0,1742.png,0.0,3.0,3.0,0.0,2.0,0.0,15.0,24.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.25,0.0,1.0,11.0,570.0,1.0,0.19655172413793104,5.849165962108039e-05,0.0,0.0,1.0,0.0005299490478923863,0.00034955017015417256,0.0,0.0,2.7662535214134643e-05,-0.00028158197875338686,0.0,0.0,0.0,4.856501749550546e-05,0.0,5.379553052264896e-05,0.0,0.0,23.0,21.0,1812.png,0.0,1.0,1.0,0.0,9.0,0.0,19.0,11.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,1.0,1.0,4.0,1219.0,3.0,0.4876,3.5832661470930756e-05,0.0,0.0,1.0,0.0003435104062264327,0.00024316531767809568,0.0,0.0,1.653979002702588e-05,-0.0001122964626614209,0.0,0.0,0.0,2.8545517927525133e-05,0.0,3.3105070009087356e-05,0.0,0.0,22.0,20.0,1828.png,0.0,1.0,1.0,0.0,2.0,0.0,22.0,4.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.35,0.0,0.0,3.0,3.0,0.0,0.0012,1.4333766531610732e-05,0.0,0.0,1.0,0.0003844471173904962,0.0002667935893322648,0.0,0.0,6.5597824943086636e-06,-6.95716704157967e-05,0.0,0.0,0.0,1.1577626276237929e-05,0.0,1.3705196492352911e-05,0.0,0.0,28.0,21.0,1846.png,1.0,2.0,1.0,0.0,11.0,0.0,19.0,3.0,R237-component-merge-targeted-candidate-diagnostic,1.0,2.0,val
0.35,1.0,2.0,39.0,1500.0,4.0,0.3472222222222222,0.0006343423171386282,0.0,0.0,1.0,0.0029140095755378903,0.002096968920864889,0.0,0.0,0.0002832318106142928,-0.0015096968993148496,0.0,0.0,0.0,0.00047878729719574853,0.0,0.0005915792905837325,0.0,0.0,27.0,24.0,1880.png,0.0,2.0,2.0,0.0,2.0,0.0,24.0,39.0,R237-component-merge-targeted-candidate-diagnostic,1.0,4.0,val
0.35,0.0,0.0,11.0,11.0,0.0,0.004147812971342383,5.161290322580645e-05,0.0,0.0,1.0,0.000649164187204565,0.00040555757762497646,0.0,0.0,2.26009052592957e-05,-0.0002534328633305716,0.0,0.0,0.0,3.757763153866556e-05,0.0,4.808233787945149e-05,0.0,0.0,20.0,22.0,1886.png,1.0,2.0,1.0,0.0,3.0,0.0,20.0,11.0,R237-component-merge-targeted-candidate-diagnostic,1.0,3.0,val
