accepted,accepted_images,mean_delta_boundary_f1,mean_delta_boundary_iou,mean_delta_dice,mean_delta_gap_region_fp_rate,mean_delta_iou,mean_delta_recall,precision_useful,risk,risk_rate,risk_threshold,useful,useful_threshold
19,19,-0.0005524103198274207,-0.00043658539401291764,-0.00024098879868160084,-0.0003545784330983577,-0.00041051482649413556,-0.0005855514764665153,0.2631578947368421,14,0.7368421052631579,0.6,5,0.2
24,24,-0.0005239009958590129,-0.000407164615559558,-0.0002103130766506154,-0.0002925912929125519,-0.0003559192939265136,-0.0005330488981658369,0.20833333333333334,19,0.7916666666666666,0.65,5,0.2
26,26,-0.0004473937395510091,-0.0003623900541040261,-0.00020447811093666097,-0.0003358012979148604,-0.00034147313788608744,-0.0005263409259362605,0.23076923076923078,20,0.7692307692307693,0.7,6,0.2
29,29,-0.0003656775472430871,-0.0003008064489729438,-0.00018523974501369428,-0.0003643630184827113,-0.00031585050446519825,-0.0005431017288113119,0.2413793103448276,22,0.7586206896551724,0.75,7,0.2
31,31,-0.00021186464190778745,-0.00018922090381997877,-0.00016812742616680436,-0.0003917507327157889,-0.0002871843623359242,-0.0005206845266715225,0.25806451612903225,23,0.7419354838709677,0.8,8,0.2
0,0,,,,,,,0.0,0,0.0,0.1,0,0.25
1,1,-0.0006601411268010171,-0.0005427152268556723,-0.0003932029824582628,-0.00015080681646811867,-0.0006991308183337264,-0.0008047450150516777,0.0,1,1.0,0.15,0,0.25
2,2,-0.00037620364564222575,-0.0003055722952493706,-0.00026634592104524124,-0.00038094068378167686,-0.000465218665694378,-0.0006444585979507589,0.0,2,1.0,0.2,0,0.25
4,4,0.00021986912432903072,0.00017344546078074813,-0.0001634888502835552,-0.000570492057417436,-0.0002885643467690213,-0.0005072391055322423,0.25,3,0.75,0.25,1,0.25
7,7,-0.00025367259205325406,-0.00022895422624399125,-0.00021007619443737444,-0.0005254450105939913,-0.0003540980266958054,-0.0005511095201368958,0.14285714285714285,5,0.7142857142857143,0.3,1,0.25
9,9,-0.0006742742233654336,-0.0005351452703876605,-0.00027055987407386,-0.00028702495146767,-0.00044893796618322094,-0.0005828127608970249,0.1111111111111111,8,0.8888888888888888,0.35,1,0.25
9,9,-0.0006742742233654336,-0.0005351452703876605,-0.00027055987407386,-0.00028702495146767,-0.00044893796618322094,-0.0005828127608970249,0.1111111111111111,8,0.8888888888888888,0.4,1,0.25
10,10,-0.00018660391517353602,-0.00010619425299881608,-0.0001927687884714091,-0.0003718474060087101,-0.00031928722509131366,-0.0004891907578980614,0.2,8,0.8,0.45,2,0.25
11,11,-0.00016889298784918,-9.5919518275782e-05,-0.00017684669533020575,-0.00039970657138243344,-0.0002931000615886995,-0.0004708567773153175,0.2727272727272727,8,0.7272727272727273,0.5,3,0.25
15,15,-0.00025985117563853504,-0.0001907224687635258,-0.00016938480735234258,-0.0003512998465222276,-0.0002847751521643923,-0.00044261255413662325,0.26666666666666666,11,0.7333333333333333,0.55,4,0.25
18,18,-0.00039480022850532496,-0.00031096090401999134,-0.00022706099406409144,-0.0003742772349371554,-0.0003854199244429461,-0.0005666429465093646,0.2777777777777778,13,0.7222222222222222,0.6,5,0.25
23,23,-0.0003993144320430942,-0.00030757063302364355,-0.0001980793286007826,-0.0003053126534739672,-0.00033390608655742526,-0.0005159681974036895,0.21739130434782608,18,0.782608695652174,0.65,5,0.25
25,25,-0.0003297138105880437,-0.00026897260771276355,-0.0001929896641022566,-0.00034923334983145483,-0.0003206431408649091,-0.0005103583623459018,0.24,19,0.76,0.7,6,0.25
27,27,-0.0002645768577041977,-0.00022148768398551344,-0.00016343166464073946,-0.00036852207167589025,-0.0002785176477533805,-0.000512651578968371,0.25925925925925924,20,0.7407407407407407,0.75,7,0.25
