feature,group,n,mean,p10,p50,p90,min,max
cut_bg_channel_frac_after,safe_useful,971,0.4354919569659043,0.2226415094339622,0.4786414565826331,0.6138461538461538,0.015,0.7966037735849056
cut_bg_channel_frac_after,risk,7590,0.4370274989401818,0.20038979530554027,0.4761645469976138,0.6194298331060459,0.0041509433962264,0.8254716981132075
cut_bg_channel_frac_after,oracle_safe_best,87,0.4343312590746643,0.2047306779655945,0.4757869249394673,0.6212899408284024,0.0175438596491228,0.7088068181818182
cut_bg_channel_frac_after,r245_best_selected,9,0.4464219598021665,0.3653939663733178,0.4568913175470552,0.4882365212114315,0.3532856213402732,0.4985302763080541
local_bg_component_delta,all,8568,-0.008636788048552755,0.0,0.0,0.0,-2.0,0.0
local_bg_component_delta,safe_useful,971,-0.0020597322348094747,0.0,0.0,0.0,-1.0,0.0
local_bg_component_delta,risk,7590,-0.00909090909090909,0.0,0.0,0.0,-2.0,0.0
local_bg_component_delta,oracle_safe_best,87,0.0,0.0,0.0,0.0,0.0,0.0
local_bg_component_delta,r245_best_selected,9,0.0,0.0,0.0,0.0,0.0,0.0
local_bg_components_before,all,8568,1.184640522875817,1.0,1.0,2.0,1.0,6.0
local_bg_components_before,safe_useful,971,1.1658084449021626,1.0,1.0,2.0,1.0,5.0
local_bg_components_before,risk,7590,1.1890645586297761,1.0,1.0,2.0,1.0,6.0
local_bg_components_before,oracle_safe_best,87,1.1724137931034482,1.0,1.0,2.0,1.0,3.0
local_bg_components_before,r245_best_selected,9,1.4444444444444444,1.0,1.0,2.2,1.0,3.0
local_bg_components_after,all,8568,1.1760037348272643,1.0,1.0,2.0,1.0,6.0
local_bg_components_after,safe_useful,971,1.1637487126673531,1.0,1.0,2.0,1.0,5.0
local_bg_components_after,risk,7590,1.1799736495388669,1.0,1.0,2.0,1.0,6.0
local_bg_components_after,oracle_safe_best,87,1.1724137931034482,1.0,1.0,2.0,1.0,3.0
local_bg_components_after,r245_best_selected,9,1.4444444444444444,1.0,1.0,2.2,1.0,3.0
component_area,all,8568,40965.66970121382,3513.0,24593.0,110100.0,1381.0,133177.0
component_area,safe_useful,971,32451.92070030896,3230.0,14292.0,98310.0,1381.0,133177.0
component_area,risk,7590,41949.22727272727,3535.0,27090.0,110100.0,1381.0,133177.0
component_area,oracle_safe_best,87,21076.954022988506,1764.0,7345.0,57205.00000000007,1381.0,133177.0
component_area,r245_best_selected,9,12324.0,2827.6,6579.0,25383.600000000002,2718.0,31914.0
component_bbox_h,all,8568,204.08006535947712,59.0,182.0,387.0,25.0,465.0
component_bbox_h,safe_useful,971,180.038105046344,53.0,143.0,351.0,28.0,465.0
component_bbox_h,risk,7590,206.70474308300396,59.0,196.0,387.0,25.0,465.0
component_bbox_h,oracle_safe_best,87,135.66666666666666,42.0,92.0,290.20000000000005,30.0,465.0
component_bbox_h,r245_best_selected,9,130.33333333333334,58.0,117.0,221.4,58.0,227.0
component_bbox_w,all,8568,253.3704481792717,76.0,214.0,522.0,37.0,596.0
component_bbox_w,safe_useful,971,223.16786817713697,71.0,175.0,466.0,39.0,596.0
component_bbox_w,risk,7590,256.8038208168643,77.0,224.0,522.0,37.0,596.0
component_bbox_w,oracle_safe_best,87,172.73563218390805,50.2,125.0,349.20000000000016,39.0,596.0
component_bbox_w,r245_best_selected,9,123.33333333333333,64.6,83.0,196.8,63.0,224.0
component_fill,all,8568,0.6391353785279776,0.5264764475290791,0.6338971486030309,0.7790768296386273,0.4010591350397176,0.8650887573964497
component_fill,safe_useful,971,0.6439044361619414,0.5311170404557582,0.6399156399156399,0.7786774628879892,0.4565217391304347,0.8650887573964497
component_fill,risk,7590,0.638948993655863,0.5264764475290791,0.6338971486030309,0.7795348837209303,0.4010591350397176,0.8650887573964497
component_fill,oracle_safe_best,87,0.6663186336675561,0.5483932714419245,0.6689345894136239,0.7853786773298969,0.471909504221693,0.8246268656716418
component_fill,r245_best_selected,9,0.6917468461524527,0.5785812680858379,0.6508620689655172,0.8574904594814097,0.5682057416267943,0.8650887573964497
component_slenderness,all,8568,1.342744881486117,1.0631868131868132,1.256198347107438,1.5894736842105264,1.0,3.52
component_slenderness,safe_useful,971,1.3708292650060725,1.0666666666666669,1.2413793103448276,1.8214285714285716,1.0,3.3870967741935485
component_slenderness,risk,7590,1.341181995495119,1.0631868131868132,1.2577319587628866,1.5634920634920637,1.0,3.52
component_slenderness,oracle_safe_best,87,1.4048320896268764,1.043641304347826,1.25,2.149583333333334,1.0,3.0476190476190474
component_slenderness,r245_best_selected,9,1.272674264301405,1.0376785714285715,1.2205882352941178,1.6658823529411766,1.0133928571428572,1.8
cut_mean_image,all,8568,0.432146913089366,0.21720016598701472,0.41906826198101044,0.6467358529567718,0.0854902043938636,0.8598039150238037
cut_mean_image,safe_useful,971,0.4473920404742233,0.2058823555707931,0.4354393780231476,0.6896731853485107,0.1014260277152061,0.8324755430221558
cut_mean_image,risk,7590,0.4295276706260341,0.21992648541927332,0.41574953496456146,0.6415756404399872,0.0854902043938636,0.8598039150238037
cut_mean_image,oracle_safe_best,87,0.45553866902302054,0.20313723087310787,0.4644732773303985,0.7404848337173462,0.1040616258978843,0.8014706373214722
cut_mean_image,r245_best_selected,9,0.6830904947386848,0.5696997761726379,0.6984593272209167,0.8076862335205078,0.5675716996192932,0.8290195465087891
cut_std_image,all,8568,0.018628474836853776,0.00782593935728066,0.01564861647784705,0.03330280855298037,0.0027293027378618,0.3051991164684295
cut_std_image,safe_useful,971,0.017435616100241455,0.0067746443673968,0.0141643928363919,0.0302751939743757,0.0033606146462261,0.3051991164684295
cut_std_image,risk,7590,0.018718944947457333,0.007923140469938491,0.01582206692546605,0.03361605815589427,0.0027293027378618,0.0920461043715477
cut_std_image,oracle_safe_best,87,0.019573974289299727,0.0057968836277723,0.0167457740753889,0.0370267070829868,0.0033606146462261,0.0567675530910491
cut_std_image,r245_best_selected,9,0.025450851664774923,0.0094505632296204,0.0279196687042713,0.03799162730574608,0.0079597430303692,0.0512271486222744
cut_mean_grad,all,8568,0.058527399223849114,0.01439251312986016,0.0642209872603416,0.09563808366656297,0.0052097039297223,0.2889485657215118
cut_mean_grad,safe_useful,971,0.055930078505844326,0.0149314170703291,0.0597431622445583,0.0913173854351043,0.0052097039297223,0.2889485657215118
cut_mean_grad,risk,7590,0.05880014651543329,0.01434381036087868,0.06470621004700655,0.09614086076617237,0.0056015416048467,0.1943727880716323
cut_mean_grad,oracle_safe_best,87,0.05464700665110825,0.010864179581403701,0.0577203817665576,0.09489433169364926,0.0052097039297223,0.1298467516899109
cut_mean_grad,r245_best_selected,9,0.06253876071423287,0.01828134935349222,0.0703043118119239,0.09109075367450706,0.0142064234241843,0.1068304628133773
cut_p90_grad,all,8568,0.07586853017340942,0.01853354291990392,0.08085016831755634,0.12754123926162717,0.0061966856010258,0.7648684978485107
cut_p90_grad,safe_useful,971,0.07066983130744181,0.0187644846737384,0.0733529210090637,0.1146300673484802,0.0061966856010258,0.7648684978485107
cut_p90_grad,risk,7590,0.0764043380143869,0.01848908327519893,0.08168837539851659,0.12870480746030807,0.0061966856010258,0.2955253392457962
cut_p90_grad,oracle_safe_best,87,0.07003788563540608,0.014412346296012339,0.0700194597244262,0.12329263523221015,0.0061966856010258,0.1808811336755752
cut_p90_grad,r245_best_selected,9,0.07580749318003649,0.025980206355452458,0.0837710328400135,0.1103883931040763,0.0173379909247159,0.1173033192753791
